case_id,role_label,role_group,role_observable_in_case,status_in_case,confidence,evidence_basis_summary,main_supporting_source_ids,main_contrary_source_ids,notes
1,Relevance adjudicator,starting_role,partial,conditional,medium,"Author-defined inclusion rules filter countries (elections in period, >=100 msgs/party), parties (two largest pre-election), and messages (no retweets/URLs, >=100 chars) - a light but explicit human adjudication step (C001_S1 pp.1184).",C001_S1,,"Upgraded from low/not_applicable: extracted text documents explicit country/party/message inclusion filters, i.e., observable adjudication work even if modest."
1,Mechanism disciplinarian,starting_role,no,not_applicable,high,"Task is pure text classification of party affiliation with no causal/mechanism claim anywhere in the intro, task, or methods sections (C001_S1 pp.1181-1187).",C001_S1,,Upgraded from low: absence is confirmable across full intro and methods.
1,Construct and perspective boundary setter,starting_role,yes,conditional,high,The construct (politician's actual party) is fixed a priori as binary objective ground truth - humans set a narrow pre-specified label space rather than eliciting perspectival variation (C001_S1 pp.1184 'offers a ground truth').,C001_S1,,Upgraded from medium: full methods section directly supports this as a construct-boundary-setting case with deliberately narrow construct.
1,Corpus pluralist,starting_role,no,not_applicable,high,"Single corpus used (van Vliet et al. 2020 parliamentarian tweets), deliberately filtered to one message type; no pluralist corpus strategy (C001_S1 pp.1184).",C001_S1,,Upgraded from low: absence confirmed against full methods.
1,Protocol and provenance architect,starting_role,yes,robust,high,"Humans design the prompt template, pin the model version (gpt-4-0314), set sampling (250/party, 500 balanced), run Krippendorff alpha reliability tests, and embed MTurk attention-check controls (C001_S1 pp.1185-1186).",C001_S1,,Upgraded from low/partial-unclear to yes/robust: methods section documents an extensive protocol/provenance layer that clearly persists.
1,Counterfactual and transportability judge,starting_role,partial,conditional,medium,Paper explicitly probes cross-country/cross-language transportability ('performance is lower outside the United States... still achieves relatively high accuracy') and uses Supplementary S1 to test transfer to non-ground-truth users (C001_S1 pp.1183-1184).,C001_S1,,"Upgraded from low/not_applicable: transportability across 11 countries is an explicit design feature, making this role partially observable."
1,Situated interlocutor / context witness,starting_role,no,not_applicable,high,"No fieldwork, interviewing, or situated interpretation - annotation is on archived Twitter messages with no human-in-the-loop interlocution (C001_S1 pp.1184-1186).",C001_S1,,Upgraded from low: absence confirmed against full task/methods description.
1,Accountability and labor allocator,starting_role,partial,unclear,medium,"Paper flags epistemological risks and 'pitfalls and best practices' for LLM annotation and explicitly discusses who the coders are (experts, MTurk, LLM), but labor-allocation implications are only gestured at, not systematized (C001_S1 pp.1183).",C001_S1,,Upgraded from low: abstract and discussion framing raise accountability concerns in passing; full discussion section not in stored text.
1,Construct boundary setter,split_candidate,yes,conditional,high,"Binary party label space is fixed in advance by the researcher and encoded in the prompt ('Respond either [party1] or [party2]'), a direct instance of construct-boundary setting (C001_S1 p.1186).",C001_S1,,Upgraded from medium: the verbatim prompt in methods directly shows the construct boundary being set by the human.
1,Perspective sampler,split_candidate,no,not_applicable,high,Objective ground-truth design deliberately collapses annotator disagreement into a single correct label; no subgroup/perspective preservation (C001_S1 pp.1184 'bypasses... treating human annotation as the ground truth').,C001_S1,,Upgraded from low/partial-unclear: the paper's entire framing is that perspective pluralism is not the point; this is a clean not_applicable.
1,Counterfactual / transportability judge,split_candidate,partial,conditional,medium,"Cross-country generalization across 11 languages/contexts is the paper's central transportability claim, and SI S1 tests transfer to users without public ground truth (C001_S1 pp.1183-1184).",C001_S1,,Upgraded from low/not_applicable: the cross-country design is explicitly a transportability test.
1,Calibration architect,split_candidate,no,not_applicable,medium,"Comparisons use accuracy/macro-F1/Krippendorff alpha against known party labels, but there is no simulator calibration or matching to an external reference distribution - ground truth is the construct itself (C001_S1 pp.1186-1187).",C001_S1,,"Upgraded from low: methods section confirms benchmarking is against ground-truth labels, not calibration in the codebook's sense."
1,Situated interlocutor,split_candidate,no,not_applicable,high,"No interviews, fieldwork, or interactional data generation (C001_S1 pp.1184-1186).",C001_S1,,Upgraded from low: absence confirmed from full task/methods text.
1,Context witness,split_candidate,no,not_applicable,high,"No tacit/archival contextual interpretation work by humans - contextual inference is exactly what the LLM is tested on and said to do well (C001_S1 pp.1181 abstract, pp.1184).",C001_S1,,"Upgraded from low: paper frames contextual inference as a capacity being displaced to the LLM, not preserved as a human role."
1,Routine first-pass screener,shrinking_task_cluster,no,not_applicable,high,"No triage/screening stage in the pipeline - sampling is random from a filtered corpus, not human-ranked (C001_S1 pp.1184).",C001_S1,,Upgraded from low: absence confirmed against full methods.
1,"Routine coder on high-consensus, ground-truth-rich tasks",shrinking_task_cluster,yes,shrinking,high,"GPT-4 reaches 0.934 accuracy and 0.982 inter-coder reliability on the US case, outperforming MTurk, expert PhD coders, Naive Bayes, and BERT - a direct empirical case of routine coders shrinking toward auditors (C001_S1 abstract + pp.1187).",C001_S1,,"Upgraded from medium: the paper's headline result is precisely this role's shrinking, directly evidenced in the stored full text."
1,Structural prose polisher / drafter,shrinking_task_cluster,no,not_applicable,high,"No writing/drafting task in scope - paper is about annotation, not prose generation (C001_S1 pp.1181-1187).",C001_S1,,Upgraded from low: absence confirmed against full scoped task.
