case_id,role_label,role_group,role_observable_in_case,status_in_case,confidence,evidence_basis_summary,main_supporting_source_ids,main_contrary_source_ids,notes
31,Relevance adjudicator,starting_role,yes,unclear,medium,"S1 reports that LLM adopters cite and access more diverse prior work including books and younger, less-cited documents, indirectly implicating how relevance boundaries shift, but neither source adjudicates the human role directly.",C031_S1,,upgraded from low to medium based on S1 citation-diversity findings
31,Mechanism disciplinarian,starting_role,no,not_applicable,high,Neither P1 (authorship experiment) nor S1 (bibliometric production study) concerns causal-mechanism or model-logic constraint; role is clearly out of scope for this case.,C031_P1; C031_S1,,upgraded to high: sources give enough scope detail to call this not applicable
31,Construct and perspective boundary setter,starting_role,no,not_applicable,high,Neither source concerns codebook rules or construct definition; P1 is an authorship action-research study and S1 is a production/quality bibliometric analysis.,C031_P1; C031_S1,,upgraded to high: confidently not applicable
31,Corpus pluralist,starting_role,no,not_applicable,medium,"S1 notes LLM adopters access more diverse prior work (books, younger less-cited documents), which lightly touches corpus breadth, but no source frames corpus pluralism as a human role in this case.",C031_S1,,upgraded to medium: S1 provides oblique corpus-diversity signal
31,Protocol and provenance architect,starting_role,partial,unclear,high,"P1 explicitly designs a publication-and-disclosure experiment with a fabricated AI author identity to probe publisher, reviewer, and citation-network procedures; S1 argues journals, funders, and tenure committees must change evaluation procedures.",C031_P1; C031_S1,,upgraded to high: both sources directly concern scholarly procedure and disclosure
31,Counterfactual and transportability judge,starting_role,no,not_applicable,high,Neither source pressures whether simulated or model-generated results transport across populations or settings; case is about authorship legitimacy and production volume.,C031_P1; C031_S1,,upgraded to high: confidently not applicable
31,Situated interlocutor / context witness,starting_role,no,not_applicable,high,"Neither source involves fieldwork,  interviews,  or interpretive context; P1 is a publication-stunt action study and S1 is large-n bibliometric analysis.",C031_P1; C031_S1,,upgraded to high: confidently not applicable
31,Accountability and labor allocator,starting_role,yes,unclear,high,"P1 is explicitly about whether an AI can be a scholarly author, tracks citations and a peer-review invitation received by the AI identity Rachel So, and discusses implications for publishers and researchers regarding authorship and responsibility.",C031_P1,,upgraded to high: P1 directly concerns authorship and accountability
31,Construct boundary setter,split_candidate,no,not_applicable,high,Neither source concerns category-boundary or valid-label work; case is about authorship legitimacy and aggregate production not construct definition.,C031_P1; C031_S1,,upgraded to high: confidently not applicable
31,Perspective sampler,split_candidate,no,not_applicable,high,Neither source concerns preserving subgroup disagreement or representational pluralism in coding.,C031_P1; C031_S1,,upgraded to high: confidently not applicable
31,Counterfactual / transportability judge,split_candidate,no,not_applicable,high,Neither source raises transportability of model outputs across contexts.,C031_P1; C031_S1,,upgraded to high: confidently not applicable
31,Calibration architect,split_candidate,no,not_applicable,high,Neither source concerns benchmarking or calibration of simulator outputs against external reference distributions.,C031_P1; C031_S1,,upgraded to high: confidently not applicable
31,Situated interlocutor,split_candidate,no,not_applicable,high,No interviewer or fieldworker role is present in either source.,C031_P1; C031_S1,,upgraded to high: confidently not applicable
31,Context witness,split_candidate,no,not_applicable,high,No tacit or archival interpretive role is present in either source.,C031_P1; C031_S1,,upgraded to high: confidently not applicable
31,Routine first-pass screener,shrinking_task_cluster,no,not_applicable,medium,S1 draws on 28K peer-review reports and flags changing reviewer evaluation but does not document AI taking over triage/screening; P1 is silent on screening.,C031_P1; C031_S1,,upgraded to medium: S1 peer-review corpus makes screening adjacent but not directly treated
31,"Routine coder on high-consensus, ground-truth-rich tasks",shrinking_task_cluster,no,not_applicable,high,Neither source concerns ground-truth-rich labeling tasks being delegated to AI; case is about authorship and production volume.,C031_P1; C031_S1,,upgraded to high: confidently not applicable
31,Structural prose polisher / drafter,shrinking_task_cluster,partial,unclear,high,"P1 publishes AI-generated papers under a fabricated author, and S1 finds LLM-drafted manuscripts drive a 23.7-89.3% production increase and reverse the writing-complexity-to-quality relationship, directly evidencing AI taking over drafting.",C031_P1; C031_S1,,upgraded to high: both sources directly document AI prose drafting
