case_id,role_label,role_group,role_observable_in_case,status_in_case,confidence,evidence_basis_summary,main_supporting_source_ids,main_contrary_source_ids,notes
19,Relevance adjudicator,starting_role,yes,transformed,medium,"Xu decides which corpus (Wolf archive CO, 1668 episodes) and which 24 pretend-fight episodes to feed GPT, but task is framed as interpretive selection rather than a separate adjudication stage.",C019_P1,,"Upgraded from low to medium and changed observable from no to yes: Xu explicitly curates the Wolf archive, selects CO subset, and chooses 14% sample for GPT as deliberate privacy choice."
19,Mechanism disciplinarian,starting_role,yes,robust,high,"Xu repeatedly constrains AI's causal/meaning claims, diagnosing S-BERT's misclassification of pretend-fights as real conflict and GPT's adult- and Western-centric moral framings.",C019_P1,,Upgraded to high: the paper's central argument is that ethnographic expertise disciplines LLM interpretation of meta-communication and cultural meaning.
19,Construct and perspective boundary setter,starting_role,yes,split_pressure,high,"Xu defines six themes (family, school, play, cooperation, conflict, shopping) via inductive/deductive reasoning and preserves intersubjective disagreement across informant types (MC vs. Wolf, children's three narrative modes).",C019_P1,,Upgraded to high and observable changed from partial to yes: construct-setting and perspective-preservation are both explicit; supports split_pressure.
19,Corpus pluralist,starting_role,yes,robust,high,"Xu integrates multiple fieldnote corpora (Child Observation, Child Interview, School Questionnaire, Projective Tests, mother interviews) and resists collapsing onto the machine-friendly CO corpus alone.",C019_P1,,Upgraded from not_applicable/low to yes/robust/high: P1 section 3.1 explicitly compares three fieldwork methods to triangulate children's fighting patterns.
19,Protocol and provenance architect,starting_role,yes,robust,high,"Xu built an OCR-to-Python text-as-data pipeline with manual copyedit, chronological indexing, local S-BERT processing for privacy, temperature=0 for reproducibility, and public code repos.",C019_P1,,"Upgraded to yes/robust/high: sections 2.1, footnotes 6 and 9, and the GitHub repos document workflow, logging, and reproducibility design."
19,Counterfactual and transportability judge,starting_role,partial,conditional,medium,"Xu's conclusion explicitly weighs whether the methods transport to more typical fieldnotes and whether moral concepts travel across cultural contexts, but no formal transportability test is run.",C019_P1,,Upgraded from not_applicable/low to partial/conditional/medium based on section 5 reflections on generalizability.
19,Situated interlocutor / context witness,starting_role,yes,split_pressure,high,"MC's role as cultural-insider playmate eliciting different answers than Arthur Wolf, plus Xu's retrospective contextual interpretation of Cold-War Taipei, are central to the paper's argument.",C019_P1,,Upgraded to high: opening vignette and section 3.1 make the interlocutor/witness split concrete; supports the case's split_pressure status.
19,Accountability and labor allocator,starting_role,yes,robust,high,"Explicit CRediT-style contribution statement in footnote 4, IRB approval, competing-interests and funding disclosures, and the 14%-of-data ethical limit on GPT input all assign responsibility to named humans.",C019_P1,,Upgraded from not_applicable/low to yes/robust/high: front-matter disclosures and author contribution footnote directly concern allocation.
19,Construct boundary setter,split_candidate,yes,split_pressure,high,"Xu manually defines theme keyword lists, validates S-BERT theme vectors against manual ranking, and critiques GPT's imposed categories as adult- and Western-biased.",C019_P1,,Upgraded to yes/high: section 3.3 and 4.1 document construct-definition work; S1 also shows construct work is where researchers resist AI autonomy most.
19,Perspective sampler,split_candidate,yes,split_pressure,high,"Paper preserves disagreement across informant positionalities (MC in Taiwanese vs. Wolf in Mandarin, first-person vs. normative vs. projective responses) rather than collapsing to one label.",C019_P1,,Upgraded from not_applicable/low to yes/high: section 3.1 explicitly contrasts three fieldwork methods to keep subgroup disagreement visible.
19,Counterfactual / transportability judge,split_candidate,partial,conditional,medium,"Section 5 discusses transportability of the hybrid workflow to typical single-author fieldnotes and the cross-cultural travel of moral concepts, without formal counterfactual design.",C019_P1,,Upgraded from not_applicable/low to partial/conditional/medium mirroring the starting-role upgrade.
19,Calibration architect,split_candidate,partial,conditional,medium,Data scientist validated S-BERT outputs against Xu's manual ranking of a random subset; GPT temperature set to 0 for reproducibility; no external calibration benchmark.,C019_P1,,Upgraded from not_applicable/low to partial/conditional/medium: section 3.3 and footnote 9 describe informal calibration against expert ranking.
19,Situated interlocutor,split_candidate,yes,split_pressure,high,MC as teenage cultural-insider playmate changed what children disclosed; Xu lacked first-person field access and relied on MC's meta-communicative notes.,C019_P1,,Upgraded to yes/high: opening vignette and footnote 1 document the interlocutor effect directly.
19,Context witness,split_candidate,yes,robust,high,"Xu's Cold-War Taipei contextualization (Nike-Hercules missiles, Taiwan Strait Crisis, local pig-slaughter rituals, school-hierarchy norms) is necessary to interpret children's meta-communicative play.",C019_P1,,Upgraded from low to high: section 1 and 4.1 show context-witness work is load-bearing for the paper's claims.
19,Routine first-pass screener,shrinking_task_cluster,yes,shrinking,medium,"S-BERT semantic search ranks 1678 observations against six theme vectors at scale, functionally screening the corpus before ethnographic close reading; Xu then audits outputs.",C019_P1,,Upgraded from not_applicable/low to yes/shrinking/medium: section 3.3 describes first-pass similarity ranking across the corpus.
19,"Routine coder on high-consensus, ground-truth-rich tasks",shrinking_task_cluster,no,not_applicable,high,Domain lacks external ground truth; Xu explicitly argues there is no culture-free observer and validation relies on ethnographic expertise rather than a reference label set.,C019_P1,,Upgraded from low to high: source provides enough detail to confidently mark not applicable.
19,Structural prose polisher / drafter,shrinking_task_cluster,no,not_applicable,high,"Footnote 4 specifies Xu drafted and revised all sections and Hernandez co-wrote only section 3.3; GPT is used for coding fieldnotes, not for prose drafting.",C019_P1,,Upgraded from low to high: author contribution statement rules out AI prose drafting.
