artifact_id,case_id,artifact_type,artifact_description,local_path,source_id,usable_for_analysis,notes
A001_001,1,prompt_log,Prompt logs,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/001_objective_party_annotation/C001_P1.html,C001_P1,partial,Artifact inferred from repository traces and aligned to the best-matching collected source.
A001_002,1,disagreement_matrix,coder disagreement,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/001_objective_party_annotation/C001_P1.html,C001_P1,partial,Artifact inferred from repository traces and aligned to the best-matching collected source.
A001_003,1,other,model outputs,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/001_objective_party_annotation/C001_P1.html,C001_P1,partial,Artifact inferred from repository traces and aligned to the best-matching collected source.
A001_004,1,other,downstream classification stability,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/001_objective_party_annotation/C001_P1.html,C001_P1,partial,Artifact inferred from repository traces and aligned to the best-matching collected source.
A002_001,2,codebook,Codebook versions,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/002_contested_codebook_measurement/C002_P1.html,C002_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A002_002,2,prompt_log,prompt histories,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/002_contested_codebook_measurement/C002_P1.html,C002_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A002_003,2,other,hard-negative sets,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/002_contested_codebook_measurement/C002_P1.html,C002_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A002_004,2,other,edge-case adjudications,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/002_contested_codebook_measurement/C002_P1.html,C002_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A003_001,3,other,Subgroup label distributions,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/003_multi_perspective_annotation/C003_P1.html,C003_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A003_002,3,other,active-learning logs,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/003_multi_perspective_annotation/C003_P1.html,C003_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A003_003,3,disagreement_matrix,disagreement matrices,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/003_multi_perspective_annotation/C003_P1.html,C003_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A004_001,4,other,Cue-perturbation experiments,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/004_party_cue_perturbation/C004_P1.html,C004_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A004_002,4,other,confidence shifts,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/004_party_cue_perturbation/C004_P1.html,C004_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A004_003,4,other,divergence from human labels,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/004_party_cue_perturbation/C004_P1.html,C004_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A005_001,5,codebook,Codebook revisions,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/005_human_developed_codebooks/C005_P1.html,C005_P1,partial,Artifact inferred from repository traces and aligned to the best-matching collected source.
A005_002,5,prompt_log,prompt iterations,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/005_human_developed_codebooks/C005_P1.html,C005_P1,partial,Artifact inferred from repository traces and aligned to the best-matching collected source.
A005_003,5,other,unmatched-theme logs,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/005_human_developed_codebooks/C005_P1.html,C005_P1,partial,Artifact inferred from repository traces and aligned to the best-matching collected source.
A005_004,5,other,adjudication notes,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/005_human_developed_codebooks/C005_P1.html,C005_P1,partial,Artifact inferred from repository traces and aligned to the best-matching collected source.
A006_001,6,prompt_log,Structured prompts,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/006_maternal_health_interview_coding/C006_P1.html,C006_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A006_002,6,other,generated themes,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/006_maternal_health_interview_coding/C006_P1.html,C006_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A006_003,6,other,human–AI code comparisons,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/006_maternal_health_interview_coding/C006_P1.html,C006_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A006_004,6,memo_trail,coding memos,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/006_maternal_health_interview_coding/C006_P1.html,C006_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A007_001,7,PRISMA_log,PRISMA logs,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/007_agentic_title_abstract_screening/C007_P1.html,C007_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A007_002,7,other,search paths,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/007_agentic_title_abstract_screening/C007_P1.html,C007_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A007_003,7,other,inclusion/exclusion reasons,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/007_agentic_title_abstract_screening/C007_P1.html,C007_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A007_004,7,other,rescued-study logs,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/007_agentic_title_abstract_screening/C007_P1.html,C007_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A008_001,8,other,Study-type labels,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/008_study_type_classification_review_triage/C008_P1.html,C008_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A008_002,8,other,classifier probabilities,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/008_study_type_classification_review_triage/C008_P1.html,C008_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A008_003,8,other,human override logs,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/008_study_type_classification_review_triage/C008_P1.html,C008_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A009_001,9,citation_log,Citation logs,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/009_citation_grounded_multi_paper_synthesis/C009_P1.html,C009_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A009_002,9,other,retrieval snippets,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/009_citation_grounded_multi_paper_synthesis/C009_P1.html,C009_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A009_003,9,other,unsupported-claim checks,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/009_citation_grounded_multi_paper_synthesis/C009_P1.html,C009_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A009_004,9,other,human correction records,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/009_citation_grounded_multi_paper_synthesis/C009_P1.html,C009_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A010_001,10,other,Draft histories,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/010_citation_hallucination_checks/C010_P1.html,C010_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A010_002,10,other,bibliography correction logs,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/010_citation_hallucination_checks/C010_P1.html,C010_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A010_003,10,other,fake-reference incidents,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/010_citation_hallucination_checks/C010_P1.html,C010_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
A010_004,10,disclosure_form,disclosure notes,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/010_citation_hallucination_checks/C010_P1.html,C010_P1,yes,Artifact inferred from repository traces and aligned to the best-matching collected source.
