case_id,role_label,role_group,role_observable_in_case,status_in_case,confidence,evidence_basis_summary,main_supporting_source_ids,main_contrary_source_ids,notes
17,Relevance adjudicator,starting_role,no,not_applicable,medium,"Full text describes survey design, LLM-generated follow-ups, and clustering; no selection/triage of materials for an analysis universe appears, though the role is not explicitly excluded.",C017_P1,,Upgraded from low based on direct full-text review confirming the case is about data collection not corpus selection.
17,Mechanism disciplinarian,starting_role,no,not_applicable,high,"The paper frames Dynamic Surveys as exploratory elicitation to surface directional insights, not to constrain causal or mechanism claims, making the role clearly not applicable.",C017_P1,,Upgraded from low: explicit framing as early-stage/exploratory elicitation rules out mechanism adjudication.
17,Construct and perspective boundary setter,starting_role,partial,unclear,high,"Humans (survey creators) set the focal open-ended question and design the clustering/follow-up prompts (Appendix A.1, A.2), while LLMs generate emergent cluster boundaries in real time, producing genuine partial/shared construct-setting.",C017_P1,,Upgraded from low: Sections 3.1-3.3 directly show human prompt design plus LLM cluster generation.
17,Corpus pluralist,starting_role,no,not_applicable,high,"Case is about eliciting and clustering open-ended respondent answers, not about preserving a pluralistic evidence base across corpora; role does not arise.",C017_P1,,"Upgraded from low: direct full-text confirms scope is data elicitation,  not corpus curation."
17,Protocol and provenance architect,starting_role,yes,conditional,high,"Authors detail prompt engineering, protostudy refinement, structured clustering prompts, and a documented workflow (Sections 3.1-3.5, Figure 1, Appendices A.1-A.2), showing heavy human protocol design as a condition for valid outputs.",C017_P1,,Upgraded from medium: full-text shows explicit workflow/prompt architecture work by humans.
17,Counterfactual and transportability judge,starting_role,no,not_applicable,high,The paper explicitly flags educational-setting limits and cautions against generalizing to high-stakes or vulnerable populations but does not enact a transportability-judgment role in-case; role not applicable here.,C017_P1,,Upgraded from low: caveat about generalizability acknowledged but no in-case transportability adjudication work.
17,Situated interlocutor / context witness,starting_role,yes,conditional,high,"The paper positions Dynamic Surveys as a middle ground between structured surveys and interviews, with LLM-generated follow-ups substituting for interviewer probes; stakeholder interviews and respondent reflections still supply human situated input.",C017_P1,,Upgraded from medium: Sections 3.2 and 3.5 directly discuss the interviewer-like role and its partial LLM substitution.
17,Accountability and labor allocator,starting_role,no,not_applicable,high,"Paper focuses on platform design and field-study evaluation; no authorship/disclosure/responsibility allocation is discussed as a role, so it is clearly not applicable in-case.",C017_P1,,Upgraded from low: direct reading confirms no accountability-allocation work in scope.
17,Construct boundary setter,split_candidate,partial,unclear,high,LLM generates cluster labels (Section 3.3) while human survey creators fix the focal question and prompt rules; evidence for a genuine partial human construct-boundary role is direct.,C017_P1,,Upgraded from low: cluster-generation mechanism described at length supports partial status.
17,Perspective sampler,split_candidate,no,not_applicable,medium,"The platform explicitly elicits minority-opinion explanations and divergence between personal and aggregate rankings (Section 3.5), suggesting the role may in fact be observable; current row marks it not-applicable and text mildly contradicts this.",C017_P1,,Upgraded from low; flag for reviewer: Section 3.5 on minority-opinion explanations may warrant flipping observable to partial.
17,Counterfactual / transportability judge,split_candidate,no,not_applicable,high,"Source frames the work as exploratory elicitation with acknowledged generalization caveats but no in-case transportability adjudication, so the split-candidate role is not applicable.",C017_P1,,Upgraded from low: direct full-text confirms role not engaged.
17,Calibration architect,split_candidate,no,not_applicable,high,"No benchmarking or simulator calibration appears; evaluation is qualitative/field-study based (93 participants, stakeholder interviews), so role is clearly not applicable.",C017_P1,,Upgraded from low: direct reading of evaluation design rules out calibration work.
17,Situated interlocutor,split_candidate,yes,conditional,high,"LLM-generated follow-up questions explicitly aim to mimic how an interviewer encourages elaboration (Section 3.2), compressing but not eliminating the interlocutor role; human stakeholders still supply contextual framing.",C017_P1,,Upgraded from medium: direct quote comparing follow-ups to interviewer probes.
17,Context witness,split_candidate,yes,conditional,high,Stakeholder interviews on contextual risks and respondent explanations of ranking differences (Sections 1 and 3.5) supply contextual/tacit interpretive work that LLM clusters cannot produce alone.,C017_P1,,Upgraded from medium: full-text cites contextual-risk interviews and personal-context explanations.
17,Routine first-pass screener,shrinking_task_cluster,no,not_applicable,high,"Case concerns real-time elicitation and clustering of fresh responses, not title/abstract triage or coarse screening; this shrinking cluster does not arise.",C017_P1,,Upgraded from low: direct reading confirms no screening task in scope.
17,"Routine coder on high-consensus, ground-truth-rich tasks",shrinking_task_cluster,no,not_applicable,medium,"Related-work section (2.2) discusses AI taking over coding tasks and notes LLM coding still requires human validation, but the present case is data collection, not a ground-truth-rich coding task, so role is not materially engaged.",C017_P1,,Upgraded from low: Section 2.2 contextualizes but does not place this role in-case.
17,Structural prose polisher / drafter,shrinking_task_cluster,no,not_applicable,high,"LLMs here generate follow-up questions and cluster labels, not prose drafts or manuscript polishing; the shrinking-drafter cluster is clearly not engaged.",C017_P1,,Upgraded from low: direct reading of system use confirms no drafting/polishing role.
