case_id,role_label,role_group,role_observable_in_case,status_in_case,confidence,evidence_basis_summary,main_supporting_source_ids,main_contrary_source_ids,notes
4,Relevance adjudicator,starting_role,no,not_applicable,medium,"Authors fix the analysis universe to the 200 Austrian immigration statements from Ennser-Jedenastik and Meyer (2018) and later 200 sampled from Haselmayer and Jenny (2017), but the case is not about adjudicating which materials belong in scope.",C004_P1; C004_REGISTRY,,upgraded low to medium: corpus selection is described but is not the central role under test
4,Mechanism disciplinarian,starting_role,yes,robust,medium,"Authors constrain the causal interpretation of LLM behavior to a token-embedding / party-cue heuristic mechanism and test alternative prompts, temperatures, and a less-polarized corpus to rule out rival explanations.",C004_P1; C004_REGISTRY,,"upgraded low to medium and flipped observable no to yes: paper explicitly polices mechanism claims (embedding story) via prompt, temperature, and alternative-corpus robustness checks"
4,Construct and perspective boundary setter,starting_role,yes,split_pressure,high,Authors reuse the human codebook's explicit definitions of positive/negative/neutral stance on immigration and retain LLM-vs-human disagreement as a substantive finding rather than collapsing it.,C004_P1; C004_REGISTRY,,upgraded medium to high: full text directly concerns construct boundaries and visible disagreement
4,Corpus pluralist,starting_role,yes,conditional,high,"Authors deliberately add a second corpus (12,329 Austrian parliamentary and press-release statements covering less polarized domains) to stop the evidence base from collapsing onto the immigration corpus.",C004_P1; C004_REGISTRY,,upgraded low to high and flipped observable no to yes: second corpus (Haselmayer and Jenny 2017) is explicitly introduced to check whether findings depend on a single politically salient domain
4,Protocol and provenance architect,starting_role,yes,robust,high,"Authors design the full annotation protocol: identical prompts to human instructions, fresh client instances, temperature=0, ten replications per run, majority-rule adjudication, and alternative-prompt and temperature robustness runs.",C004_P1; C004_REGISTRY,,upgraded low to high and flipped observable partial to yes: protocol design is extensively documented in Replication setup section
4,Counterfactual and transportability judge,starting_role,yes,robust,high,Authors explicitly test whether the party-cue effect transports from the high-salience immigration corpus to a less polarized parliamentary-debate corpus and find party cues have no differentiating effect there.,C004_P1; C004_REGISTRY,,upgraded low to high and flipped observable no to yes: Appendix G transportability test is a central finding
4,Situated interlocutor / context witness,starting_role,no,not_applicable,high,"The design is offline text annotation of archival manifesto and parliamentary statements with no interviews, fieldwork, or interactive elicitation.",C004_P1; C004_REGISTRY,,upgraded low to high: confidently not applicable given the annotation-only design
4,Accountability and labor allocator,starting_role,partial,unclear,medium,"Discussion warns researchers about unknown priors in LLM annotators and frames implications for who is answerable when LLMs are deployed as coders, but does not allocate authorship or disclosure regimes.",C004_P1; C004_REGISTRY,,"upgraded low to medium and flipped observable no to partial: conclusion raises accountability concerns (unknown priors, inability to inspect training data) without formal allocation rules"
4,Construct boundary setter,split_candidate,yes,robust,high,The coding task hinges on the authors' explicit definitions of positive and negative immigration statements (with worked examples) that humans impose on both LLMs and human coders.,C004_P1; C004_REGISTRY,,upgraded medium to high: full-text confirmation of codebook-style construct boundary work
4,Perspective sampler,split_candidate,yes,split_pressure,high,"Authors preserve human-coder variance as the benchmark, report Krippendorff's Alpha across ten runs and across LLM-human pairs, and compare LLM and human labeling distributions side by side.",C004_P1; C004_REGISTRY,,upgraded low to high and flipped observable partial to yes: inter-LLM and inter-coder reliability analyses keep subgroup disagreement visible
4,Counterfactual / transportability judge,split_candidate,yes,conditional,high,"The alternative parliamentary-debate corpus is used explicitly to test whether LLM bias travels across policy salience contexts; the paper finds it does not, conditioning the original result.",C004_P1; C004_REGISTRY,,upgraded low to high and flipped observable no to yes: split-candidate version mirrors the starting role and is directly supported
4,Calibration architect,split_candidate,yes,conditional,high,Authors benchmark LLM outputs against the human-coder reference distribution from Ennser-Jedenastik and Meyer (2018) using Krippendorff's Alpha and predicted-probability comparisons.,C004_P1; C004_REGISTRY,,upgraded low to high and flipped observable no to yes: the whole evaluation is a calibration check against a human reference
4,Situated interlocutor,split_candidate,no,not_applicable,high,No interviewer or fieldworker is present; the task is automated annotation of pre-existing policy statements.,C004_P1; C004_REGISTRY,,upgraded low to high: confidently not applicable
4,Context witness,split_candidate,partial,unclear,medium,"Authors invoke contextual knowledge of Austrian immigration politics (e.g., anti-immigration rhetoric around needs assessments) to explain LLM-human disagreement, but contextual interpretation is illustrative rather than a primary workflow role.",C004_P1; C004_REGISTRY,,upgraded low to medium and flipped observable no to partial: Table 1 discussion uses tacit Austrian political context to adjudicate disputed labels
4,Routine first-pass screener,shrinking_task_cluster,no,not_applicable,high,"The design is full labeling of every statement, not title/abstract triage or coarse screening, so the screener cluster is not at stake.",C004_P1; C004_REGISTRY,,upgraded low to high: confidently not applicable
4,"Routine coder on high-consensus, ground-truth-rich tasks",shrinking_task_cluster,yes,shrinking,high,"The paper's core question is whether LLMs can replace human coders on a ground-truth-anchored sentiment task; it finds LLMs are internally consistent but systematically biased by party cues, so humans must remain as auditors rather than primary coders.",C004_P1; C004_REGISTRY,,upgraded low to high and flipped observable partial to yes and status unclear to shrinking: the whole paper is about this shrinking task cluster and its limits
4,Structural prose polisher / drafter,shrinking_task_cluster,no,not_applicable,high,"LLMs are used as label-producing annotators, not as drafters of prose; no sentence-level writing task is delegated.",C004_P1; C004_REGISTRY,,upgraded low to high: confidently not applicable
