case_id,role_label,role_group,role_observable_in_case,status_in_case,confidence,evidence_basis_summary,main_supporting_source_ids,main_contrary_source_ids,notes
33,Relevance adjudicator,starting_role,yes,conditional,high,"OpenScholar frames scientific synthesis as identifying relevant passages from 45M papers with expert-written queries and PhD rubric judges of coverage/relevance, and Deep Research Bench tasks are adjudicated against human-curated correct answers.",C033_P1; C033_S1,,Upgraded from low; observable changed from partial to yes because both sources make relevance adjudication central (expert queries/answers and rubric-based relevance scoring).
33,Mechanism disciplinarian,starting_role,no,not_applicable,high,"Neither source concerns causal mechanism claims; OpenScholar and Deep Research Bench evaluate retrieval/synthesis correctness and citation accuracy, not mechanism interpretation.",C033_P1; C033_S1,,Upgraded from low; full text confirms the role is not in scope.
33,Construct and perspective boundary setter,starting_role,no,not_applicable,high,The cases define benchmark correctness via expert rubrics and citation F1 rather than contested constructs or representational pluralism; social-science construct work is explicitly out of scope in OpenScholar limitations.,C033_P1; C033_S1,,Upgraded from low; OpenScholar explicitly excludes social sciences and focuses on literature synthesis correctness.
33,Corpus pluralist,starting_role,yes,robust,high,"OpenScholar deliberately combines dense OSDS retrieval, Semantic Scholar keyword API, and web search because web-only performs worst (45.9 vs 49.6 correctness), and it excludes license-protected papers; Deep Research Bench contrasts RetroSearch frozen corpus with live web.",C033_P1; C033_S1,,"Upgraded from low; status strengthened from conditional to robust because ablations show combined retrieval beats any single corpus, proving human corpus design still matters."
33,Protocol and provenance architect,starting_role,yes,robust,high,"OpenScholar open-sources code, models, OSDS datastore, ScholarQABench, and demo; documents evaluation protocol (rubric scoring, citation precision/recall, inter-rater agreement 0.68-0.70, expert payment, annotator-question separation); Deep Research Bench provides RetroSearch to control for the shifting web.",C033_P1; C033_S1,,"Upgraded from low; status upgraded to robust given extensive provenance engineering (frozen corpora, open artefacts, versioned peS2o v2/v3)."
33,Counterfactual and transportability judge,starting_role,yes,conditional,high,OpenScholar explicitly warns findings may not generalize to social sciences or other domains and recommends excluding papers after benchmark cutoff dates; Deep Research Bench argues offline RetroSearch is comparable to live-web performance as a transportability claim.,C033_P1; C033_S1,,"Upgraded from low; observable changed from no to yes and status to conditional because both sources engage directly with transportability (domain generalization, time cutoffs, live vs frozen web)."
33,Situated interlocutor / context witness,starting_role,no,not_applicable,high,"Neither source involves fieldwork, interviews, or interpretive presence; evaluation is web-based query answering scored by remote PhD raters.",C033_P1; C033_S1,,Upgraded from low; full text confirms role is not in scope.
33,Accountability and labor allocator,starting_role,yes,conditional,high,"OpenScholar states it does not claim that LM-based systems can fully automate scientific literature synthesis, lists named author contributions, pays expert writers US$35-40 and raters US$25-35, and flags copyright/license responsibility for retrieval.",C033_P1; C033_S1,,Upgraded from low; observable changed from no to yes because the paper explicitly allocates labor (expert writers vs raters vs authors) and retains human accountability.
33,Construct boundary setter,split_candidate,no,not_applicable,high,"Construct boundary work (category rules, codebook design) is not the pressure point; rubrics are treated as given expert artefacts, not as contested category systems.",C033_P1; C033_S1,,Upgraded from low based on direct text reading.
33,Perspective sampler,split_candidate,no,not_applicable,high,"Neither benchmark preserves subgroup disagreement; aggregate rubric and pairwise judgements collapse experts into majority/tie verdicts, with inter-rater agreement reported as a reliability statistic.",C033_P1; C033_S1,,Upgraded from low; full text confirms no perspective-sampling design.
33,Counterfactual / transportability judge,split_candidate,yes,conditional,high,"Split role warranted: OpenScholar flags domain non-generalization (no social-science instances) and recency cutoffs, and Deep Research Bench tests whether frozen RetroSearch results transport to live web.",C033_P1; C033_S1,,Upgraded from low; observable changed from no to yes because transportability is pressure-tested explicitly (RetroSearch vs live web; peS2o v2/v3 cutoffs).
33,Calibration architect,split_candidate,yes,conditional,high,"OpenScholar reports calibration against expert-written answers (51% and 70% win rates), human inter-rater agreement (0.68/0.70), Prometheus LLM-judge alignment, and length-controlled re-evaluation to debias automatic scorers; Deep Research Bench calibrates RetroSearch against live web.",C033_P1; C033_S1,,Upgraded from low; observable changed from no to yes because calibration of model outputs to expert reference distributions is a central methodological move.
33,Situated interlocutor,split_candidate,no,not_applicable,high,No fieldwork or interview component in either source; queries come from expert writers working asynchronously online.,C033_P1; C033_S1,,Upgraded from low.
33,Context witness,split_candidate,no,not_applicable,high,No tacit/archival interpretive component; PhD raters judge long-form answers against citations rather than contextual traces.,C033_P1; C033_S1,,Upgraded from low.
33,Routine first-pass screener,shrinking_task_cluster,yes,shrinking,high,"OpenScholar's retriever+reranker shrinks the initial passage-triage step (70 candidates narrowed to top N by cross-encoder) and Deep Research Bench automates multi-step web triage across 89 tasks, with agent trace evaluation for tool use and forgetting.",C033_P1; C033_S1,,"Upgraded from low; both sources directly evidence automation of first-pass screening, though humans still audit final synthesis."
33,"Routine coder on high-consensus, ground-truth-rich tasks",shrinking_task_cluster,yes,shrinking,high,"Short-form single-paper tasks (PubMedQA, SciFact, QASA) have ground-truth answers and OpenScholar-8B reaches or exceeds GPT-4o and matches expert-level citation accuracy, indicating ground-truth-rich coding is shrinking toward audit.",C033_P1; C033_S1,,Upgraded from low; observable changed from no to yes because ground-truth-rich single-paper subtasks are explicit in ScholarQABench and show strong AI performance.
33,Structural prose polisher / drafter,shrinking_task_cluster,yes,shrinking,high,"OpenScholar-GPT-4o produces longer, better-organized drafts than experts (organization 4.63 vs 4.06) and is preferred over expert-written answers in 70% of pairwise comparisons, indicating prose drafting/polishing is being delegated.",C033_P1; C033_S1,,Upgraded from low; observable changed from no to yes because long-form drafting outperforms experts on organization while humans still set rubrics.
