case_id,role_label,role_group,role_observable_in_case,status_in_case,confidence,evidence_basis_summary,main_supporting_source_ids,main_contrary_source_ids,notes
12,Relevance adjudicator,starting_role,yes,conditional,medium,"Authors explicitly scope the analysis universe to NSF/NIH proposals from two R1 universities (D1-D2) and the full population of public NSF/NIH awards (D3-D4) with 2021-2025 start dates, a human inclusion decision.",C012_P1; C012_REGISTRY,,Upgraded from low: source makes data-scoping choices explicit but they are design decisions not central findings.
12,Mechanism disciplinarian,starting_role,yes,conditional,high,"Causal interpretation is explicitly disciplined by investigator and field fixed effects, requested-funding controls, and bottlenecks-perspective caveats distinguishing writing gains from execution-driven outputs.",C012_P1; C012_REGISTRY,,"Upgraded from low to high and observable changed from partial to yes: fixed-effects design, acknowledgment that ambitious labs may both use AI and write better proposals, and bottlenecks caveat are load-bearing human mechanism-disciplining moves."
12,Construct and perspective boundary setter,starting_role,no,not_applicable,medium,"Construct boundaries (LLM involvement alpha, semantic distinctiveness percentile) are operational measurement definitions rather than socially contested construct work.",C012_P1; C012_REGISTRY,,Upgraded from low: source makes clear the constructs are operational metrics not pluralistic social constructs.
12,Corpus pluralist,starting_role,partial,conditional,medium,"Authors pair confidential multi-university submission corpus (funded, unfunded, pending) with full-population public NSF/NIH awards, deliberately resisting reliance on only the publicly legible corpus.",C012_P1; C012_REGISTRY,,"Upgraded from low to medium and observable/status changed from no/not_applicable to partial/conditional: combining private submissions with public awards is the core corpus-pluralism move, though framed as complementarity rather than anti-homogenization."
12,Protocol and provenance architect,starting_role,yes,conditional,high,"Paper documents a full detection/measurement protocol (Liang et al. method, 2021 pre-ChatGPT human baseline, GPT-3.5-turbo rewrites, three-month rolling windows, SPECTER2 embeddings) and explicitly discusses NIH and NSF disclosure/AI-use guidance.",C012_P1; C012_REGISTRY,,Upgraded from low to high and observable/status changed from no/not_applicable to yes/conditional: the paper is built around a reproducible detection pipeline and explicitly references NIH NOT-OD-25-132 and NSF disclosure notices.
12,Counterfactual and transportability judge,starting_role,yes,conditional,high,"Robustness checks (promotional words, L2 vs cosine, logit/NB, alternate comparison windows, field-level and subagency replications) plus explicit agency-heterogeneity discussion (NIH vs NSF) are sustained transportability adjudications.",C012_P1; C012_REGISTRY,,Upgraded from low to high and observable/status changed from no/not_applicable to yes/conditional: Robustness and sensitivity section plus bottlenecks/agency-dependence discussion make this role central.
12,Situated interlocutor / context witness,starting_role,no,not_applicable,high,"Study is a large-scale quantitative analysis of proposal and award abstracts with no fieldwork, interviews, or interpretive interaction; role is clearly not applicable.",C012_P1; C012_REGISTRY,,Upgraded from low to high: full text confirms no situated/interpretive data generation.
12,Accountability and labor allocator,starting_role,yes,conditional,high,Paper explicitly cites NIH NOT-OD-25-132 (applications substantially developed by AI not considered original work) and NSF's investigator-responsibility/disclosure notice as accountability mechanisms around LLM use.,C012_P1; C012_REGISTRY,,"Upgraded from low to high: the policy paragraph on NIH and NSF AI guidance directly addresses authorship, responsibility, and disclosure."
12,Construct boundary setter,split_candidate,no,not_applicable,medium,Alpha and distinctiveness are operational measurement definitions; no codebook-style category-boundary work is undertaken.,C012_P1; C012_REGISTRY,,Upgraded from low: source makes the absence of category-boundary work clear.
12,Perspective sampler,split_candidate,no,not_applicable,medium,Analysis aggregates across investigators and agencies without preserving subgroup disagreement as a representational goal.,C012_P1; C012_REGISTRY,,Upgraded from low: no perspective-pluralism design evident in full text.
12,Counterfactual / transportability judge,split_candidate,yes,conditional,high,Agency-dependence findings (NIH effects do not transport to NSF) and bottlenecks argument against extrapolating writing gains to downstream impact are explicit transportability judgments.,C012_P1; C012_REGISTRY,,Upgraded from low to high and observable/status changed from no/not_applicable to yes/conditional: the paper's central empirical contribution is about when LLM effects do and do not transport across agencies and across writing-vs-impact outcomes.
12,Calibration architect,split_candidate,yes,conditional,high,"Detection method is explicitly calibrated against a 2021 pre-ChatGPT human word distribution and a GPT-3.5-turbo-0125 reference distribution, with distinctiveness percentiles benchmarked to prior-year agency funding frontiers.",C012_P1; C012_REGISTRY,,Upgraded from low to high and observable/status changed from no/not_applicable to yes/conditional: the LLM-detection and distinctiveness measures are built on explicit calibration to external reference distributions.
12,Situated interlocutor,split_candidate,no,not_applicable,high,No fieldwork or interviewer presence anywhere in the study design.,C012_P1; C012_REGISTRY,,Upgraded from low to high: full text confirms not applicable.
12,Context witness,split_candidate,no,not_applicable,high,Study analyzes abstracts computationally and does not rely on tacit or archival context interpretation; role not applicable.,C012_P1; C012_REGISTRY,,Upgraded from low to high: full text confirms not applicable.
12,Routine first-pass screener,shrinking_task_cluster,no,not_applicable,medium,"Paper studies LLM use by applicants, not triage/screening by reviewers; no title/abstract screening task is being delegated.",C012_P1; C012_REGISTRY,,"Upgraded from low: the pipeline stages examined are submission and award, not reviewer-side screening."
12,"Routine coder on high-consensus, ground-truth-rich tasks",shrinking_task_cluster,no,not_applicable,medium,"No human coding task with ground-truth labels is present; LLM-use detection is statistical distribution-matching, not coder replacement.",C012_P1; C012_REGISTRY,,Upgraded from low: absence of a routine-coder task is clear from the methods.
12,Structural prose polisher / drafter,shrinking_task_cluster,yes,transformed,high,"Authors show LLM use in proposal drafting is detectable, bimodal, and consequential: it is associated with lower semantic distinctiveness and, at NIH, higher funding probability and non-hit publication counts, indicating prose drafting is being actively reshaped.",C012_P1; C012_REGISTRY,,Upgraded from low to high and observable/status changed from no/not_applicable to yes/transformed: the paper's entire empirical object is LLM-assisted proposal drafting and its portfolio-level consequences for agenda compression.
