case_id,role_label,role_group,role_observable_in_case,status_in_case,confidence,evidence_basis_summary,main_supporting_source_ids,main_contrary_source_ids,notes
26,Relevance adjudicator,starting_role,yes,transformed,high,"Methodology states APE autonomously generates research ideas and pivots to new questions when data is unavailable, with humans still setting guardrails and a feedback channel for research-direction critique.",C026_P1; C026_S1,,Upgraded from low; direct methodology and landing-page evidence on idea selection and data-availability pivots.
26,Mechanism disciplinarian,starting_role,partial,transformed,high,"Judge prompt explicitly evaluates identification strategy and causal credibility, and the judge rewards rigorous identification while penalizing weak identification and violated assumptions.",C026_P1; C026_S1,,Upgraded from low; direct text on causal-inference criteria and identification rubric.
26,Construct and perspective boundary setter,starting_role,no,not_applicable,high,Sources describe an econometrics-paper pipeline with no construct definition or socially meaningful disagreement-preservation task.,C026_P1; C026_S1,,Upgraded from low; domain scope (policy evaluation papers) makes role clearly not applicable.
26,Corpus pluralist,starting_role,no,not_applicable,high,"APE restricts analysis to real data from public APIs only, with no human role preserving evidence-base pluralism across non-machine-friendly corpora.",C026_P1; C026_S1,,Upgraded from low; explicit Real Data Only principle makes role clearly not applicable.
26,Protocol and provenance architect,starting_role,yes,transformed,high,"Methodology specifies complete replication materials, git audit trails, locked key files, replication testing, and automated integrity checks as core design principles.",C026_P1; C026_S1,,"Upgraded from low; direct evidence on workflow design,  provenance,  and reproducibility scaffolding."
26,Counterfactual and transportability judge,starting_role,partial,transformed,high,"Judge calibration is validated against peer-reviewed human papers, and the tournament explicitly asks whether APE outputs can travel alongside AER/AEJ:Policy benchmarks.",C026_P1; C026_S1,,Upgraded from low; calibration-results and human-benchmark framing directly address transportability.
26,Situated interlocutor / context witness,starting_role,no,not_applicable,high,"APE pipeline uses only public API data with no fieldwork, interviews, or interpretive settings where human presence would change available data.",C026_P1; C026_S1,,Upgraded from low; methodology scope rules out situated data generation.
26,Accountability and labor allocator,starting_role,yes,transformed,high,"Site carries an explicit warning that none of the papers are peer-reviewed and should not inform policy, and opens a public feedback channel for error reporting and paper critique.",C026_P1; C026_S1,,Upgraded from low; direct disclaimers and human feedback loop show where accountability is held.
26,Construct boundary setter,split_candidate,no,not_applicable,high,No category definition or codebook-rule work appears in the APE pipeline as described.,C026_P1; C026_S1,,Upgraded from low; domain of applied econometric papers makes this split irrelevant.
26,Perspective sampler,split_candidate,no,not_applicable,high,"Ensemble design uses multiple models to avoid self-preference, not to preserve subgroup or stakeholder disagreement.",C026_P1; C026_S1,,Upgraded from low; ensemble is about bias control not representational pluralism.
26,Counterfactual / transportability judge,split_candidate,partial,unclear,high,"Tournament directly pressures whether AI-written papers can be moved into the comparison set of top-journal human papers, though methodology warns rankings are noisy and not ground truth.",C026_P1; C026_S1,,Upgraded from low; explicit pressure-test framing with humility caveats keeps status unclear.
26,Calibration architect,split_candidate,partial,unclear,high,"TrueSkill ratings, position-swapped matching, validation of the Gemini judge against peer-reviewed papers, and integrity virtual losses all describe calibration scaffolding, but methodology is noted as work in progress.",C026_P1; C026_S1,,Upgraded from low; benchmarking machinery is extensive but explicitly evolving.
26,Situated interlocutor,split_candidate,no,not_applicable,high,"No interviewer or fieldworker role in the pipeline, which is entirely desk-based automated analysis.",C026_P1; C026_S1,,Upgraded from low; pipeline scope rules out this split.
26,Context witness,split_candidate,no,not_applicable,high,"No archival, tacit-knowledge, or transcript-interpretation work appears in methodology; analysis uses public API data only.",C026_P1; C026_S1,,Upgraded from low; pipeline scope rules out this split.
26,Routine first-pass screener,shrinking_task_cluster,yes,shrinking,high,"Six-stage automated review runs advisor, theory, exhibit, prose, and referee review with no human triage, materially reducing first-pass screening to an AI workflow.",C026_P1; C026_S1,,Upgraded from low; status changed to shrinking with direct methodology evidence. Was previously coded no/not_applicable; text clearly describes an automated first-pass screening stack.
26,"Routine coder on high-consensus, ground-truth-rich tasks",shrinking_task_cluster,no,not_applicable,high,Pipeline produces econometric papers end to end; there is no labeling or annotation task with external ground truth where humans previously coded.,C026_P1; C026_S1,,Upgraded from low; task type is research generation not annotation.
26,Structural prose polisher / drafter,shrinking_task_cluster,yes,shrinking,high,"Claude Code drafts LaTeX end to end and a dedicated iterative prose-review stage handles writing-quality feedback, with no human drafting or polishing step retained.",C026_P1; C026_S1,,Upgraded from low; status changed to shrinking with direct evidence on AI drafting and prose-review stage. Was previously coded no/not_applicable; methodology explicitly describes AI drafting and prose polishing.
