source_id,case_id,source_role,source_title,authors / organization,year,source_type,evidence_tier,DOI,URL,local_raw_path,local_text_path,retrieval_date,access_status,why_included,notes
C001_REGISTRY,1,registry,Repository workbook entry for Case 001,Local workbook / repository curation,2026,registry_workbook_entry,commentary / forum / boundary evidence,,,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/00_input/ai_rich_social_science_case_repository.xlsx,,2026-04-07,open,"Preserves repository provenance, curation notes, confounds, and role hypotheses.",Internal seed source provided by the user.
C001_P1,1,primary,Social Science Computer Review,,,journal article,peer-reviewed article,,https://journals.sagepub.com/doi/10.1177/08944393241286471,/Users/ryanwong/Human roles/p1_role_systems_db/03_raw_sources/001_objective_party_annotation/C001_P1.pdf,/Users/ryanwong/Human roles/p1_role_systems_db/04_extracted_text/001_objective_party_annotation/C001_P1_pdf.txt,2026-04-07,open,Primary source listed in the repository workbook.,Full-text PDF obtained via institutional access and stored locally on 2026-04-07.
C001_S1,1,secondary,"Large Language Models Outperform Expert Coders and Supervised Classifiers at Annotating Political Social Media Messages (UvA-DARE green OA deposit, CC BY)","Tornberg, Petter",2025,journal article,peer-reviewed article,10.1177/08944393241286471,https://doi.org/10.1177/08944393241286471,,/Users/ryanwong/Human roles/p1_role_systems_db/04_extracted_text/001_objective_party_annotation/C001_S1.txt,2026-04-07,open,Lawful CC BY green-OA deposit of the same peer-reviewed article whose journal landing page (C001_P1) is anti-bot blocked. Provides the substantive evidence used in wave-3 role coding.,Green-OA deposit via University of Amsterdam (UvA-DARE). License: CC BY.
C002_REGISTRY,2,registry,Repository workbook entry for Case 002,Local workbook / repository curation,2026,registry_workbook_entry,commentary / forum / boundary evidence,,,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/00_input/ai_rich_social_science_case_repository.xlsx,,2026-04-07,open,"Preserves repository provenance, curation notes, confounds, and role hypotheses.",Internal seed source provided by the user.
C002_P1,2,primary,Codebook LLMs: Evaluating LLMs as Measurement Tools for Political Science Concepts,Katherine A. Keith,2026,journal article,peer-reviewed article,10.1017/pan.2025.10017,https://www.cambridge.org/core/journals/political-analysis/article/codebook-llms-evaluating-llms-as-measurement-tools-for-political-science-concepts/7B323A0E47F782F2698A0AE849EA00DE,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/002_contested_codebook_measurement/C002_P1.html,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/04_extracted_text/002_contested_codebook_measurement/C002_P1.txt,2026-04-07,open,Primary source listed in the repository workbook.,Reused cached HTML/text snapshot
C003_REGISTRY,3,registry,Repository workbook entry for Case 003,Local workbook / repository curation,2026,registry_workbook_entry,commentary / forum / boundary evidence,,,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/00_input/ai_rich_social_science_case_repository.xlsx,,2026-04-07,open,"Preserves repository provenance, curation notes, confounds, and role hypotheses.",Internal seed source provided by the user.
C003_P1,3,primary,Multi-Perspective LLM Annotations for Valid Analyses in Subjective Tasks,"Gligorić, Kristina",,preprint,preprint,,https://arxiv.org/abs/2603.21404,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/003_multi_perspective_annotation/C003_P1.html,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/04_extracted_text/003_multi_perspective_annotation/C003_P1.txt,2026-04-07,open,Primary source listed in the repository workbook.,Reused cached HTML/text snapshot
C004_REGISTRY,4,registry,Repository workbook entry for Case 004,Local workbook / repository curation,2026,registry_workbook_entry,commentary / forum / boundary evidence,,,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/00_input/ai_rich_social_science_case_repository.xlsx,,2026-04-07,open,"Preserves repository provenance, curation notes, confounds, and role hypotheses.",Internal seed source provided by the user.
C004_P1,4,primary,LLMs as annotators: the effect of party cues on labelling decisions by large language models,"Driggers, Hunter",,journal article,peer-reviewed article,10.1057/s41599-025-05834-4,https://www.nature.com/articles/s41599-025-05834-4,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/03_raw_sources/004_party_cue_perturbation/C004_P1.html,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/04_extracted_text/004_party_cue_perturbation/C004_P1.txt,2026-04-07,open,Primary source listed in the repository workbook.,Reused cached HTML/text snapshot
C005_REGISTRY,5,registry,Repository workbook entry for Case 005,Local workbook / repository curation,2026,registry_workbook_entry,commentary / forum / boundary evidence,,,/Users/ryanwong/Documents/Playground/p1_role_systems_db_build/p1_role_systems_db/00_input/ai_rich_social_science_case_repository.xlsx,,2026-04-07,open,"Preserves repository provenance, curation notes, confounds, and role hypotheses.",Internal seed source provided by the user.
C005_P1,5,primary,"January-December 2025, Vol. 11, No. 1, pp. 1 –23",,,journal article,peer-reviewed article,,https://journals.sagepub.com/doi/10.1177/23328584251374595,/Users/ryanwong/Human roles/p1_role_systems_db/03_raw_sources/005_human_developed_codebooks/C005_P1.pdf,/Users/ryanwong/Human roles/p1_role_systems_db/04_extracted_text/005_human_developed_codebooks/C005_P1_pdf.txt,2026-04-07,open,Primary source listed in the repository workbook.,Full-text PDF obtained via institutional access and stored locally on 2026-04-07.
