case_id,role_label,role_group,role_observable_in_case,status_in_case,confidence,evidence_basis_summary,main_supporting_source_ids,main_contrary_source_ids,notes
24,Relevance adjudicator,starting_role,no,not_applicable,high,The preprint and APE page frame the task as testing pre-specified hypotheses on a fixed NYSE TAQ dataset (P1) and running automated tournaments on public data (S1); neither case turns on human selection of which materials belong in the analysis universe.,C024_P1; C024_S1,,Upgraded from low to high: full-text confirms no relevance-adjudication pressure in this case.
24,Mechanism disciplinarian,starting_role,partial,split_pressure,high,"C024_P1 documents that 150 autonomous agents diverge on measure-choice forks (autocorrelation vs variance ratio, dollar vs share volume) and that AI agents omit relative-change specifications entirely, making human constraint on acceptable measure/mechanism logic the central finding of the case.",C024_P1,,Upgraded from low to high: case is a canonical illustration of mechanism-disciplinarian pressure (codebook lists case 24 as an example); preprint directly discusses measure-choice forks.
24,Construct and perspective boundary setter,starting_role,no,not_applicable,high,The six hypotheses about market quality trends are taken as given from Menkveld et al. (2024) rather than renegotiated; C024_P1 describes no construct-definition or pluralism boundary work.,C024_P1,,Upgraded from low to high: full-text shows constructs are inherited not contested.
24,Corpus pluralist,starting_role,no,not_applicable,high,"Agents share a single fixed corpus (NYSE TAQ SPY 2015-2024, 66 GB) in C024_P1; APE similarly uses shared public data (C024_S1). No role for keeping multiple corpora alive.",C024_P1; C024_S1,,Upgraded from low to high: single-corpus design explicit in both sources.
24,Protocol and provenance architect,starting_role,yes,split_pressure,high,"C024_P1 explicitly designs a three-stage feedback protocol (independent analysis, AI peer review, exemplar exposure) mirroring Menkveld et al.; APE publishes methodology, code, data, and failures openly and runs a structured TrueSkill tournament with position-swapping controls.",C024_P1; C024_S1,,Upgraded from low to high: protocol/provenance design is front-and-center in both sources.
24,Counterfactual and transportability judge,starting_role,yes,split_pressure,high,"C024_P1 explicitly warns that convergence reflects imitation not understanding and that AI multiverses may be structurally narrower than human ones, raising transportability of AI-generated estimates; C024_S1 warns papers should not be used for evidence-based policy making without peer review.",C024_P1; C024_S1,,Upgraded from low to high: both sources foreground transportability/credibility concerns.
24,Situated interlocutor / context witness,starting_role,no,not_applicable,high,"The pipeline is fully autonomous on archival market microstructure data with no human intervention (C024_P1); no field, interview, or interpretive setting exists.",C024_P1,,Upgraded from low to high: explicit no-human-in-loop design.
24,Accountability and labor allocator,starting_role,partial,split_pressure,high,"C024_S1 carries explicit disclaimers that APE papers are not peer-reviewed, may contain hallucinations/fabricated results, and should not inform policy; C024_P1 frames policy implications of AI-generated empirics, both pushing accountability back onto human researchers and institutions.",C024_P1; C024_S1,,Upgraded from low to high: accountability caveats are prominent in both sources.
24,Construct boundary setter,split_candidate,no,not_applicable,high,Neither source shows humans negotiating category boundaries or codebook rules; hypotheses and measures are drawn from Menkveld et al. or left to agents.,C024_P1,,Upgraded from low to high: no construct-definition work in the case.
24,Perspective sampler,split_candidate,no,not_applicable,high,"C024_P1 studies dispersion across agents but does not treat subgroup perspectives or representational pluralism; divergence is measured as NSE, not preserved as legitimate plural views.",C024_P1,,Upgraded from low to high: dispersion framed as noise to characterize not plurality to preserve.
24,Counterfactual / transportability judge,split_candidate,partial,split_pressure,high,"C024_P1 explicitly stresses that exemplar-driven convergence reflects imitation not understanding and cautions about automated policy evaluation; C024_S1 warns AI papers should not inform policy, directly pressing the travel-across-settings question.",C024_P1; C024_S1,,Upgraded from low to high: case is a codebook example for this split (case 24 listed under mechanism disciplinarian but transportability pressure is directly textually supported).
24,Calibration architect,split_candidate,partial,split_pressure,high,"C024_P1's Stage 3 uses five highest-rated exemplar papers as calibration anchors that collapse IQR 80-99%, and C024_S1 runs a TrueSkill tournament benchmarking APE papers against AER/AEJ human papers with a Gemini-3.1 judge; both are explicit benchmarking/calibration designs.",C024_P1; C024_S1,,Upgraded from low to high: calibration design is central to both sources.
24,Situated interlocutor,split_candidate,no,not_applicable,high,Fully autonomous pipeline on archival TAQ data (C024_P1); no interviewer or fieldworker role exists.,C024_P1,,Upgraded from low to high.
24,Context witness,split_candidate,no,not_applicable,high,No tacit/archival interpretive work is described; agents autonomously explore structured market data (C024_P1).,C024_P1,,Upgraded from low to high.
24,Routine first-pass screener,shrinking_task_cluster,no,not_applicable,high,No triage or abstract-screening task exists; hypotheses are fixed and agents operate end-to-end on raw data (C024_P1).,C024_P1,,Upgraded from low to high.
24,"Routine coder on high-consensus, ground-truth-rich tasks",shrinking_task_cluster,no,not_applicable,high,No labeling task with external ground truth is present; the case is about methodological choice dispersion not coder-auditor shift (C024_P1).,C024_P1,,Upgraded from low to high.
24,Structural prose polisher / drafter,shrinking_task_cluster,no,not_applicable,medium,"Agents write 2,000-4,000-word research reports autonomously (C024_P1) and APE produces full academic papers end-to-end (C024_S1), indicating AI drafting occurs, but neither source frames prose polishing as a distinct shrinking human task cluster within the case.",C024_P1; C024_S1,,"Upgraded from low to medium: AI drafting is observed but the case's focus is on empirical-analysis variation, not on displacing a human polisher role; kept observable=no since the role is not separately exercised by humans here."
