case_id,role_label,role_group,role_observable_in_case,status_in_case,confidence,evidence_basis_summary,main_supporting_source_ids,main_contrary_source_ids,notes
28,Relevance adjudicator,starting_role,no,not_applicable,high,"C028_P1 explicitly curates only 5 fully-reproducible R-based studies via fixed selection criteria and C028_S1 applies a universal criteria set C1-C5 to select 112 papers; paper selection is a fixed upstream filter, not an in-case adjudication role.",C028_P1; C028_S1,,Upgraded from low to high: paper-selection procedures are fully described and scope-limiting rather than acting as a live role in the repair/assessment task.
28,Mechanism disciplinarian,starting_role,partial,unclear,medium,C028_P1 flags that models can write executable but analytically incorrect code (Wysocka et al. citation) and validates outputs against ground truth; C028_S1 notes critical reasoning and causal reasoning are required to evaluate reproducibility but neither source describes humans actively disciplining mechanism claims during the AI run.,C028_P1; C028_S1,,"Upgraded from low to medium: concern is acknowledged (plausible-but-wrong outputs, critical reasoning demands) but the human mechanism-disciplinarian role is not directly operationalized in the repair workflows."
28,Construct and perspective boundary setter,starting_role,no,not_applicable,high,Both sources operate on fixed ground-truth outputs and pre-defined reproducibility score categories (1-4 in C028_S1; Reproduced/Not Reproduced in C028_P1); no construct-boundary work is at stake in the AI-run repair or assessment.,C028_P1; C028_S1,,Upgraded from low to high: task definition clearly does not engage construct or perspective boundaries.
28,Corpus pluralist,starting_role,no,not_applicable,high,C028_P1 uses a curated 5-paper R-only corpus and C028_S1 deliberately samples across Stata/R/MATLAB/Julia/Python and .dta/.csv/.rda/.xlsx/.sav to avoid corpus collapse; corpus composition is a fixed benchmark-design choice rather than a live role.,C028_P1; C028_S1,,Upgraded from low to high: corpus-diversity considerations are handled at benchmark-design stage and not as an in-case human role.
28,Counterfactual and transportability judge,starting_role,no,not_applicable,high,"Both papers explicitly restrict scope to computational reproducibility (same data, same code) and avoid replicability or transportability claims (C028_S1 Section 2 distinguishes reproducibility from replicability); the role is scoped out by design.",C028_P1; C028_S1,,"Upgraded from low to high: sources directly define the task as reproducibility-only,  ruling out transportability work."
28,Situated interlocutor / context witness,starting_role,no,not_applicable,high,"Both workflows run in isolated Docker containers with no field, interview, or interpretive setting; C028_P1 explicitly emphasizes containerized, environment-stabilized execution and C028_S1 preinstalls all required software.",C028_P1; C028_S1,,Upgraded from low to high: task is purely containerized code-repair with no situated human interaction.
28,Accountability and labor allocator,starting_role,yes,transformed,high,"C028_P1 discloses author funding/DFG grants, states AI was used for language editing, and keeps human authors accountable for claims; C028_S1 describes a lead author plus 5-member team with a legal expert cross-verifying annotations via consensus, showing explicit labor allocation and accountability even as AI does repair/assessment.",C028_P1; C028_S1,,Upgraded from low to high and changed observable from partial/unclear to yes/transformed: both sources give direct evidence of human accountability structures and labor allocation around the AI system.
28,Protocol and provenance architect,starting_role,yes,robust,high,"C028_P1 describes in detail the controlled benchmark design, fixed Docker (rocker/r-ver:4.4.1, 8GB/8CPU), standardized artifact collection (logs, metadata, repaired workdir), validation via ground-truth matching, and three prompt-template versions; C028_S1 specifies universal criteria C1-C5, ground-truth annotation procedure, scoring rubric 1-4, fixed evaluation harness, cost cap $4/task, and applicability rules. Both are textbook protocol-and-provenance work.",C028_P1; C028_S1,,Upgraded from low to high: protocol/provenance architecture is the dominant human labor documented in both sources and is what makes the agentic results legible.
28,Construct boundary setter,split_candidate,no,not_applicable,high,No construct-definition work arises; ground-truth outputs and reproducibility scores are pre-fixed in both C028_P1 (Reproduced/Not Reproduced) and C028_S1 (1-4 rubric with worked examples).,C028_P1; C028_S1,,Upgraded from low to high: sources confirm construct boundaries are pre-set at benchmark design.
28,Perspective sampler,split_candidate,no,not_applicable,high,Neither source involves subgroup disagreement or pluralistic coding; C028_S1 explicitly reaches full agreement via consensus annotation and C028_P1 uses deterministic ground-truth matching.,C028_P1; C028_S1,,Upgraded from low to high: consensus-driven annotation and deterministic validation preclude perspective sampling.
28,Counterfactual / transportability judge,split_candidate,no,not_applicable,high,"As with the parent role, both sources restrict scope to computational reproducibility on the original data; no cross-population or cross-context claims are attempted.",C028_P1; C028_S1,,Upgraded from low to high: scope explicitly excludes transportability.
28,Calibration architect,split_candidate,partial,unclear,medium,C028_P1 calibrates prompt templates at three context levels via early trials and compares against ground-truth outputs; C028_S1 calibrates applicability/accuracy metrics and a cost cap. These are benchmarking activities but not simulator calibration in the classical sense.,C028_P1; C028_S1,,"Upgraded from low to medium: both sources show benchmarking/calibration-of-evaluation work, though not matching model outputs to an external reference distribution in the canonical sense."
28,Situated interlocutor,split_candidate,no,not_applicable,high,"No fieldwork, interviews, or live respondents are involved; both workflows are fully automated in isolated Docker environments.",C028_P1; C028_S1,,Upgraded from low to high: clearly not applicable.
28,Context witness,split_candidate,partial,conditional,medium,"C028_P1 shows that prompt richness (paper Markdown plus supporting scripts) materially lifts repair rates on Category C structural-logic errors (e.g., GPT-4o Category C rises from 42.9% minimal to 71.4% full), implying that human-authored paper context remains load-bearing for complex analytical reconstruction; C028_S1 similarly requires agents to extract information from original PDFs and READMEs.",C028_P1; C028_S1,,"Upgraded from low to medium and observable from no/not_applicable to partial/conditional: evidence that context richness is decisive for complex cases points to residual context-witness labor embodied in human-written artifacts, even though no live human witness is present during runs."
28,Routine first-pass screener,shrinking_task_cluster,no,not_applicable,high,"Task is code repair and reproducibility scoring, not title/abstract triage or early study screening; no screening cluster is at stake.",C028_P1; C028_S1,,Upgraded from low to high: task type does not match screener cluster.
28,"Routine coder on high-consensus, ground-truth-rich tasks",shrinking_task_cluster,yes,shrinking,high,"C028_P1 directly tests whether AI can take over routine debugging against ground-truth outputs; Claude Code agent reaches 96.3% (Cat A), 91.7% (Cat B), 82.1% (Cat C) and the paper explicitly argues agents can meaningfully reduce manual labour while improving the reliability of reproducibility repair. C028_S1 is more cautious: best agent accuracy is only 21.4% (REPRO-Agent lifts to 36.6%), showing the shrinking is conditional on task framing.",C028_P1,C028_S1,Upgraded from low to high and changed observable from no/not_applicable to yes/shrinking: this is the case's central empirical claim. C028_S1 is a contrary/limiting source showing the shrinkage does not generalize to full reproducibility assessment.
28,Structural prose polisher / drafter,shrinking_task_cluster,partial,shrinking,medium,"C028_P1 discloses Artificial intelligence tools were used to assist with language editing and clarity during the preparation of this manuscript, a direct instance of AI taking over sentence-level polishing without displacing human accountability; C028_S1 does not comment on prose polishing.",C028_P1,,"Upgraded from low to medium and changed observable from no/not_applicable to partial/shrinking: explicit AI-writing-assistance disclosure in C028_P1 is direct evidence of this shrinking task-cluster, though peripheral to the case's main claim."
