extract_id,case_id,case_slug,source_id,source_type,page_or_section,extract_type,text_excerpt_or_paraphrase,supports_role,contradicts_role,supports_shrinkage,supports_split,supports_merge_or_rejection,notes
E001_001,1,001_objective_party_annotation,C001_REGISTRY,registry_workbook_entry,Repository row,role_claim,Use politician social-media posts with known party labels to test when human coders can be demoted from primary coders to auditors.,Construct boundary setter; shrinking routine coder,,yes,no,no,Workbook seed description preserved for provenance.
E001_002,1,001_objective_party_annotation,C001_REGISTRY,registry_workbook_entry,Repository row,counterevidence,Task is unusually objective; may not generalize to contested constructs,,Construct boundary setter; shrinking routine coder,no,no,no,Repository curation note captured as rival explanation / caution.
E001_003,1,001_objective_party_annotation,C001_REGISTRY,registry_workbook_entry,Repository row,boundary_condition,Humans continue to outperform or materially change downstream conclusions on objective tasks,,Construct boundary setter; shrinking routine coder,no,no,no,Falsification condition recorded from repository seed.
E001_004,1,001_objective_party_annotation,C001_P1,journal article,landing page / extracted text,method,Just a moment...,Construct boundary setter; shrinking routine coder,,yes,no,no,Auto-extracted text snippet from collected source.
E002_001,2,002_contested_codebook_measurement,C002_REGISTRY,registry_workbook_entry,Repository row,role_claim,"Compare AI-only, human-only, and hybrid codebook workflows on contested political-science constructs with hard negatives and transport tests.",Construct boundary setter,,no,no,no,Workbook seed description preserved for provenance.
E002_002,2,002_contested_codebook_measurement,C002_REGISTRY,registry_workbook_entry,Repository row,counterevidence,Extra labels may be confounded with better construct work,,Construct boundary setter,no,no,no,Repository curation note captured as rival explanation / caution.
E002_003,2,002_contested_codebook_measurement,C002_REGISTRY,registry_workbook_entry,Repository row,boundary_condition,AI-only codebooks match human-revised codebooks on edge cases and transport,,Construct boundary setter,no,no,no,Falsification condition recorded from repository seed.
E002_004,2,002_contested_codebook_measurement,C002_P1,journal article,landing page / extracted text,method,"Codebook LLMs: Evaluating LLMs as Measurement Tools for Political Science Concepts | Political Analysis | Cambridge Core

 Skip to main content

 Accessibility help

Login Alert

Cancel

Log in

×

×

 Discover Content 
 Products and Services 
Register
Log In
 (0) Cart 

 Logo for Cambridge Core from Cambridge University Press. Click to return to homepage. 
Search
 Logo for Cambridge Core from Cambridge University Press. Click to return to homepage. 
Browse
Services
Open research
Institution Login
Search

 

 Hostname: page-component-77f85d65b8-t6st2
 Total loading time: 0
 Render date: 2026-04-06T14:00:07.042Z
 Has data issue: false
 hasContentIssue false
 
 
 
Home
 
>
Journals
 
>
Political Analysis
 
>
Volume 34 Issue 2
 
>
Codebook LLMs: Evaluating LLMs as Measurement Tools...
 
English

 Français
 
 
 
 
 
Political Analysis
 
 
 
 
 
Article contents
 
Abstract
 
 
Introduction
 
A Framework for Codebook-LLM Measurement
 
Related Work
 
Empirical Set-Up: Data and LLMs
 
Stage 0: Codebook Preparation
 
Stage 1: Label-Free Behavioral Testing
 
Stage 2: Zero-Shot Evaluation With Labels
 
Stage 3: Zero-Shot Error Analysis
 
Stage 4: Supervised Fine-tuning
 
Future Work
 
Conclus",Construct boundary setter,,no,no,no,Auto-extracted text snippet from collected source.
E003_001,3,003_multi_perspective_annotation,C003_REGISTRY,registry_workbook_entry,Repository row,role_claim,"Label the same texts by demographic or partisan subgroups and compare majority-vote, AI-only, and targeted human-sampling corrections.",Construct boundary setter; perspective sampler,,no,yes,no,Workbook seed description preserved for provenance.
E003_002,3,003_multi_perspective_annotation,C003_REGISTRY,registry_workbook_entry,Repository row,counterevidence,Task underspecification may masquerade as genuine perspectival disagreement,,Construct boundary setter; perspective sampler,no,no,no,Repository curation note captured as rival explanation / caution.
E003_003,3,003_multi_perspective_annotation,C003_REGISTRY,registry_workbook_entry,Repository row,boundary_condition,Majority-vote or AI-only labels preserve subgroup-specific inferences equally well,,Construct boundary setter; perspective sampler,no,no,no,Falsification condition recorded from repository seed.
