case_id,role_label,role_group,role_observable_in_case,status_in_case,confidence,evidence_basis_summary,main_supporting_source_ids,main_contrary_source_ids,notes
29,Relevance adjudicator,starting_role,no,not_applicable,high,Neither source concerns what materials belong in an analysis universe; both treat drafting/citation behavior at the manuscript level.,C029_P1; C029_S1,,Upgraded low to high: full text clearly confirms role is out of scope for this case.
29,Mechanism disciplinarian,starting_role,no,not_applicable,high,Neither full-text source engages causal/mechanism claims at stake; Science paper is descriptive about LLM adoption effects and CHI paper is about writing process.,C029_P1; C029_S1,,Upgraded low to high: direct full-text check confirms role not applicable.
29,Construct and perspective boundary setter,starting_role,no,not_applicable,medium,Full texts do not turn on category boundary setting; C029_S1 uses a 20-topic codebook but this is instrumental measurement not a construct boundary contested in the case.,C029_P1; C029_S1,,Upgraded low to medium: sources touch only instrumentally on codebook building.
29,Corpus pluralist,starting_role,partial,conditional,medium,C029_P1 shows LLM adopters cite books and younger less-cited works more (Fig. 4) so AI broadens the evidence base; human role in keeping corpus plural is implicitly reshaped but not directly theorized.,C029_P1,,Upgrade from low to medium and flip observable from no to partial: Science paper directly documents citation-base diversification under LLM use; status set to conditional because human pluralist work is not centrally discussed.
29,Protocol and provenance architect,starting_role,yes,transformed,high,C029_P1 argues journals/funders/tenure committees must evolve evaluation and disclosure frameworks and flags the AI detection/attribution limitation (SM S5.6); C029_S1 designs a logging/replay platform (AI-CRP) capturing keystrokes and suggestion traces for accountability.,C029_P1; C029_S1,,Upgraded low to high: both sources directly motivate protocol/provenance design and logging.
29,Counterfactual and transportability judge,starting_role,no,not_applicable,high,Neither source pressures transporting a model-generated result across populations or designs; C029_P1 notes non-causal identification but does not invoke counterfactual transport.,C029_P1,,Upgraded low to high: direct confirmation role is out of scope.
29,Situated interlocutor / context witness,starting_role,partial,conditional,medium,C029_S1 relies on cue-based retrospective interviews with 19 participants where interviewers interpret writing traces in situ; contextual human interpretation of replays is central to RQ1 findings.,C029_S1,,Upgrade from low to medium and flip observable from no to partial: CHI methods section directly evidences an interviewer/interpreter role; not the primary focus of Case 29 framing.
29,Accountability and labor allocator,starting_role,yes,transformed,high,C029_P1 explicitly argues evaluation by journals/funders/tenure committees must change as language complexity loses signaling power and reviewers/editors may lean on pedigree; limitations note inability to identify which coauthor used the LLM bearing on authorship disclosure.,C029_P1,,Upgraded low to high: Science paper centrally treats allocation of quality signals and evaluative labor across scientific institutions.
29,Construct boundary setter,split_candidate,no,not_applicable,medium,No contested category-definition work is central in either source beyond the CHI team's instrumental 20-topic scheme.,C029_P1; C029_S1,,Upgraded low to medium via direct full-text check.
29,Perspective sampler,split_candidate,partial,conditional,medium,C029_S1 documents how opinionated AI suggestions collapse perspective pluralism (writers drift toward AI-seeded framings) and argues for preserving writer agency over multiple viewpoints.,C029_S1,,"Upgrade from low to medium and flip observable from no to partial: reactive writing finding directly implicates perspective preservation, though framed as opinion-shift rather than sampling design."
29,Counterfactual / transportability judge,split_candidate,no,not_applicable,high,Neither source engages counterfactual transport of findings.,C029_P1; C029_S1,,Upgraded low to high based on direct full-text confirmation.
29,Calibration architect,split_candidate,no,not_applicable,high,Neither source turns on benchmarking or simulator calibration; C029_P1 validates an AI-detection classifier but does not frame it as a calibration-architect case.,C029_P1,,Upgraded low to high: direct confirmation role is out of scope.
29,Situated interlocutor,split_candidate,partial,conditional,medium,C029_S1 interviewers use replay-anchored verbal protocols that shape what participants disclose about their writing process.,C029_S1,,Upgrade from low to medium and flip observable from no to partial based on CHI methods detail.
29,Context witness,split_candidate,partial,conditional,medium,C029_S1 researchers interpret time-stamped interaction traces and writing replays as contextual evidence that sole transcript reading could not deliver.,C029_S1,,Upgrade from low to medium and flip observable from no to partial via CHI method description.
29,Routine first-pass screener,shrinking_task_cluster,no,not_applicable,medium,Neither source is about title/abstract triage; C029_P1 discusses reviewer heuristics becoming uninformative which is tangentially adjacent but not a first-pass screening workflow.,C029_P1,,Upgraded low to medium: direct full-text check rules out a screener workflow.
29,"Routine coder on high-consensus, ground-truth-rich tasks",shrinking_task_cluster,no,not_applicable,medium,No ground-truth-rich labeling task is central; C029_S1 uses GPT models for topic assignment as an auxiliary measurement step but not as a case-level coding task under study.,C029_S1,,Upgraded low to medium via direct full-text check.
29,Structural prose polisher / drafter,shrinking_task_cluster,yes,shrinking,high,C029_P1 shows LLM-assisted manuscripts have systematically higher writing complexity and that polished prose is decoupling from substantive merit; C029_S1 documents AI assuming sentence-level drafting while writers shift to evaluation.,C029_P1; C029_S1,,Upgraded low to high: both sources provide direct full-text evidence of sentence/paragraph drafting being absorbed by AI.
