case_id,role_label,role_group,role_observable_in_case,status_in_case,confidence,evidence_basis_summary,main_supporting_source_ids,main_contrary_source_ids,notes
2,Relevance adjudicator,starting_role,no,not_applicable,high,Paper assumes three pre-curated labeled datasets (BFRS/CCC/Manifestos) and does not address study/material inclusion decisions; no adjudication of analytic universe appears.,C002_P1,,Upgraded low to high: full text confirms role is not applicable in this measurement-focused study.
2,Mechanism disciplinarian,starting_role,no,not_applicable,high,Paper concerns measurement validity (Adcock and Collier) not causal mechanism; downstream-inference bias is only cross-referenced to Egami et al. 2023.,C002_P1,,Upgraded low to high: direct full text confirms scope is measurement not mechanism.
2,Construct and perspective boundary setter,starting_role,yes,robust,high,"Paper's core claim is that codebook operationalization (e.g., protest including/excluding strikes; CAMEO vs CCC) cannot be bypassed or automated and humans must systematize constructs.",C002_P1,,Confirmed at high via Stage 0 language and protest/strikes example.
2,Corpus pluralist,starting_role,no,not_applicable,high,"Authors collect three diverse codebook corpora, but the work is about measurement on each, not about keeping the evidence base from collapsing onto a machine-friendly corpus.",C002_P1,,Upgraded low to high: role definition does not match paper's diversity-of-datasets move.
2,Protocol and provenance architect,starting_role,yes,conditional,high,"Five-stage framework, seven behavioral tests, semi-structured machine-readable codebook format, open-weight choice to ensure reproducibility, Dataverse replication, and SI data-provenance section explicitly design admissible procedure.",C002_P1; C002_S1,,"Upgraded low to high and observable no to yes: role is directly and centrally performed by the authors (framework, tests, versioning, replication)."
2,Counterfactual and transportability judge,starting_role,no,not_applicable,high,Evaluation is within-dataset train/dev/test splits; no cross-population transport or simulated-to-real transfer claim is adjudicated.,C002_P1,,Upgraded low to high: full text confirms no transportability adjudication.
2,Situated interlocutor / context witness,starting_role,no,not_applicable,high,"Study is purely text classification on archival news/manifesto corpora; no interview, field, or situated-interpretation component.",C002_P1,,Upgraded low to high via full-text confirmation.
2,Accountability and labor allocator,starting_role,partial,conditional,medium,"Authors themselves perform manual error analysis and recommend applied researchers do so; open-weight/replication choices imply accountability, but responsibility allocation is not the paper's focus.",C002_P1,,"Upgraded low to medium and observable no to partial: accountability is implied via author-done manual analysis and reproducibility stance, not directly theorized."
2,Construct boundary setter,split_candidate,yes,conditional,high,"Codebook preparation (Stage 0) with label, definition, clarification, negative clarification, positive/negative examples is the exact category-boundary work described in this split.",C002_P1,,"Confirmed high; exclusion rules (e.g.,  welfare_positive excludes education; riot excludes police) are clear boundary work."
2,Perspective sampler,split_candidate,no,not_applicable,high,"Paper works with single gold labels and does not preserve subgroup/annotator disagreement; inter-coder work is limited to order-invariance across LLM runs (Test IV), not human pluralism.",C002_P1,,Upgraded low to high and observable partial to no / status unclear to not_applicable: full text shows no representational-pluralism design.
2,Counterfactual / transportability judge,split_candidate,no,not_applicable,high,No cross-setting transport test; evaluation stays within each codebook's own dev set.,C002_P1,,Upgraded low to high.
2,Calibration architect,split_candidate,no,not_applicable,high,No simulator calibration or matching to an external reference distribution; F1 is reported against held-out human labels with a majority-class baseline.,C002_P1,,Upgraded low to high.
2,Situated interlocutor,split_candidate,no,not_applicable,high,No interviewer/respondent interaction; inputs are archival news articles and party manifestos.,C002_P1,,Upgraded low to high.
2,Context witness,split_candidate,no,not_applicable,high,"No tacit/archival-context interpretation by humans is built into the workflow beyond codebook authoring, which is captured by the construct boundary role.",C002_P1,,Upgraded low to high.
2,Routine first-pass screener,shrinking_task_cluster,no,not_applicable,high,No title/abstract triage or early study ranking; the task is document-level classification into codebook categories.,C002_P1,,Upgraded low to high.
2,"Routine coder on high-consensus, ground-truth-rich tasks",shrinking_task_cluster,yes,conditional,high,"Zero-shot LLMs match some but not all human labels; instruction-tuning lifts BFRS F1 from 0.53 to 0.82 (+55%), showing human coders shift toward auditor/labeler roles only when labels are high-consensus and training data exist.",C002_P1,,Upgraded low to high: direct quantitative evidence (Table 6; Mistral-7B zero-shot errors on Manifestos at 45% non-compliance) supports conditional shrinking.
2,Structural prose polisher / drafter,shrinking_task_cluster,no,not_applicable,high,Paper does not involve LLM drafting/polishing of prose; LLMs are used solely as classifiers over codebook-defined labels.,C002_P1,,Upgraded low to high.
