case_id,role_label,role_group,role_observable_in_case,status_in_case,confidence,evidence_basis_summary,main_supporting_source_ids,main_contrary_source_ids,notes
13,Relevance adjudicator,starting_role,yes,conditional,high,"C013_S1 Sections 2-4 show humans defining the 7 topic set from NLP CFPs, screening participants by Google Scholar, and the first author manually reranking LLM outputs for the AI+Rerank condition; C013_P1 abstract shows users select which facets/papers count.",C013_P1; C013_S1,,upgraded from low; direct full-text evidence of humans deciding what belongs.
13,Mechanism disciplinarian,starting_role,yes,conditional,medium,C013_S1 Section 2 imposes a grant-style idea template (problem/method/experiment plan/fallback) and defines four review dimensions to constrain what counts as a legitimate mechanism claim; C013_P1 facet-based novelty checker constrains mechanism novelty to facet matches.,C013_P1; C013_S1,,upgraded from low; role is present but indirect in case-specific terms.
13,Construct and perspective boundary setter,starting_role,no,not_applicable,medium,"Neither source frames the case around social-science construct boundaries; C013_S1's construct work is about idea-quality rubrics, not socially meaningful disagreement about a study construct.",C013_P1; C013_S1,,upgraded from low; full text confirms not_applicable for this case framing.
13,Corpus pluralist,starting_role,partial,conditional,high,C013_P1 abstract explicitly describes the Analogous Paper Facet Finder as distance-controlled retrieval that surfaces papers from the same topic through entirely different subareas to prevent collapse onto the most-legible corpus.,C013_P1; C013_S1,,changed from no/not_applicable to partial/conditional because C013_P1 directly instantiates corpus-pluralism design.
13,Protocol and provenance architect,starting_role,yes,robust,high,"C013_S1 Sections 2-4 detail IRB approval (Stanford 74246), standardized idea templates, blind review assignment avoiding institutional contamination, Swiss-tournament pairwise ranking protocol, deduplication threshold, LLM style normalization with manual content verification by the first author, and a release of agent code and review scores.",C013_P1; C013_S1,,changed from no/not_applicable to yes/robust; protocol design is central to the Si et al. methodology and directly adjacent to how the case would transfer.
13,Counterfactual and transportability judge,starting_role,no,not_applicable,medium,"C013_S1 Section 1 and end of Section 1 acknowledge novelty/feasibility judgments may not transport to research outcomes and proposes an end-to-end execution study, but the case framing itself is about transferring Scideator to social-science prospectus ideation, not adjudicating transportability per se.",C013_P1; C013_S1,,upgraded from low; role is adjacent but not the operative question in this case.
13,Situated interlocutor / context witness,starting_role,no,not_applicable,high,"Neither source involves fieldwork, interviewing, or interpretive presence; C013_S1 uses remote blind review of written proposals and C013_P1 is a HCI lab study of a tool.",C013_P1; C013_S1,,upgraded from low; clearly not applicable.
13,Accountability and labor allocator,starting_role,partial,unclear,medium,"C013_S1 Section 4.1 documents IRB approval, consent forms, $300 writer / $25 reviewer compensation, $1000 bonus for top ideas, reviewer-author institution conflict rules, and open release of scores; but the case-level allocation of authorship / responsibility for Scideator-assisted social-science prospectuses is not directly adjudicated.",C013_P1; C013_S1,,upgraded from low; evidence supports partial/unclear judgment.
13,Construct boundary setter,split_candidate,no,not_applicable,medium,"C013_S1's review form defines novelty/excitement/feasibility/effectiveness with 1-10 anchors, which is boundary work on idea-quality labels rather than on a social-science construct; neither source treats construct-label boundaries as the operative question.",C013_P1; C013_S1,,upgraded from low.
13,Perspective sampler,split_candidate,no,not_applicable,medium,C013_S1 assigns 2-4 reviewers per idea and balances topics but collapses to aggregate scores; neither source preserves subgroup disagreement as an explicit design goal.,C013_P1; C013_S1,,upgraded from low.
13,Counterfactual / transportability judge,split_candidate,no,not_applicable,medium,"C013_S1 flags transportability of novelty judgments to research outcomes as an open problem and proposes a follow-up execution study, but the case does not turn on a transportability test of Scideator across populations.",C013_P1; C013_S1,,upgraded from low.
13,Calibration architect,split_candidate,yes,conditional,high,C013_S1 Section 3.3 calibrates the LLM ranker against 1200 ICLR submissions (pairwise accuracy 71.4% for Claude-3.5-Sonnet) and Section 2 calibrates reviewer scales with anchored 1-10 definitions; C013_P1 reports the facet-based novelty checker raising classification accuracy from 13.79% to 89.66%.,C013_P1; C013_S1,,changed from no/not_applicable to yes/conditional; both sources explicitly calibrate ranking/novelty pipelines against external reference distributions.
13,Situated interlocutor,split_candidate,no,not_applicable,high,Neither source involves an interviewer or fieldworker whose presence changes disclosure; tasks are written-idea generation and asynchronous blind review.,C013_P1; C013_S1,,upgraded from low.
13,Context witness,split_candidate,no,not_applicable,high,Neither source relies on contextual or tacit archival knowledge to interpret notes or transcripts; evaluation is on standardized written proposals.,C013_P1; C013_S1,,upgraded from low.
13,Routine first-pass screener,shrinking_task_cluster,yes,shrinking,high,"C013_S1 Section 3.1 has the LLM generate Semantic Scholar API calls and score/rerank up to 120 retrieved papers on 1-10 relevance, and Section 3.3 uses an LLM pairwise ranker (Swiss tournament) to triage 4000 seed ideas down to a small set for human review; C013_P1 similarly automates facet retrieval.",C013_P1; C013_S1,,changed from no/not_applicable to yes/shrinking; first-pass paper/idea triage is materially delegated to the LLM.
13,"Routine coder on high-consensus, ground-truth-rich tasks",shrinking_task_cluster,no,not_applicable,high,"C013_S1 Section 1 explicitly states research ideation has no consensus ground truth and that even experts struggle to judge idea quality, so the high-consensus-coder pattern does not apply here.",C013_P1; C013_S1,,upgraded from low; source directly rules out this pattern.
13,Structural prose polisher / drafter,shrinking_task_cluster,yes,shrinking,high,"C013_S1 Section 2 describes a dedicated LLM style-normalization module that converts all human and AI ideas into the same writing/formatting style, with the first author manually verifying content preservation - exactly a structural polishing task taken over by AI without displacing accountability.",C013_P1; C013_S1,,changed from no/not_applicable to yes/shrinking; style normalization is explicitly an AI-delegated polishing step.
