case_id,role_label,role_group,role_observable_in_case,status_in_case,confidence,evidence_basis_summary,main_supporting_source_ids,main_contrary_source_ids,notes
3,Relevance adjudicator,starting_role,no,not_applicable,high,Paper takes POPQUORN politeness and offensiveness subsets as given corpora (§3.4) with no human work selecting which materials belong in the analysis universe.,C003_P1; C003_REGISTRY,,Upgraded from low: full text confirms corpus is pre-selected benchmark data.
3,Mechanism disciplinarian,starting_role,no,not_applicable,high,Paper is a statistical-inference method (IPW/PPI-style correction) and makes no causal-mechanism claims requiring human discipline (§3.2).,C003_P1; C003_REGISTRY,,Upgraded from low: full text confirms no causal-mechanism work.
3,Construct and perspective boundary setter,starting_role,yes,split_pressure,high,"Paper's central move is reframing the estimand from a scalar ground truth to a vector over demographic perspectives (§1, §3.1), which is precisely the boundary/perspective decision and pressures splitting into boundary vs. perspective components.",C003_P1; C003_REGISTRY,,Upgraded from low: abstract and §3.1 make the split-pressure reading explicit.
3,Corpus pluralist,starting_role,no,not_applicable,medium,"Pluralism in the paper operates over annotator perspectives, not over multiple corpora; only POPQUORN politeness and offensiveness subsets plus synthetic data are used (§3.4).",C003_P1; C003_REGISTRY,,Upgraded from low: full text confirms single-source corpus with no pluralist-of-sources argument.
3,Protocol and provenance architect,starting_role,partial,split_pressure,high,"PDI is itself a protocol for allocating a human annotation budget across burn-in and adaptive batches with IPW correction and bootstrap CIs (§3.2), but the paper does not address logging, versioning, or disclosure, hence partial and split pressure between workflow-design and provenance components.",C003_P1; C003_REGISTRY,,Upgraded from low: Methods §3.2 supports workflow-design component; provenance/disclosure not discussed.
3,Counterfactual and transportability judge,starting_role,no,not_applicable,medium,"Discussion §5 gestures at generalizing PDI to RLHF, LLM-as-judge, and survey simulation but frames this as future work, not as human transportability adjudication within the case.",C003_P1; C003_REGISTRY,,"Upgraded from low: full text shows transportability is mentioned only as extension, not performed."
3,Situated interlocutor / context witness,starting_role,no,not_applicable,high,"Annotations come from Prolific crowd workers rated on scales (§3.4); no fieldwork, interview, or interpretive-setting work is present.",C003_P1; C003_REGISTRY,,Upgraded from low: full text confirms crowdsourced rating design.
3,Accountability and labor allocator,starting_role,no,not_applicable,medium,"Paper allocates human annotation budget across demographic groups (§3.2, Tables 2 and 4) but this is statistical sample allocation, not authorship/disclosure/accountability assignment.",C003_P1; C003_REGISTRY,,Upgraded from low: full text confirms no authorship/accountability framing; labor allocation is purely sampling.
3,Construct boundary setter,split_candidate,yes,robust,high,"Humans define the rating constructs (politeness 1-5, offensiveness 1-5) and the demographic stratification axes (gender/age/education) used for the estimand (§3.1, §3.4); these boundary decisions are necessary for validity.",C003_P1; C003_REGISTRY,,Upgraded from low: §3.1 and §3.4 are explicit about human-set categories and scales.
3,Perspective sampler,split_candidate,yes,robust,high,"PDI's core contribution is adaptive human sampling concentrated on demographic groups where LLM proxies are least reliable, explicitly to preserve subgroup disagreement rather than collapse to majority vote (Abstract, §1, §3.2).",C003_P1; C003_REGISTRY,,Upgraded from low: paper is directly about preserving this role.
3,Counterfactual / transportability judge,split_candidate,no,not_applicable,high,"No counterfactual or cross-population transportability claims are adjudicated; the paper stays within POPQUORN and synthetic simulations (§3.4, §4.3).",C003_P1; C003_REGISTRY,,Upgraded from low: full text confirms absence.
3,Calibration architect,split_candidate,no,not_applicable,medium,"IPW/PPI rectified estimator (§3.2) calibrates LLM proxy against human labels, but this is statistical correction to a held-out human estimand, not benchmark/simulator calibration against an external reference distribution.",C003_P1; C003_REGISTRY,,Upgraded from low: role label interpreted narrowly per codebook; notes that PPI-style rectification is adjacent but not a match.
3,Situated interlocutor,split_candidate,no,not_applicable,high,Annotation is remote Prolific rating with no fieldwork or interactive interview; humans do not shape what respondents disclose (§3.4).,C003_P1; C003_REGISTRY,,Upgraded from low: full text confirms crowdsourced design.
3,Context witness,split_candidate,no,not_applicable,high,"No archival, tacit, or contextual interpretive work is invoked; demographics enter only as features for the error-predictor (§3.2).",C003_P1; C003_REGISTRY,,Upgraded from low: full text confirms absence.
3,Routine first-pass screener,shrinking_task_cluster,no,not_applicable,high,"No title/abstract triage, study screening, or early ranking task is present; the pipeline starts from already-selected text instances (§3.1).",C003_P1; C003_REGISTRY,,Upgraded from low: full text confirms not applicable.
3,"Routine coder on high-consensus, ground-truth-rich tasks",shrinking_task_cluster,partial,unclear,high,"Paper explicitly argues ground truth does NOT exist for subjective tasks (§1) and that collapsing disagreement is invalid; AI substitution for routine coding is precisely what is contested, so the cluster applies only in inverted form.",C003_P1; C003_REGISTRY,,Upgraded from low: full text clarifies paper's stance - this role-cluster's premise (ground truth available) is rejected for the case's tasks.
3,Structural prose polisher / drafter,shrinking_task_cluster,no,not_applicable,high,"Paper concerns annotation of existing text, not AI-assisted prose drafting or polishing; no role for AI as a writer appears anywhere in the pipeline.",C003_P1; C003_REGISTRY,,Upgraded from low: full text confirms not applicable.
