case_id,role_label,role_group,status_in_case,confidence,evidence_summary
2,Relevance adjudicator,starting_role,not_applicable,high,
2,Mechanism disciplinarian,starting_role,not_applicable,high,
2,Construct and perspective boundary setter,starting_role,robust,high,"Authors explicitly argue that codebook operationalizations (e.g., CAMEO vs. CCC definitions of 'protest') are load-bearing for measurement validity and that Stage 0 codebook preparation 'cannot be bypassed or automated,' with LLMs failing to respect human-specified construct boundaries."
2,Corpus pluralist,starting_role,conditional,medium,"Authors curate three diverse codebook corpora (CCC, BFRS, Manifestos) as a deliberate pluralist sample and find LLM performance varies systematically by corpus, but the role is less central to the argument than construct-boundary enforcement."
2,Protocol and provenance architect,starting_role,transformed,medium,"Authors propose a new semi-structured machine-readable codebook format and a five-stage evaluation protocol with behavioral tests; the traditional 'write codebook for human coders' role is redefined to include machine-readable formatting, ablation protocols, and behavioral test design."
2,Counterfactual and transportability judge,starting_role,not_applicable,high,
2,Situated interlocutor / context witness,starting_role,not_applicable,high,
2,Accountability and labor allocator,starting_role,transformed,medium,"The paper introduces a new human labor structure (Stage 0 preparation plus instruction-tuning with human-coded examples) and explicitly allocates which steps cannot be automated, redefining who does what rather than simply performing a pre-AI allocation task."
2,Construct boundary setter,split_candidate,robust,high,"Authors demonstrate with Test V (exclusion criteria) and ablations that LLMs fail to respect precise construct boundaries (e.g., 'welfare_positive excludes education'), treating human-authored boundary definitions as load-bearing for validity."
2,Perspective sampler,split_candidate,not_applicable,high,
2,Counterfactual / transportability judge,split_candidate,not_applicable,high,
2,Calibration architect,split_candidate,transformed,medium,"The paper introduces seven behavioral tests (Tests I-VII) as new calibration/audit sub-tasks designed explicitly around LLM involvement, redefining what calibration work looks like in a codebook-LLM pipeline."
2,Situated interlocutor,split_candidate,not_applicable,high,
2,Context witness,split_candidate,not_applicable,high,
2,Routine first-pass screener,shrinking_task_cluster,not_applicable,high,
2,"Routine coder on high-consensus, ground-truth-rich tasks",shrinking_task_cluster,shrinking,medium,"For BFRS after instruction-tuning, Mistral-7B reaches 0.82 F1 relative to human-coded ground truth, indicating AI can match human coders on the higher-consensus subset while residual human labor shifts to training-data curation and error analysis; but Manifestos shows ground-truth-rich tasks are not uniformly captured, qualifying the claim."
2,Structural prose polisher / drafter,shrinking_task_cluster,not_applicable,high,
3,Relevance adjudicator,starting_role,not_applicable,high,
3,Mechanism disciplinarian,starting_role,not_applicable,high,
3,Construct and perspective boundary setter,starting_role,robust,high,"Authors explicitly contest the single-ground-truth assumption, treating demographic perspectives as the inferential object; construct boundaries (politeness, offensiveness) are load-bearing and disagreement across groups is 'signal to be preserved, not noise.'"
3,Corpus pluralist,starting_role,not_applicable,high,
3,Protocol and provenance architect,starting_role,transformed,medium,"The PDI framework introduces a new protocol (burn-in + adaptive sampling + IPW correction) that redefines annotation protocol around LLM proxies plus adaptive human sampling, a before/after verb swap from 'label everything' to 'sample where LLM error is highest.'"
3,Counterfactual and transportability judge,starting_role,conditional,medium,"Authors discuss generalization to RLHF, LLM-as-judge, and survey simulation only under the moderator that informative demographic features exist; 'where demographic proxies are weak, the adaptive gains will be smaller, and the method degrades to uniform PPI,' specifying the condition for transportability."
3,Situated interlocutor / context witness,starting_role,robust,high,"Human annotators from specific demographic groups are treated as load-bearing witnesses to perspective-specific judgments that LLMs (including persona-prompted ones) systematically misrepresent; persona prompting 'is not a substitute for human annotation from that group.'"
3,Accountability and labor allocator,starting_role,transformed,medium,"The paper redefines labor allocation as adaptive budgeting of human annotators to demographic groups with highest LLM error, introducing a new allocation sub-task (error-driven upsampling) that would not be recognizable pre-AI."
3,Construct boundary setter,split_candidate,conditional,medium,"Construct boundaries (what counts as polite, offensive) are retained but moderated by demographic perspective; the same construct yields different group-specific means, so boundary-setting is conditional on perspective."
3,Perspective sampler,split_candidate,robust,high,"Adaptive perspective sampling is the central contribution; the paper develops an entire methodology around which demographic groups to sample and how much, and lists the framework's validity as depending on faithful perspective representation."
3,Counterfactual / transportability judge,split_candidate,conditional,medium,"Authors discuss extension to other settings (RLHF, LLM-as-judge) only when informative error-predictor features exist, specifying the moderator under which the approach retains validity."
