case_id,role_label,role_group,role_observable_in_case,status_in_case,confidence,evidence_basis_summary,main_supporting_source_ids,main_contrary_source_ids,notes
14,Relevance adjudicator,starting_role,yes,split_pressure,high,"DiscoveryBench full text shows humans manually derived 264 discovery tasks from 20+ published papers, filtered 785 Zenodo repositories down to 14 candidates with only 3 passing inclusion checks, demonstrating heavy human relevance adjudication over what counts as an admissible task.",C014_S1,,upgraded from low to high after reading C014_S1 pdf full text documenting manual paper/repo selection pipeline
14,Mechanism disciplinarian,starting_role,yes,split_pressure,high,"DiscoveryBench explicitly requires scientific semantic reasoning, e.g., deciding which analysis is appropriate for the domain (spatial autocorrelation for plant invasion; econometric modeling) and shows agents fail badly on domain-specific workflows (spatial analysis 0%, ecological modeling 0%), confirming humans still police mechanism validity.",C014_S1,,upgraded from low to high; C014_S1 pdf gives direct evidence on mechanism/method choice as human-coded workflow
14,Construct and perspective boundary setter,starting_role,no,not_applicable,medium,DiscoveryBench formalizes hypotheses as context/variables/relationship triples defined by the benchmark designers rather than by situated construct debates; the benchmark sidesteps disagreement over construct meaning so the role is effectively absent in the case frame.,C014_S1,,upgraded from low to medium; benchmark formalization evidence supports not applicable with reasonable confidence
14,Corpus pluralist,starting_role,no,not_applicable,medium,"DiscoveryBench deliberately narrows to tractable public datasets (NLS, GBIF, World Bank) and ResearchBench restricts to 2024 papers to avoid contamination; corpus pluralism is not a design concern of either benchmark.",C014_P1; C014_S1,,upgraded from low to medium; benchmark scope described directly in sources
14,Protocol and provenance architect,starting_role,no,not_applicable,medium,"DiscoveryBench describes extensive human protocol work (90 person-hours per replication, workflow length scoring, HMS evaluation protocol design) but the case is coded no because this protocol work is upstream benchmark construction rather than a live research role being tested; source supports the not_applicable coding with decent confidence.",C014_S1,,"upgraded from low to medium; note tension - benchmark construction itself is heavy protocol work,  but role is coded at the task-performer level"
14,Counterfactual and transportability judge,starting_role,no,not_applicable,medium,"Neither benchmark probes whether AI-derived hypotheses transport across populations or designs; DiscoveryBench's DB-REAL and DB-SYNTH split is a task-difficulty lever, not a transportability test.",C014_S1,,upgraded from low to medium
14,Situated interlocutor / context witness,starting_role,no,not_applicable,high,"Both benchmarks operate purely on pre-collected datasets and published papers with no fieldwork, interviews, or situated respondent interaction; DiscoveryBench explicitly brackets after physical experiments and data collection and studies only the data-analysis part.",C014_S1,,upgraded from low to high; source explicitly brackets field/interview stage
14,Accountability and labor allocator,starting_role,partial,split_pressure,medium,"DiscoveryBench notes heavy human labor (up to 90 person-hours per dataset, 30% failure rate) and credits humans for manual derivation of workflows, showing labor allocation pressure even as the benchmark aspires to automation; authorship/answerability concerns are not directly addressed.",C014_S1,,upgraded from low to medium
14,Construct boundary setter,split_candidate,no,not_applicable,medium,DiscoveryBench uses a fixed context/variable/relationship formalism imposed by benchmark designers rather than emerging from contested construct definitions; split-candidate role is not exercised.,C014_S1,,upgraded from low to medium
14,Perspective sampler,split_candidate,no,not_applicable,medium,"Both benchmarks use single gold hypotheses per task with HMS scoring that rewards exact/broad relational match, leaving no room for subgroup disagreement or representational pluralism.",C014_S1,,upgraded from low to medium
14,Counterfactual / transportability judge,split_candidate,no,not_applicable,medium,DiscoveryBench does not pressure-test whether hypotheses travel across populations; DB-SYNTH varies difficulty rather than transport.,C014_S1,,upgraded from low to medium
14,Calibration architect,split_candidate,yes,split_pressure,high,"DiscoveryBench is explicitly a calibration/benchmarking case: humans design HMS (ctxF1, varF1, relacc) scoring, gold-vs-predicted hypothesis matching, Reflexion oracle feedback, and task-difficulty levels 1-4; calibration-architect work is central and observable.",C014_S1,,"upgraded from low to high and changed role_observable_in_case from no to yes, status from not_applicable to split_pressure; text strongly contradicts prior coding - benchmark is explicitly a calibration design"
14,Situated interlocutor,split_candidate,no,not_applicable,high,"Benchmarks are dataset-only with no interviews, fieldwork, or respondent interaction; role cannot apply.",C014_S1,,upgraded from low to high
14,Context witness,split_candidate,partial,split_pressure,high,"DiscoveryBench explicitly tests domain-knowledge dependency for archaeology tasks and finds performance jumps from 9.9% to 17.5% when archaeology domain hints are added, directly showing tacit/contextual knowledge remains a binding human contribution.",C014_S1,,"upgraded from low to high and changed role_observable_in_case from no to partial, status from not_applicable to split_pressure; archaeology domain-knowledge experiment in C014_S1 pdf directly contradicts prior not_applicable coding"
14,Routine first-pass screener,shrinking_task_cluster,no,not_applicable,medium,"Benchmarks concern hypothesis discovery from pre-selected datasets, not title/abstract triage or early screening of studies; role does not clearly apply.",C014_S1,,upgraded from low to medium
14,"Routine coder on high-consensus, ground-truth-rich tasks",shrinking_task_cluster,partial,shrinking,high,"DiscoveryBench builds ground-truth hypotheses from published papers and uses GPT-4 as automated evaluator, and ResearchBench reports strong LLM performance on inspiration retrieval with minimal human intervention; both illustrate routine coder work shifting from humans to auditable AI plus human review, particularly for correlation analysis (55%) and data selection (18%) categories.",C014_P1; C014_S1,,"upgraded from low to high and changed role_observable_in_case from no to partial, status from not_applicable to shrinking; ResearchBench abstract and DiscoveryBench ground-truth framing both directly speak to this shrinking cluster"
14,Structural prose polisher / drafter,shrinking_task_cluster,no,not_applicable,high,"Both benchmarks target structured hypothesis statements and scored workflows, not sentence-level prose drafting or manuscript polishing; the role is not within the evaluated task scope.",C014_S1,,upgraded from low to high
