case_id,role_label,role_group,role_observable_in_case,status_in_case,confidence,evidence_basis_summary,main_supporting_source_ids,main_contrary_source_ids,notes
34,Relevance adjudicator,starting_role,no,not_applicable,high,"Paper concerns simulated LLM agents, not a human adjudicated study corpus; no relevance-selection work over empirical materials is described.",C034_P1,,Upgraded to high: full-text confirms scope is simulator design and four simulated case studies with no human relevance screening.
34,Mechanism disciplinarian,starting_role,partial,split_pressure,high,"Authors explicitly discipline mechanism claims by grounding agent design in psychology (Maslow; Theory of Planned Behavior), economics (DSGE), and behavioral science (Gravity Model) and by contrasting explanation vs prediction.",C034_P1,,"Upgraded to high: Sections 1-3 tie mechanism plausibility to named social-science theories, showing the authors do the mechanism-discipline work themselves."
34,Construct and perspective boundary setter,starting_role,no,not_applicable,medium,"Authors choose which social constructs to operationalize (polarization, inflammatory spread, UBI effects, hurricane shocks) but do not describe construct-definition work in the role sense; indirectly implied only.",C034_P1,,Upgraded to medium: construct selection is visible in passing via the four case studies but is not a foregrounded human role.
34,Corpus pluralist,starting_role,no,not_applicable,high,"No empirical evidence corpus is curated; inputs are a constructed societal environment (urban/social/economic) and LLM priors, so corpus-pluralism work is not applicable.",C034_P1,,Upgraded to high: Sections 2 and 4 describe environment construction rather than multi-corpus curation.
34,Protocol and provenance architect,starting_role,no,not_applicable,medium,"Authors design a three-dimension evaluation framework and methodology scaffolding (surveys, interviews, interventions support), which is protocol design for simulation, but disclosure/versioning/reproducibility norms are not discussed in the retrieved text.",C034_P1,,"Upgraded to medium: protocol-architect work is partly visible (evaluation framework, method-support taxonomy) but provenance and reproducibility disclosures are not adjudicable from stored text."
34,Counterfactual and transportability judge,starting_role,yes,split_pressure,high,"Paper's central claim is that simulator outcomes align with four real-world experimental results (polarization, inflammatory messages, UBI, hurricanes), making transportability judgment the core human adjudication.",C034_P1,,"Upgraded to high: abstract, Section 1, and Section 2 repeatedly frame the pressure test as whether simulations authentically replicate and align with real-world experimental results."
34,Situated interlocutor / context witness,starting_role,no,not_applicable,high,"No human interviewer, fieldworker, or contextual witness is present; all interactions are among LLM agents and their synthetic environment.",C034_P1,,"Upgraded to high: Sections 3-5 make clear interviews, surveys, and interventions are performed on simulated agents, not with humans."
34,Accountability and labor allocator,starting_role,partial,split_pressure,medium,"Author list and corresponding-author roles are visible and policy-relevance claims (for social scientists and policymakers) imply accountability stakes, but no authorship/disclosure protocol is discussed in the retrieved text.",C034_P1,,Upgraded to medium: accountability is implicated via policy-facing framing but not described as an explicit role.
34,Construct boundary setter,split_candidate,no,not_applicable,medium,"Authors define category boundaries for agent minds (emotions/needs/cognition) and behaviors (mobility/social/economic), which is construct-boundary work on the simulator but not on a research construct.",C034_P1,,Upgraded to medium: construct work is on the simulator taxonomy rather than on a contested social-science construct.
34,Perspective sampler,split_candidate,no,not_applicable,high,"Agents are endowed with profiles and personalities, but the paper seeks alignment with a single real-world benchmark per case rather than preserving subgroup disagreement as a human role.",C034_P1,,Upgraded to high: no perspective-sampling work over human respondents is described.
34,Counterfactual / transportability judge,split_candidate,yes,split_pressure,high,"Four explicit transportability tests (polarization, inflammatory messages, UBI, hurricanes) compare simulator outputs against real experiments, pressing on whether transportability is a distinct role from calibration.",C034_P1,,Upgraded to high: aligns with codebook's named example for Case 34; retrieved text directly evidences split pressure.
34,Calibration architect,split_candidate,yes,robust,high,"Authors build an explicit evaluation framework across three dimensions (minds, behaviors, engine), benchmark against 16 prior simulators in Table 1, and define scale tiers and method-support criteria, which is calibration-architect work.",C034_P1,,"Upgraded to high: Section 2 and Table 1 provide a direct, detailed calibration/benchmarking scaffold authored by humans."
34,Situated interlocutor,split_candidate,no,not_applicable,high,No human interviewer is present; interviews in the paper are conducted on simulated agents.,C034_P1,,Upgraded to high: Section 1 explicitly lists surveys and interviews as simulator-supported methods applied to agents.
34,Context witness,split_candidate,no,not_applicable,high,"No archival, tacit, or field-context interpretation is undertaken; the environment is synthetically constructed from urban/social/economic spaces.",C034_P1,,Upgraded to high: Sections 2 and 4 describe environment engineering rather than contextual interpretation of traces.
34,Routine first-pass screener,shrinking_task_cluster,no,not_applicable,high,No title/abstract triage or study-type screening task exists in this simulator paper.,C034_P1,,Upgraded to high: task cluster is inapplicable to a simulator-development paper.
34,"Routine coder on high-consensus, ground-truth-rich tasks",shrinking_task_cluster,no,not_applicable,high,No human coding task against a ground-truth corpus is present; labels are produced inside the simulation.,C034_P1,,Upgraded to high: coding-on-ground-truth is not applicable to this case.
34,Structural prose polisher / drafter,shrinking_task_cluster,no,not_applicable,medium,No prose-drafting claim appears in the retrieved text; the paper does not document AI-assisted writing workflows.,C034_P1,,Upgraded to medium: absence of discussion is suggestive but not definitive for a preprint.
