case_id,role_label,role_group,role_observable_in_case,status_in_case,confidence,evidence_basis_summary,main_supporting_source_ids,main_contrary_source_ids,notes
10,Relevance adjudicator,starting_role,partial,unclear,medium,"C010_S1 Methods show expert PhD writers curate queries and answer rubrics that define which retrieved passages count as relevant or seminal, and annotators note citations are sometimes outdated or less representative, indicating residual human relevance judgement over retrieval output.",C010_P1; C010_S1,,Upgraded from low; rubric design and expert critique of retrieved papers supports the partial/unclear coding.
10,Mechanism disciplinarian,starting_role,no,not_applicable,medium,"Neither C010_P1 (citation-verification empirical audit) nor C010_S1 (retrieval-augmented synthesis) concerns constraining causal or mechanism claims; the cases are about bibliographic fidelity and coverage, not mechanism adjudication.",C010_P1; C010_S1,,Upgraded from low; sources are detailed enough to confidently mark not applicable.
10,Construct and perspective boundary setter,starting_role,no,not_applicable,medium,"C010_P1 defines mysterious citation severity bands and C010_S1 defines rubric criteria, but neither involves constructing socially meaningful category boundaries or preserving perspective disagreement - the constructs are bibliographic correctness and answer coverage.",C010_P1; C010_S1,,Upgraded from low; sources support not-applicable.
10,Corpus pluralist,starting_role,partial,unclear,medium,"C010_S1 explicitly combines OSDS dense retrieval, Semantic Scholar API and You.com web search to avoid collapsing onto one corpus (Ablations of retrieval section), and its limitation section flags exclusion of social sciences and license-protected papers.",C010_S1; C010_P1,,Upgraded from low; multi-source retrieval and stated coverage gaps support partial/unclear.
10,Protocol and provenance architect,starting_role,yes,merge_pressure,high,"C010_P1 proposes submission-time DOI/PDF requirements, desk-reject policies and disclosure enforcement; C010_S1 builds the OpenScholar self-feedback + citation-verification pipeline and Semantic Scholar API checking - both sources centrally concern workflow, logging and admissible-citation procedure.",C010_P1; C010_S1,,Upgraded from low to high; this role is directly and centrally evidenced in both sources.
10,Counterfactual and transportability judge,starting_role,no,not_applicable,medium,"C010_S1 acknowledges findings may not generalize to social sciences or restricted-access domains, but neither source turns on judging whether model-generated results travel across populations or designs.",C010_S1; C010_P1,,Upgraded from low; limitation notes make not-applicable defensible.
10,Situated interlocutor / context witness,starting_role,no,not_applicable,medium,"Both sources involve documentary / bibliographic analysis and benchmark construction, with no fieldwork, interviewing, or interpretive co-presence.",C010_P1; C010_S1,,Upgraded from low; sources clearly rule this role out.
10,Accountability and labor allocator,starting_role,yes,merge_pressure,high,"C010_P1 Discussion directly assigns responsibility - authors must verify bibliographies, co-authors share reputational risk, conferences must enforce disclosure, and fabricated citations are framed as scientific misconduct on par with falsification; C010_S1 emphasizes human authorship of expert answers and open-sourcing for accountability.",C010_P1; C010_S1,,Upgraded from low to high; C010_P1 is explicitly about authorship and disclosure responsibility.
10,Construct boundary setter,split_candidate,no,not_applicable,medium,"C010_P1's severity taxonomy (minor error / rephrased title / mysterious citation) and C010_S1's rubric items are narrow labeling schemes, not the kind of category-boundary definition this split role targets.",C010_P1; C010_S1,,Upgraded from low; sources support not-applicable.
10,Perspective sampler,split_candidate,no,not_applicable,medium,Neither source involves preserving subgroup disagreement; C010_S1 aggregates expert ratings with inter-annotator agreement but does not treat disagreement as a substantive construct.,C010_S1; C010_P1,,Upgraded from low; sources support not-applicable.
10,Counterfactual / transportability judge,split_candidate,no,not_applicable,medium,"Neither source pressures transportability of a causal result across settings; C010_S1's generalization caveats are about benchmark scope, not counterfactual travel.",C010_S1; C010_P1,,Upgraded from low; sources support not-applicable.
10,Calibration architect,split_candidate,partial,unclear,medium,"C010_S1 benchmarks citation F1, rubric accuracy and hallucination rates (Table 1, Table 2) against expert-written answers as a reference distribution - a calibration-style activity - though the case's core framing is verification rather than simulator calibration.",C010_S1,,"Upgraded from low, and changed role_observable_in_case from no to partial: ScholarQABench is explicitly a benchmark-against-human-experts exercise, so treating this as weakly observable is better supported than no. Status kept unclear."
10,Situated interlocutor,split_candidate,no,not_applicable,medium,No interviewer or fieldworker role appears in either source; both concern desk-based bibliographic verification and literature synthesis.,C010_P1; C010_S1,,Upgraded from low; sources support not-applicable.
10,Context witness,split_candidate,no,not_applicable,medium,Neither source invokes tacit or archival contextual knowledge to interpret traces; manual verification in C010_P1 is straightforward existence-checking of references.,C010_P1; C010_S1,,Upgraded from low; sources support not-applicable.
10,Routine first-pass screener,shrinking_task_cluster,partial,unclear,medium,"C010_P1's automated pipeline (PyPDF parsing, external aggregator search, then manual validation) explicitly reduces first-pass reference triage to AI and reserves humans for exception handling, fitting the shrinking-screener profile.",C010_P1,,Upgraded from low; pipeline Figure 1 in C010_P1 directly illustrates this shrinkage.
10,"Routine coder on high-consensus, ground-truth-rich tasks",shrinking_task_cluster,partial,shrinking,medium,"C010_P1 step 6 shows humans now audit machine results for an externally-anchored task (does the cited publication exist in Crossref/dblp/OpenAlex?); this matches the shift-to-auditor pattern, so no/not_applicable understates what the source shows.",C010_P1,,"Upgraded from low and revised: changed role_observable_in_case from no to partial and status from not_applicable to shrinking. Citation existence is a ground-truth-rich task where humans now verify, not produce, labels."
10,Structural prose polisher / drafter,shrinking_task_cluster,yes,conditional,high,C010_P1 explicitly lists drafting/grammar/stylistic polishing as accepted LLM uses (USE AND MISUSE section) and notes one paper disclosed AI use only for grammatical edits; C010_S1 shows LLM-drafted long-form answers preferred by experts 51-70% of the time - directly demonstrating AI-taking-over drafting with humans retaining accountability.,C010_P1; C010_S1,,Upgraded from low to high; both sources centrally concern AI prose drafting with human oversight conditions.
