case_id,role_label,role_group,role_observable_in_case,status_in_case,confidence,evidence_basis_summary,main_supporting_source_ids,main_contrary_source_ids,notes
8,Relevance adjudicator,starting_role,partial,unclear,high,"C008_P1 frames classifier as a pre-screening triage that trims references prior to human abstract screening, and humans still define class membership and exclude off-scope (non-English, non-neuroscience) items.",C008_P1,,Upgraded low to high: Abstract and Introduction directly frame triage-for-screening; Methods Section 2.2.2 shows humans set scope and exclusions.
8,Mechanism disciplinarian,starting_role,no,not_applicable,high,C008_P1 is a classification benchmarking study; it makes no causal or mechanism claims and does not constrain mechanism interpretation.,C008_P1,,"Upgraded low to high not_applicable: full Methods confirms task is label prediction, not causal inference."
8,Construct and perspective boundary setter,starting_role,yes,robust,high,"C008_P1 shows humans defining 15 (later 14) mutually exclusive study-type classes, iterating guidelines over 3 rounds, and making post-hoc boundary decisions (dropping Animal-systematic-review; redefining intervention).",C008_P1,,"Upgraded low to high and changed observable no to yes, status not_applicable to robust: Methods Section 2.2.2 documents construct-definition work in detail."
8,Corpus pluralist,starting_role,partial,unclear,high,"C008_P1 draws only from PubMed neuroscience (CNS/mental-disorder MeSH) with a convenience sample of ~2,500 abstracts; authors acknowledge coverage limits of MeSH but do not broaden corpora, so pluralism is weakly engaged.",C008_P1,,"Upgraded medium to high and refined observable yes to partial, status conditional to unclear: Methods Section 2.2.1 shows single-database single-field sampling; pluralist role is largely absent rather than robust."
8,Protocol and provenance architect,starting_role,yes,robust,high,"C008_P1 documents iterative annotation guidelines, stratified train/validation/test splits, reproducibility-badged open data, and an OSF protocol link (osf.io/3yxqh), indicating heavy human protocol/provenance work.",C008_P1,,Upgraded medium to high and status conditional to robust: Methods Section 2.2 plus open-materials/open-data badges directly evidence architect role.
8,Counterfactual and transportability judge,starting_role,no,not_applicable,high,C008_P1 does not extrapolate across populations or settings; performance is reported on an in-domain neuroscience test split with no transportability claim.,C008_P1,,Upgraded low to high not_applicable: full Methods confirms narrow evaluation scope.
8,Situated interlocutor / context witness,starting_role,no,not_applicable,high,"C008_P1 involves no interviews, fieldwork, or situated interpretation; all annotation is desk-based metadata labeling.",C008_P1,,Upgraded low to high not_applicable: Methods describe only text-based annotation from PubMed metadata.
8,Accountability and labor allocator,starting_role,partial,unclear,medium,"C008_P1 records shared first authorship and author contributions but does not discuss AI disclosure, responsibility for classifier errors, or reallocation of review-team accountability.",C008_P1,,Upgraded low to medium and observable no to partial: authorship is handled conventionally but AI-specific accountability is not engaged.
8,Construct boundary setter,split_candidate,yes,robust,high,"C008_P1 shows a clear split-candidate signature: humans devote substantial effort to category boundaries (14 mutually exclusive classes, hierarchy, revised guidelines) that is analytically distinct from other construct work.",C008_P1,,"Upgraded low to high and observable no to yes, status not_applicable to robust: Methods Section 2.2.2 directly exhibits this split role."
8,Perspective sampler,split_candidate,no,not_applicable,high,"C008_P1 resolves all inter-rater conflicts by discussion to a single label and does not preserve subgroup disagreement; only Cohen's Kappa is reported, not a pluralistic label schema.",C008_P1,,Upgraded low to high not_applicable: Methods Section 2.2.2 explicitly collapses disagreement.
8,Counterfactual / transportability judge,split_candidate,no,not_applicable,high,C008_P1 does not test cross-population or cross-design transportability; evaluation stays within the neuroscience PubMed corpus.,C008_P1,,Upgraded low to high not_applicable: Methods restrict evaluation to in-domain split.
8,Calibration architect,split_candidate,yes,robust,high,"C008_P1 is fundamentally a benchmarking study: humans build a human-annotated reference corpus and calibrate GPT-3.5, GPT-4, and seven BERT variants against it using F1/precision/recall with CIs.",C008_P1,,"Upgraded low to high and observable no to yes, status not_applicable to robust: Tables 1-3 and Methods Section 2.3-2.4 directly exhibit this role."
8,Situated interlocutor,split_candidate,no,not_applicable,high,C008_P1 has no interviewer or fieldwork component; annotation is desk-based on PubMed text.,C008_P1,,Upgraded low to high not_applicable.
8,Context witness,split_candidate,partial,unclear,medium,"C008_P1 relies on annotator domain knowledge (neuroscience methods, trial design) to apply the codebook, but this is tacit rather than framed as an explicit context-witness role.",C008_P1,,"Upgraded low to medium and observable no to partial: guideline application implies background expertise, though the paper does not foreground it."
8,Routine first-pass screener,shrinking_task_cluster,yes,shrinking,high,"C008_P1 explicitly positions automated classification as a way to reduce the labor of title/abstract triage, with BERT F1 >0.8 suggesting meaningful pre-screening delegation to AI.",C008_P1,,"Upgraded low to high: Abstract, Highlights, and Discussion-adjacent framing directly support shrinking."
8,"Routine coder on high-consensus, ground-truth-rich tasks",shrinking_task_cluster,yes,shrinking,high,C008_P1 shows humans shifting from being the sole coders to serving as ground-truth providers and auditors against which fine-tuned BERT models (F1 ~0.84) are benchmarked.,C008_P1,,"Upgraded low to high and observable no to yes, status not_applicable to shrinking: Table 3 shows BERT approaching human-annotation quality on anchored labels."
8,Structural prose polisher / drafter,shrinking_task_cluster,no,not_applicable,high,C008_P1 makes no claim that LLMs drafted the paper or polished prose; the AI role is confined to study-type classification.,C008_P1,,"Upgraded low to high not_applicable: paper scope is classifier benchmarking, not authorship assistance."
