case_id,role_label,role_group,role_observable_in_case,status_in_case,confidence,evidence_basis_summary,main_supporting_source_ids,main_contrary_source_ids,notes
16,Relevance adjudicator,starting_role,no,not_applicable,high,"Full text concerns interviewer-mode comparison, not inclusion/exclusion of materials for an analysis universe, so role is confidently not applicable.",C016_P1,,Upgraded low to high: full PDF read confirms no relevance-adjudication work is performed.
16,Mechanism disciplinarian,starting_role,no,not_applicable,high,"Paper reports a proof-of-concept mode comparison with descriptive metrics and makes no causal-mechanism claims about political attitudes, so role is confidently not applicable.",C016_P1,,Upgraded low to high based on full-text read.
16,Construct and perspective boundary setter,starting_role,partial,conditional,high,Human authors design the politics/democracy questionnaire and write the coding manuals defining desirable/undesirable interviewer behavior and response-quality categories that frame what the interview produces.,C016_P1,,"Upgraded low to high: full text shows human-defined questionnaire (Sec 3.2/3.4) and coding manuals (Sec 3.5, App G/H) set the construct frame."
16,Corpus pluralist,starting_role,no,not_applicable,high,"Case compares interviewer modes on a single student-sample questionnaire; no corpus-curation question is at stake, so role is confidently not applicable.",C016_P1,,Upgraded low to high based on full-text read.
16,Protocol and provenance architect,starting_role,yes,robust,high,"Authors pre-registered the study on OSF, scripted the seminar procedure, published code and data for reuse, and designed the multi-metric evaluation pipeline with real-time problem logging.",C016_P1,,"Upgraded low to high; observable also upgraded partial to yes given explicit pre-registration (Sec 3), data/code release (Sec 1), and logged procedures."
16,Counterfactual and transportability judge,starting_role,partial,conditional,medium,"Authors explicitly flag small-N student sample and caution about generalizing beyond the controlled setting, implying human judgment on transportability of the proof-of-concept.",C016_P1,,"Upgraded low to medium; observable upgraded no to partial. Transportability caveats appear (Sec 4 interpreted with caution; Sec 5 implementation-dependent), but not a central focus."
16,Situated interlocutor / context witness,starting_role,yes,robust,high,"Entire study is a head-to-head test of whether the human interviewer changes the data respondents produce on political topics; human and AI conditions are compared on engagement, empathy, specificity, and interestingness.",C016_P1,,"Upgraded low to high: this is the case's core question (Sec 3, 4, Table 1)."
16,Accountability and labor allocator,starting_role,yes,robust,high,"Authors own authorship and pre-registration, obtain participant consent, assign student observers to real-time problem logging, and publish code/data under a named repository, explicitly allocating responsibility.",C016_P1,,"Upgraded low to high: consent (Sec 3.1), pre-registration, named authorship, and observer role in AI condition document clear accountability allocation."
16,Construct boundary setter,split_candidate,partial,conditional,high,"Human-authored coding manuals define categorical rules for admissible interviewer behavior and response quality dimensions (clarity, relevance, specificity, engagement, empathy).",C016_P1,,Upgraded low to high: Sec 3.5 and Appendices G/H show explicit boundary setting on what counts as good interviewer behavior and good response.
16,Perspective sampler,split_candidate,no,not_applicable,high,Study does not attempt to preserve subgroup disagreement or representational pluralism; it contrasts two interview modes on a homogeneous student sample.,C016_P1,,Upgraded low to high based on full-text read.
16,Counterfactual / transportability judge,split_candidate,partial,conditional,medium,"Authors caution that findings are a small-N proof-of-concept whose success depends on precise implementation, signaling transportability judgment without making it the focus.",C016_P1,,Upgraded low to medium; observable upgraded no to partial. Concentrated in Sec 4 caution and Sec 5 implementation-dependence recommendations.
16,Calibration architect,split_candidate,partial,conditional,medium,"Human interview condition functions as the reference benchmark against which AI interviews are calibrated on tokens-per-answer, readability, and human-rated quality dimensions.",C016_P1,,"Upgraded low to medium; observable upgraded no to partial. Table 1 and Sec 3.5 show human interviews used as the comparator, which is calibration-like though not framed that way."
16,Situated interlocutor,split_candidate,yes,conditional,high,"The human interviewer's presence is directly tested: human interviewers elicit higher engagement, empathy, specificity, and interestingness, while AI elicits longer but less specific responses, showing the human interviewer measurably changes disclosure.",C016_P1,,"Upgraded low to high: Table 1 and Fig 3/4 directly adjudicate this role. Status remains conditional because AI achieves parity on some dimensions (clarity, relevance, overall satisfaction)."
16,Context witness,split_candidate,partial,conditional,high,"Human coders and observers are needed to interpret interview transcripts, flag guideline violations, and record real-time technical problems that shape what the data mean.",C016_P1,,Upgraded low to high: Sec 3.5 research-assistant coding and Sec 4 observer problem-logging give direct evidence.
16,Routine first-pass screener,shrinking_task_cluster,no,not_applicable,high,"No title/abstract triage or early ranking task exists in this interview-methodology case, so the cluster is confidently not applicable.",C016_P1,,Upgraded low to high based on full-text read.
16,"Routine coder on high-consensus, ground-truth-rich tasks",shrinking_task_cluster,no,not_applicable,high,"Two human research assistants double-coded every interviewer turn and every response against detailed manuals; coding was not delegated to AI, so the shrinking-task pattern does not appear here.",C016_P1,,Upgraded low to high: Sec 3.5 explicitly keeps humans as coders for both interviewer behavior and response quality.
16,Structural prose polisher / drafter,shrinking_task_cluster,no,not_applicable,high,"Paper describes AI as interviewer, not as writing assistant; no delegation of manuscript drafting or prose polishing to AI is reported.",C016_P1,,Upgraded low to high based on full-text read.
