case_id,role_label,role_group,role_observable_in_case,status_in_case,confidence,evidence_basis_summary,main_supporting_source_ids,main_contrary_source_ids,notes
22,Relevance adjudicator,starting_role,no,not_applicable,medium,"Authors manually scoped the corpus to TESS peer-reviewed experiments and restricted to ordinal/binary outcomes (sections 3.3, 3.1), but this is corpus curation rather than study-level relevance adjudication of admissible materials.",C022_P1,,"Upgraded to medium: source addresses scoping indirectly via TESS selection and outcome-type restriction, but not a primary relevance-adjudication task"
22,Mechanism disciplinarian,starting_role,partial,transformed,high,"Paper explicitly documents that LLMs distort opinion distributions, overestimate effect sizes 2-10x, and mispredict effect directions 10-32% of the time, making human checks on causal/mechanism claims from simulated experiments a central concern (section 1).",C022_P1,,Upgraded to high: full text directly describes mechanism-claim risks that humans must constrain when using simulators
22,Construct and perspective boundary setter,starting_role,no,not_applicable,high,"Paper inherits outcome constructs from the underlying TESS studies and does not build new codebooks or category schemes; construct-boundary work lives in the source experiments, not this pipeline (sections 3.1, 3.3).",C022_P1,,Upgraded to high: full text confirms no construct boundary setting occurs here
22,Corpus pluralist,starting_role,no,not_applicable,high,"Authors deliberately narrow to a single corpus (NSF TESS) with ordinal/binary outcomes only (sections 3.1, 3.3); the design goal is standardization, not corpus pluralism.",C022_P1,,Upgraded to high: full text directly shows corpus-narrowing design choice
22,Protocol and provenance architect,starting_role,partial,transformed,high,"Authors design the full pipeline: an LLM data-construction agent (o4-mini-high) converts TESS data to standardized persona/stimuli/response format, with documented reconstruction workflow in Appendix A, and release data, models, and code (sections 3.3, 1).",C022_P1,,Upgraded from no/low to partial/high: full text shows explicit protocol and release architecture; changed role_observable_in_case from no to partial and status from not_applicable to transformed
22,Counterfactual and transportability judge,starting_role,yes,transformed,high,"Entire section 5 is structured around transportability tests: generalization to unseen studies, unseen conditions, unseen outcomes, unseen participants, with bootstrapped Empirical Best bounds framing when predictions can travel (sections 5.2-5.5).",C022_P1,,Upgraded to high: paper is organized around transportability adjudication
22,Situated interlocutor / context witness,starting_role,no,not_applicable,high,"Task is secondary-data simulation of pre-recorded TESS responses; no fieldwork, interviews, or situated interaction with respondents occurs (sections 3.1, 3.3).",C022_P1,,Upgraded to high: full text confirms purely secondary-data design
22,Accountability and labor allocator,starting_role,partial,transformed,medium,"Authors take responsibility for data, models, and code release with documented limitations about distributional distortion and demographic bias (sections 1, 5.6); no explicit authorship/disclosure or error-accountability framework is laid out.",C022_P1,,"Upgraded to medium: implicit accountability via release and bias disclosure, but not directly thematized"
22,Construct boundary setter,split_candidate,no,not_applicable,high,No codebook construction or category-rule setting in this pipeline; outcomes are taken as given from TESS studies (section 3.1).,C022_P1,,Upgraded to high: full text confirms absence
22,Perspective sampler,split_candidate,no,not_applicable,high,"Paper treats demographic variance as a bias-reduction target via demographic parity difference (section 5.6), not as pluralistic subgroup disagreement to preserve.",C022_P1,,Upgraded to high: full text confirms the aggregation-not-pluralism framing
22,Counterfactual / transportability judge,split_candidate,yes,conditional,high,"Sections 5.3-5.5 directly pressure when simulator outputs travel across studies, conditions, outcomes, and participants; gains are conditional on domain proximity and saturate around 10% pilot data (section 5.5).",C022_P1,,Upgraded to high and changed status from unclear to conditional: full text shows stage- and data-conditional transportability
22,Calibration architect,split_candidate,yes,robust,high,"Core contribution: Wasserstein distance distributional alignment, Empirical Best bootstrap bounds, Uniform Guess lower bounds, demographic parity difference, and SFT/DPO calibration trade-offs (sections 3.2, 5.2, 5.6).",C022_P1,,Upgraded to high and strengthened status from conditional to robust: calibration is the paper's central human-designed work
22,Situated interlocutor,split_candidate,no,not_applicable,high,No interviewer or fieldworker role; responses are drawn from pre-existing TESS survey data (section 3.3).,C022_P1,,Upgraded to high: full text confirms absence
22,Context witness,split_candidate,no,not_applicable,high,"No tacit, archival, or contextual interpretive work beyond the automated reconstruction agent; questions are standardized text (section 3.3).",C022_P1,,Upgraded to high: full text confirms absence
22,Routine first-pass screener,shrinking_task_cluster,partial,shrinking,high,"Paper explicitly positions simulators for hypothesis screening before costly studies and pilot generalization to unseen participants, with saturation around 10% pilot data (sections 1, 5.5).",C022_P1,,Upgraded to high and changed role_observable_in_case from no to partial and status to shrinking: hypothesis-screening framing is the paper's motivating use case
22,"Routine coder on high-consensus, ground-truth-rich tasks",shrinking_task_cluster,no,not_applicable,high,"Task is response prediction against ground-truth human responses, not labeling or coding; no coder audit-vs-primary shift is described (sections 3.1-3.2).",C022_P1,,"Upgraded to high: full text confirms this is prediction, not coding"
22,Structural prose polisher / drafter,shrinking_task_cluster,no,not_applicable,high,"No discussion of drafting, prose revision, or writing assistance; paper is about response prediction (section 1).",C022_P1,,Upgraded to high: full text confirms absence
