case_id,role_label,role_group,role_observable_in_case,status_in_case,confidence,evidence_basis_summary,main_supporting_source_ids,main_contrary_source_ids,notes
9,Relevance adjudicator,starting_role,partial,transformed,high,"OpenScholar uses trained retrievers, rerankers, and expert-written queries to decide which of 45M papers are relevant; experts shift to adjudicating top-N rather than exhaustive screening.",C009_P1; C009_S1,,Upgraded from low: P1 documents retrieval pipeline and expert writer/rater selection; S1 documents authors' duty to verify which cited works are real/relevant.
9,Mechanism disciplinarian,starting_role,no,not_applicable,high,"The case is literature synthesis with citation grounding, not causal-mechanism adjudication; neither source invokes mechanism discipline.",C009_P1; C009_S1,,Upgraded from low: both sources directly concern synthesis/citation integrity rather than causal reasoning.
9,Construct and perspective boundary setter,starting_role,no,not_applicable,medium,"Expert-written rubrics in ScholarQABench implicitly define answer quality constructs (coverage, relevance, organization) but sources do not frame this as a boundary-setting role.",C009_P1,,Upgraded from low: P1 describes rubrics but does not treat perspective plurality as the central role.
9,Corpus pluralist,starting_role,yes,transformed,high,"OpenScholar deliberately combines OSDS dense retrieval, Semantic Scholar API, and web search to broaden coverage, and flags limited social-science paper representation as a limitation.",C009_P1,,Upgraded from medium: P1 explicitly triangulates corpora and discusses social-science gap (no instances from social sciences).
9,Protocol and provenance architect,starting_role,yes,transformed,high,"OpenScholar designs OSDS versioning (peS2o v2/v3), self-feedback inference, citation verification, and open artefact release; C009_S1 proposes DOI-at-submission and misconduct policies for provenance.",C009_P1; C009_S1,,"Upgraded from medium: both sources are directly about protocol/provenance (versioning, disclosure, verification)."
9,Counterfactual and transportability judge,starting_role,no,not_applicable,high,P1 explicitly limits ScholarQABench to CS/physics/biomedicine and notes findings may not fully generalize to social sciences; no counterfactual claims tested.,C009_P1,,Upgraded from low: P1 contains explicit transportability disclaimer that resolves the role as not-applicable to this case.
9,Situated interlocutor / context witness,starting_role,no,not_applicable,high,"The case is fixed-corpus synthesis with no fieldwork, interviews, or situated data production.",C009_P1; C009_S1,,Upgraded from low: both sources make clear the evidence base is published literature only.
9,Accountability and labor allocator,starting_role,yes,transformed,high,"P1 documents expert writer/rater pay, IAA, and open-source disclosure; S1 centrally argues for authorship accountability, disclosure policies, and treating fabricated citations as misconduct.",C009_P1; C009_S1,,"Upgraded from medium: S1 directly concerns accountability/disclosure (ACM/IEEE policies, authorship)."
9,Construct boundary setter,split_candidate,partial,unclear,medium,"ScholarQABench rubrics operationalize good synthesis constructs (coverage, relevance, organization) via expert-authored rubric items, pressuring but not resolving construct boundaries.",C009_P1,,Upgraded from low: P1 rubric design touches this role but is not the dominant framing; status changed to unclear given partial observability.
9,Perspective sampler,split_candidate,no,not_applicable,medium,"Evaluation relies on 1-3 expert raters with IAA 0.68-0.70, but no systematic subgroup disagreement preservation; perspective sampling is not the central concern.",C009_P1,,Upgraded from low: P1 describes rater design enough to adjudicate that perspective-sampling is not the primary role at stake.
9,Counterfactual / transportability judge,split_candidate,no,not_applicable,high,P1 explicitly flags that findings may not generalize to social sciences and recommends excluding post-cutoff papers; transportability is acknowledged as unresolved rather than adjudicated.,C009_P1,,Upgraded from low: P1 limitations section is directly on point (no instances from social sciences).
9,Calibration architect,split_candidate,partial,transformed,high,"ScholarQABench itself is a calibration/benchmarking architecture (rubric scoring, LLM-as-judge alignment with experts, Prometheus, citation F1) that reconfigures how synthesis outputs are matched to expert reference distributions.",C009_P1,,"Upgraded from low and changed observable to partial/transformed: P1 is substantially a benchmark-calibration paper (inter-annotator agreement, length-controlled re-evaluation)."
9,Situated interlocutor,split_candidate,no,not_applicable,high,Fixed corpus synthesis with no interview or field interaction; sources do not invoke situated interaction.,C009_P1; C009_S1,,Upgraded from low: both sources confirm the task is desk synthesis of published papers.
9,Context witness,split_candidate,no,not_applicable,high,No tacit/archival contextual interpretation is required; retrieval operates on published texts with title-level and passage-level matching.,C009_P1; C009_S1,,Upgraded from low: sources make the non-applicability clear.
9,Routine first-pass screener,shrinking_task_cluster,yes,shrinking,high,OpenScholar's retriever + reranker pipeline substantially displaces human triage across 45M papers; experts spend ~1hr writing each answer and are outperformed on coverage by automated synthesis.,C009_P1,,"Upgraded from low and status changed from unclear to shrinking: P1 directly documents retrieval+rerank reducing screening load, with OpenScholar-GPT-4o winning 70% vs experts."
9,"Routine coder on high-consensus, ground-truth-rich tasks",shrinking_task_cluster,no,not_applicable,medium,"ScholarQABench answers are long-form expert-written, not high-consensus ground-truth labels; citation F1 is the closest anchor but is sentence-level and acknowledged as imperfect.",C009_P1,,"Upgraded from low: P1 evaluation design shows this is not a high-consensus coding task (rubrics, LLM-as-judge, noted scoring limitations)."
9,Structural prose polisher / drafter,shrinking_task_cluster,partial,shrinking,high,"OpenScholar-GPT-4o draft responses outscore experts on organization (+0.8) and are preferred in 70% of pairwise comparisons; drafting/structuring is substantially delegated while accountability (citations, disclosure) remains human.",C009_P1; C009_S1,,Upgraded from low and observable changed to partial/shrinking: P1 organization/coverage results and S1 framing that polishing is acceptable but citation fabrication is not jointly pin this role down.
