Case ID,Case title,Case family,Fit to social science,Short description,Empirical unit of analysis,Primary AI capability,Secondary AI capability,Primary research stage,Method traditions,Institutional setting,Observable human actors,Candidate roles tested,Primary typology leverage,Key typology question,Observable artifacts / traces,Key outcomes observed,What would weaken / falsify the role claim,Main confounds / risks of misreading,Feasibility,Evidence status,Program priority,Portfolio group,Why this case has high leverage,Primary source URL,Secondary source URL,Notes,case_slug,collection_status,source_count_total,source_count_primary,raw_files_count,extracted_text_count,artifacts_captured_count,analysis_ready,main_limitations,last_updated,collector_notes
1,Objective party-affiliation annotation across 11 countries,Measurement & coding,Direct social-science,Use politician social-media posts with known party labels to test when human coders can be demoted from primary coders to auditors.,Social-media posts paired with public party labels across 11 countries and languages,Generative,,Coding / measurement,Computational text analysis; quantitative political science,Annotation lab / RA workflow,"Expert coders, crowd workers, RA manager",Construct boundary setter; shrinking routine coder,Shrinking,"Is routine coding a shrinking task-cluster on high-consensus, ground-truth-rich tasks?","Prompt logs, coder disagreement, model outputs, downstream classification stability","Accuracy, macro-F1, downstream inference stability, time saved",Humans continue to outperform or materially change downstream conclusions on objective tasks,Task is unusually objective; may not generalize to contested constructs,High,Peer-reviewed article,High,Shrinkage,Public ground truth makes it one of the cleanest displacement tests available now.,https://journals.sagepub.com/doi/10.1177/08944393241286471,,,001_objective_party_annotation,complete,2,1,1,1,4,yes,"Primary journal-page URL is access-limited, but a lawful open-access deposit (secondary source) covers the substantive evidence.",2026-04-07,Generated from workbook and workbook-linked sources.
2,"Contested codebook measurement of manifestos, protest events, and political violence",Measurement & coding,Direct social-science,"Compare AI-only, human-only, and hybrid codebook workflows on contested political-science constructs with hard negatives and transport tests.",Texts plus formal political-science codebooks and adjudicated labels,Generative,,Construct definition / coding / measurement,Computational social science; content analysis,Methods lab / PI-led measurement project,"PI, codebook authors, research assistants",Construct boundary setter,Robust,Does human intervention change construct validity rather than only speed?,"Codebook versions, prompt histories, hard-negative sets, edge-case adjudications","Out-of-domain transport, subgroup stability, edge-case behavior, validity of downstream measures",AI-only codebooks match human-revised codebooks on edge cases and transport,Extra labels may be confounded with better construct work,High,Peer-reviewed / preprint mix,High,Anchor,This is the strongest direct test of a constitutive human role in social-science measurement.,https://www.cambridge.org/core/journals/political-analysis/article/codebook-llms-evaluating-llms-as-measurement-tools-for-political-science-concepts/7B323A0E47F782F2698A0AE849EA00DE,https://www.cambridge.org/core/journals/political-analysis/article/codebook-llms-evaluating-llms-as-measurement-tools-for-political-science-concepts/7B323A0E47F782F2698A0AE849EA00DE,,002_contested_codebook_measurement,complete,1,1,1,1,4,yes,,2026-04-07,Generated from workbook and workbook-linked sources.
3,Multi-perspective annotation of political incivility or offensiveness,Measurement & coding,Direct social-science,"Label the same texts by demographic or partisan subgroups and compare majority-vote, AI-only, and targeted human-sampling corrections.",Texts with subgroup labels and matched AI proxy labels,Generative,,Coding / measurement / interpretation,Computational communication; survey-linked text analysis,Annotation team,"Annotation lead, subgroup coders",Construct boundary setter; perspective sampler,Split,Should construct work be split from perspective sampling when disagreement is meaningful?,"Subgroup label distributions, active-learning logs, disagreement matrices","Preservation of subgroup-specific inference, minority-label retention, annotation budget efficiency",Majority-vote or AI-only labels preserve subgroup-specific inferences equally well,Task underspecification may masquerade as genuine perspectival disagreement,Medium-High,Preprint,High,Split-Merge,It can force a split in the starting typology rather than merely confirm it.,https://arxiv.org/abs/2603.21404,,,003_multi_perspective_annotation,complete,1,1,1,1,3,yes,,2026-04-07,Generated from workbook and workbook-linked sources.
4,Party-cue perturbation in political-text annotation,Measurement & coding,Direct social-science,Hold policy text constant while varying party cues to test whether AI coding tracks politically loaded labels rather than substantive content.,Identical policy statements with manipulated party labels,Generative,,Coding / annotation validation,Political text analysis; measurement validation,Model-evaluation lab,"Expert coders, model evaluators",Construct boundary setter; bias auditor,Split,Is construct work separable from perspective-aware bias auditing?,"Cue-perturbation experiments, confidence shifts, divergence from human labels","Sensitivity to party cues, asymmetry across parties, stability of labels under perturbation",Cue changes do not systematically move outputs,Party labels can sometimes be substantively relevant context rather than pure bias,High,Peer-reviewed article,Medium,Split-Merge,It makes model-mediated political bias visible at the measurement stage.,https://www.nature.com/articles/s41599-025-05834-4,,,004_party_cue_perturbation,complete,1,1,1,1,3,yes,,2026-04-07,Generated from workbook and workbook-linked sources.
5,Human-developed codebooks for policy stakeholder interview coding,Measurement & coding,Direct social-science,Compare AI coding quality when the codebook is supplied by policy experts versus when AI proposes themes and labels first.,Paragraphs from stakeholder interviews plus iterative codebooks and prompt histories,Generative,,Qualitative coding / interpretation,Mixed-methods policy evaluation,Policy evaluation team,"Policy analyst, domain expert, RA",Construct boundary setter; context witness; protocol architect,Transformed,Is the human role in qualitative coding moving from line-by-line coding to codebook design and exception handling?,"Codebook revisions, prompt iterations, unmatched-theme logs, adjudication notes","Specificity of themes, policy usability, inter-method agreement, time saved",AI-first thematic analysis without human codebook development is equally specific and usable,Policy interviews may be more structured than ethnographic or highly sensitive data,High,Peer-reviewed article,High,Anchor,Visible codebook and revision traces make the role shift empirically inspectable.,https://journals.sagepub.com/doi/10.1177/23328584251374595,,,005_human_developed_codebooks,complete,2,1,1,1,4,yes,"Primary journal-page URL is access-limited, but a lawful open-access deposit (secondary source) covers the substantive evidence.",2026-04-07,Generated from workbook and workbook-linked sources.
6,Maternal-health interview coding with generative AI,Measurement & coding,Direct social-science,Use semistructured maternal-health interviews to test what is gained and lost when GenAI performs inductive coding and theme extraction.,Interview transcripts from maternity-care providers,Generative,,Qualitative coding / theme generation,Public-health qualitative research; thematic analysis,Health-research team,"Qualitative analyst, public-health PI",Construct boundary setter; situated interlocutor; context witness,Conditional,Do human roles narrow differently in applied thematic analysis than in contested political-text coding?,"Structured prompts, generated themes, human–AI code comparisons, coding memos","Theme overlap, coding efficiency, missing contextual nuance, interpretive adequacy",LLM coding captures nuance and downstream interpretive usefulness as well as human coding,Applied health interviews may not generalize to more theory-laden or politically contested domains,High,Peer-reviewed article,Medium,Boundary,"Useful counterpoint to political-text cases because the topic is applied, interview-based, and semi-structured.",https://pmc.ncbi.nlm.nih.gov/articles/PMC12083056/,,,006_maternal_health_interview_coding,complete,1,1,1,1,4,yes,,2026-04-07,Generated from workbook and workbook-linked sources.
7,Agentic title/abstract screening in migration-policy reviews with gray-literature rescue,Evidence synthesis & corpus,Direct social-science,Test AI-first screening on mixed corpora to see whether first-pass screening shrinks while protocol design and corpus rescue remain human.,"Review records, inclusion decisions, and rescue decisions across indexed and gray sources",Agentic,Predictive,Literature review / screening,Review methodology; policy analysis,Systematic review team,"Review lead, RA screeners, librarian-equivalent search designer",Protocol and provenance architect; corpus pluralist; shrinking first-pass screener,Shrinking,Has first-pass screening become a shrinking task-cluster rather than a durable role?,"PRISMA logs, search paths, inclusion/exclusion reasons, rescued-study logs","Recall, precision, workload saved, conclusion sensitivity to rescued studies",AI-first workflows preserve gray and multilingual evidence without human rescue,Access to subscriptions and topic difficulty can mimic AI effects,High,Peer-reviewed article,High,Anchor,It tests both shrinkage and durable boundary-setting in one workflow.,https://www.cambridge.org/core/journals/research-synthesis-methods/article/compact-large-language-models-for-title-and-abstract-screening-in-systematic-reviews-an-assessment-of-feasibility-accuracy-and-workload-reduction/CB00FD70434780029EF6C027055331BA,,,007_agentic_title_abstract_screening,complete,1,1,1,1,4,yes,,2026-04-07,Generated from workbook and workbook-linked sources.
8,Study-type classification and review triage for social-policy evidence synthesis,Evidence synthesis & corpus,Direct social-science,Benchmark specialized classifiers and LLMs for study-type classification in reviews where social-policy evidence mixes methods and weak metadata.,Abstracts and study records from review corpora,Predictive,Generative,Literature review / triage,Evidence synthesis; mixed-methods review,Review team,"Review lead, RA screeners",Corpus pluralist; protocol architect,Conditional,"When does predictive triage work well enough that human corpus-boundary work, not manual triage, becomes decisive?","Study-type labels, classifier probabilities, human override logs","Sensitivity/specificity by source type, triage speed, error concentration",Predictive triage works equally well on heterogeneous and poorly structured sources,Benchmark corpora may be cleaner than actual policy-review inputs,High,Peer-reviewed article,Medium,Boundary,It isolates the triage function from broader synthesis claims.,https://www.cambridge.org/core/journals/research-synthesis-methods/article/studytypetellerlarge-language-models-to-automatically-classify-research-study-types-for-systematic-reviews/C50EB049FFE2D4367763814311C67B83,,,008_study_type_classification_review_triage,complete,1,1,1,1,3,yes,,2026-04-07,Generated from workbook and workbook-linked sources.
9,Citation-grounded multi-paper synthesis for social-policy literatures,Evidence synthesis & corpus,Boundary / adjacent benchmark,Use retrieval-augmented synthesis to generate evidence maps or literature-survey memos from a fixed social-policy corpus with citation checking.,Literature-survey memos generated from fixed corpora plus citation logs,Agentic,Generative,Synthesis / literature review,Evidence synthesis; computational methods,Review team or policy lab,"Review lead, PI, literature reviewer",Protocol and provenance architect; corpus pluralist; accountability and labor allocator,Transformed,Does provenance design matter more than fluent summary quality once synthesis is automated?,"Citation logs, retrieval snippets, unsupported-claim checks, human correction records","Citation accuracy, unsupported claims, source coverage, correction burden",Grounded and non-grounded systems perform equally well on claim support and coverage,"OpenScholar is not social-science-specific, so transfer to policy literatures must be verified",Medium-High,Peer-reviewed article,Medium,Boundary,It pressures provenance architecture and accountability rather than simple summarization.,https://www.nature.com/articles/s41586-025-10072-4,https://arxiv.org/html/2602.05867v1,,009_citation_grounded_multi_paper_synthesis,complete,2,1,2,2,4,yes,,2026-04-07,Generated from workbook and workbook-linked sources.
10,Citation-hallucination checks in AI-assisted literature-review drafts,Evidence synthesis & corpus,Direct social-science,Track when humans verify or fail to verify citations inserted by AI during literature-review drafting and evidence synthesis.,"Draft review sections, bibliographies, and verification logs",Generative,,Literature review / drafting,Science studies; review methodology,Research lab / manuscript workflow,"PI, doctoral student, co-author",Accountability and labor allocator; protocol and provenance architect,Merge / reject,"Is provenance architecture distinct from accountability, or are they the same role in literature review practice?","Draft histories, bibliography correction logs, fake-reference incidents, disclosure notes","Citation error rates, verification burden, correction timing, responsibility assignment",Citation support tools eliminate hallucination risk without extra human verification work,Poor citation habits could predate AI and inflate apparent AI effects,Medium,Preprint / commentary cluster,Medium,Governance,This case can show whether two typology categories collapse in practice.,https://arxiv.org/html/2602.05867v1,https://www.nature.com/articles/s41586-025-10072-4,,010_citation_hallucination_checks,complete,2,1,2,2,4,yes,,2026-04-07,Generated from workbook and workbook-linked sources.
