case_id,role_label,role_group,role_observable_in_case,status_in_case,confidence,evidence_basis_summary,main_supporting_source_ids,main_contrary_source_ids,notes
27,Relevance adjudicator,starting_role,partial,conditional,high,"Authors apply explicit inclusion criteria C1-C5 (field, DOI, reproduction package, credible report, <2hr) and 4 source-specific filters to select 112 of many candidate papers, showing human-led adjudication of the benchmark universe.",C027_P1,,upgraded from low to high; Section 3.1 documents human inclusion criteria and cross-verified annotation; changed observable from no to partial and status from not_applicable to conditional because relevance work is explicit but confined to benchmark curation
27,Mechanism disciplinarian,starting_role,partial,conditional,high,"Paper frames reproducibility as a critical-reasoning task requiring humans to adjudicate discrepancies between reported and reproduced results; agents score only 21.4% accuracy and REPRO-Agent only 36.6%, so humans still discipline mechanism/claim consistency.",C027_P1,,upgraded from low to high; Sections 2 and 5 describe critical reasoning and low agent accuracy as evidence humans still discipline claim-mechanism fit
27,Construct and perspective boundary setter,starting_role,partial,conditional,high,"Authors operationalize reproducibility as a 4-level ordinal construct (scores 1-4) finer than the SSRP 1-10 scale, defining category boundaries via consensus-based annotation with a legal expert.",C027_P1,,upgraded from low to high; Section 3.2 shows deliberate human-defined construct boundaries for reproducibility scoring
27,Corpus pluralist,starting_role,partial,conditional,high,"Benchmark deliberately combines 4 sources (mass-reproduction study, I4R, Retraction Watch, Twitter/X) and multiple languages (Stata, R, MATLAB, Julia, Python) and data formats to avoid collapsing to one machine-friendly corpus.",C027_P1,,upgraded from low to high; Section 3.1 and Table 1 document deliberate multi-source multi-language corpus design
27,Protocol and provenance architect,starting_role,yes,robust,high,"Authors design the full assessment protocol: task formulation, scoring rubric, inclusion criteria, environment setup (Stata/MATLAB/LaTeX preinstalled), output file conventions, and cost cutoffs, matching the codebook's protocol-architect exemplar for case 27.",C027_P1,,confidence retained as high with direct evidence from Sections 3-4
27,Counterfactual and transportability judge,starting_role,no,not_applicable,high,"Paper addresses reproducibility (same data, same methods) not replicability or transportability; Section 2 explicitly distinguishes reproducibility from replicability and excludes cross-setting transport.",C027_P1,,upgraded from low to high; Section 2 directly rules transportability out of scope
27,Situated interlocutor / context witness,starting_role,no,not_applicable,high,Benchmark operates entirely on archival paper PDFs and reproduction packages with no fieldwork or interview component.,C027_P1,,upgraded from low to high; full-text review confirms no situated/fieldwork dimension
27,Accountability and labor allocator,starting_role,yes,robust,high,"Named authorship across UIUC, SJTU, and Chicago; consensus-based 5-member annotation team including a legal expert; explicit cost caps ($4/task) and manual ground-truth labeling show humans bear accountability for benchmark validity.",C027_P1,,confidence retained as high; Sections 3.1-3.2 document authorship and consensus review
27,Construct boundary setter,split_candidate,partial,conditional,high,"Authors explicitly define 4 reproducibility score boundaries (1 irreproducible; 2 minor code inconsistency; 3 reporting issues; 4 fully reproducible) with worked examples, a pure construct-boundary task.",C027_P1,,upgraded from low to high; Section 3.2 gives explicit category-boundary definitions
27,Perspective sampler,split_candidate,no,not_applicable,high,"Annotation process targets full consensus with a single deterministic score per paper; authors explicitly state reproducibility is an objective, consensus-reachable task, so subgroup disagreement is not preserved.",C027_P1,,upgraded from low to high; Section 3.2 states consensus-based single-score design rules out perspective sampling
27,Counterfactual / transportability judge,split_candidate,no,not_applicable,high,No cross-population or cross-setting transport is attempted; the task is computational reproduction on the original data only.,C027_P1,,upgraded from low to high; Section 2 confirms scope restricted to same-data reproducibility
27,Calibration architect,split_candidate,yes,robust,high,"Entire paper is a benchmarking/calibration exercise: human-annotated ground-truth reproducibility scores calibrate three agents (AutoGPT, CORE-Agent, SWE-Agent) and REPRO-Agent against expert judgment.",C027_P1,,upgraded from low to high and observable from no to yes; Sections 4-5 show the case is fundamentally a calibration architecture with humans setting the reference distribution
27,Situated interlocutor,split_candidate,no,not_applicable,high,No interviewer or fieldworker role; benchmark is purely document-based.,C027_P1,,upgraded from low to high based on full-text confirmation
27,Context witness,split_candidate,partial,conditional,high,"A legal expert with deep familiarity with social science documentation participates in cross-verification, providing tacit domain context for annotation.",C027_P1,,upgraded from low to high; Sections 3.1 and 3.2 explicitly invoke legal-expert contextual familiarity; changed observable from no to partial and status from not_applicable to conditional
27,Routine first-pass screener,shrinking_task_cluster,no,not_applicable,high,"Case does not involve title/abstract triage or early ranking; inclusion was done by humans applying structured criteria, not by AI screening.",C027_P1,,upgraded from low to high; full-text review shows no screening-automation dimension
27,"Routine coder on high-consensus, ground-truth-rich tasks",shrinking_task_cluster,yes,shrinking,high,"Reproducibility scoring is explicitly a ground-truth-rich ordinal labeling task (112 papers, deterministic 1-4 scoring) that authors propose agents should automate; current agent accuracy (21-37%) shows the routine executor function is targeted for delegation but humans remain auditors.",C027_P1,,upgraded from low to high and observable from no to yes; the benchmark is designed precisely to test whether routine reproducibility coding can be delegated to agents with humans as auditors
27,Structural prose polisher / drafter,shrinking_task_cluster,no,not_applicable,high,Paper does not discuss AI drafting or prose polishing; task is reproducibility assessment not writing.,C027_P1,,upgraded from low to high; full-text review confirms no drafting/polishing dimension
