case_id,role_label,role_group,role_observable_in_case,status_in_case,confidence,evidence_basis_summary,main_supporting_source_ids,main_contrary_source_ids,notes
30,Relevance adjudicator,starting_role,no,not_applicable,high,Full text is scoped to disclosure of AI use in authoring; no treatment of how materials or cases enter an analysis universe.,C030_P1,,Upgraded to high after full-text read confirms scope does not touch relevance adjudication.
30,Mechanism disciplinarian,starting_role,no,not_applicable,high,Paper concerns reporting of AI-assisted research/writing activities; it does not constrain causal or mechanism claims.,C030_P1,,Upgraded to high after full-text read; disclosure tool is not about mechanism discipline.
30,Construct and perspective boundary setter,starting_role,no,not_applicable,high,DAISY fixes six activity categories for reporting AI use but does not set constructs or preserve perspective disagreement in a substantive study.,C030_P1,,Upgraded to high; category design is for disclosure scaffolding not construct adjudication.
30,Corpus pluralist,starting_role,no,not_applicable,high,No treatment of corpus breadth or machine-legible corpus collapse; the study is a user study of a disclosure form.,C030_P1,,Upgraded to high based on full-text scope check.
30,Protocol and provenance architect,starting_role,yes,robust,high,"DAISY explicitly designs a disclosure workflow with content (R1), presentation (R2), and context-of-use (R3) requirements covering tool names, versions, affected manuscript parts, safeguards, human-review steps, and authorship boundaries.",C030_P1,,"Upgraded to high and status shifted from merge_pressure to robust: paper is a direct, detailed case of humans architecting disclosure/provenance protocol."
30,Counterfactual and transportability judge,starting_role,no,not_applicable,high,Paper does not address whether results travel across populations or settings; scope is author disclosure experience.,C030_P1,,Upgraded to high after full-text scope confirmation.
30,Situated interlocutor / context witness,starting_role,no,not_applicable,high,"Co-design and user study involve interviews, but the paper does not theorise the interviewer's situated presence as changing what data exist in the studied research itself.",C030_P1,,Upgraded to high; method uses interviews but not as the analytic role under study.
30,Accountability and labor allocator,starting_role,yes,robust,high,"DAISY's design explicitly encodes authorship boundaries and affirms that authors retain full responsibility for final content, and the paper frames disclosure as supporting accountability and attribution norms.",C030_P1,,"Upgraded to high and status shifted from merge_pressure to robust: disclosure is framed directly as an accountability-and-attribution allocator, not merely as protocol."
30,Construct boundary setter,split_candidate,no,not_applicable,high,No coding or category-boundary task on a substantive construct; DAISY's six activity categories are disclosure scaffolding.,C030_P1,,Upgraded to high after full-text read.
30,Perspective sampler,split_candidate,no,not_applicable,high,No preservation of subgroup disagreement in coding; disciplinary contrast (HCI vs non-HCI) is reported descriptively but not as a sampling role.,C030_P1,,Upgraded to high; disciplinary differences are findings not a pluralism role.
30,Counterfactual / transportability judge,split_candidate,no,not_applicable,high,No transportability or counterfactual claim is pressured in the paper.,C030_P1,,Upgraded to high after full-text read.
30,Calibration architect,split_candidate,no,not_applicable,high,No benchmarking or simulator-calibration work; the user study measures completeness of disclosures not model calibration.,C030_P1,,Upgraded to high after full-text read.
30,Situated interlocutor,split_candidate,no,not_applicable,high,Co-design sessions and surveys are used as method but not analysed as a situated-interlocutor role shaping what respondents disclose.,C030_P1,,Upgraded to high; method artefact not analytic role in the case.
30,Context witness,split_candidate,no,not_applicable,high,No tacit/archival interpretive work is required to read traces; the study relies on structured self-report.,C030_P1,,Upgraded to high after full-text read.
30,Routine first-pass screener,shrinking_task_cluster,no,not_applicable,high,No title/abstract triage or early ranking task is present; the paper does not delegate screening to AI.,C030_P1,,Upgraded to high after full-text read.
30,"Routine coder on high-consensus, ground-truth-rich tasks",shrinking_task_cluster,no,not_applicable,high,Thematic analysis of co-design transcripts is done inductively by the first author with team discussion; no high-consensus ground-truth coding cluster is delegated.,C030_P1,,Upgraded to high after full-text read.
30,Structural prose polisher / drafter,shrinking_task_cluster,yes,conditional,high,"Paper explicitly treats Writing and drafting and Language editing and proofreading as AI-assisted activities that authors must disclose, and cites survey evidence that over 80% of researchers use such AI assistance.",C030_P1,,"Upgraded to high, status kept conditional: prose polishing is openly acknowledged as shrinkable human work, but the whole paper argues it survives only under disclosure/accountability conditions."
