case_id,role_label,role_group,role_observable_in_case,status_in_case,confidence,evidence_basis_summary,main_supporting_source_ids,main_contrary_source_ids,notes
11,Relevance adjudicator,starting_role,yes,conditional,high,"P1 shows LLM-assisted proposals drift toward recently funded work (lower distinctiveness), and S1 shows LLM ideation lacks diversity and requires human rerank to surface novel ideas, making human judgment about what belongs in a proposal the binding constraint.",C011_P1; C011_S1,,upgraded from low: both sources directly speak to human decisions about which ideas should enter the funding portfolio
11,Mechanism disciplinarian,starting_role,partial,unclear,medium,"S1 notes LLM ideas are rated slightly weaker on feasibility and that reliable evaluation of mechanism/effectiveness still depends on expert reviewers; P1 does not directly code mechanism discipline but documents concentration of NIH gains in non-hit papers, consistent with weaker mechanism pressure when LLMs dominate.",C011_P1; C011_S1,,upgraded from low: S1 feasibility/effectiveness review structure is the main anchor
11,Construct and perspective boundary setter,starting_role,no,not_applicable,medium,Neither source treats construct-definition or socially meaningful disagreement about the construct as the object of study; P1 measures distinctiveness as a portfolio property and S1 standardizes a single ideation template across conditions.,C011_P1; C011_S1,,upgraded from low: sources confirm construct-setting is not the operative role here
11,Corpus pluralist,starting_role,no,not_applicable,medium,Neither source frames the case as humans defending plural corpora; P1 treats NSF/NIH abstracts as the corpus by design and S1 constrains ideation to seven predefined NLP topics drawn from one CFP page.,C011_P1; C011_S1,,upgraded from low: corpus-construction role not invoked in either source
11,Protocol and provenance architect,starting_role,yes,conditional,high,"P1 explicitly cites NIH NOT-OD-25-132 on AI-substantially-developed applications and NSF's disclosure notice, and S1 designs detailed protocol controls (style normalizer, topic matching, blind review, template) - both anchor human design of disclosure and admissible procedure.",C011_P1; C011_S1,,"upgraded from low and from no to yes: direct protocol/disclosure evidence in both sources; status_in_case changed to conditional because the role is visibly active (agency guidance, study protocol) rather than absent"
11,Counterfactual and transportability judge,starting_role,no,not_applicable,medium,"P1's agency-dependent findings (NIH vs NSF) and S1's discussion of topic/style confounders touch on transportability, but neither source positions a human role as the arbiter of whether LLM-aided results travel across settings.",C011_P1; C011_S1,,upgraded from low: sources let us confirm the role is not central
11,Situated interlocutor / context witness,starting_role,no,not_applicable,high,Both sources are textual/archival analyses of proposal and idea abstracts with no fieldwork or interview component; no situated interlocutor is present in the evidence.,C011_P1; C011_S1,,upgraded from low: full text clearly rules this role out
11,Accountability and labor allocator,starting_role,yes,conditional,high,"P1 directly discusses NIH's declaration that AI-substantially-developed applications will not be considered applicants' original work and NSF's investigator-responsibility language, which is exactly the authorship/accountability allocation function.",C011_P1,,upgraded from low: P1's policy paragraph on NIH/NSF guidance is direct evidence
11,Construct boundary setter,split_candidate,no,not_applicable,medium,"Neither source adjudicates category boundaries or codebook rules; S1's review rubric uses predefined criteria (novelty, excitement, feasibility, effectiveness) rather than contesting construct boundaries.",C011_P1; C011_S1,,upgraded from low: split candidate not activated
11,Perspective sampler,split_candidate,no,not_applicable,medium,"Neither source frames preservation of subgroup disagreement as the core role; S1 reports inter-reviewer disagreement and even uses it as a caveat, but does not position humans as pluralism guardians.",C011_P1; C011_S1,,upgraded from low
11,Counterfactual / transportability judge,split_candidate,no,not_applicable,medium,"P1's NSF-vs-NIH contrast is suggestive of transportability pressure, but the human role doing that adjudication is not the object of either source.",C011_P1; C011_S1,,upgraded from low
11,Calibration architect,split_candidate,no,not_applicable,medium,"Neither source centers benchmarking or simulator calibration; P1 uses Liang et al.'s detection method and S1 uses a Swiss-tournament LLM ranker validated against ICLR review scores, but calibration is not the human role at stake.",C011_P1; C011_S1,,upgraded from low
11,Situated interlocutor,split_candidate,no,not_applicable,high,"Both sources are document-level analyses with no interview, fieldwork, or respondent interaction.",C011_P1; C011_S1,,upgraded from low: clearly ruled out by study designs
11,Context witness,split_candidate,no,not_applicable,high,Neither source uses tacit or archival context knowledge to interpret traces; P1 relies on abstract-level embeddings and S1 on standardized idea templates.,C011_P1; C011_S1,,upgraded from low: clearly ruled out by study designs
11,Routine first-pass screener,shrinking_task_cluster,no,not_applicable,medium,"Neither source studies abstract/title triage or study-type classification; P1 analyzes submissions and awards without an AI-screening pipeline, and S1's screener for AI ideas is a human expert reranker, not a shrinking routine.",C011_P1; C011_S1,,upgraded from low
11,"Routine coder on high-consensus, ground-truth-rich tasks",shrinking_task_cluster,no,not_applicable,medium,"Neither source depicts routine coding against ground truth; P1 measures aggregate textual signals, and S1's reviewers apply subjective multi-metric judgments rather than high-consensus labels.",C011_P1; C011_S1,,upgraded from low
11,Structural prose polisher / drafter,shrinking_task_cluster,yes,shrinking,high,"P1's core finding is that LLMs are substantively rewriting proposal prose (bimodal alpha, higher reading complexity, lower distinctiveness), i.e., the drafter/polisher task is measurably being absorbed by AI; S1 additionally uses an LLM style normalizer for all ideas.",C011_P1; C011_S1,,upgraded from low and from no to yes: P1 directly evidences AI take-over of proposal drafting; status_in_case set to shrinking per codebook definition for drafter/polisher task clusters
