case_id,role_label,role_group,role_observable_in_case,status_in_case,confidence,evidence_basis_summary,main_supporting_source_ids,main_contrary_source_ids,notes
20,Relevance adjudicator,starting_role,partial,conditional,medium,"Paper describes human-led random sampling of 232 NYT passages (1970-2023) and author decisions to drop weakly-anchored codes (Public Media, Living Achievement) for lack of robust examples, but relevance adjudication is not the central concern.",C020_P1,,Upgraded from low: sections 1.3 and 1.3.1 show humans deciding what counts as admissible corpus material; changed observable from no to partial.
20,Mechanism disciplinarian,starting_role,no,not_applicable,high,Paper is a categorization/coding methodology study with no causal or mechanism claims; author explicitly frames work as interpretive categorization rather than causal inference.,C020_P1,,Upgraded from low to high; source provides enough detail to confidently rule out mechanism-disciplining work.
20,Construct and perspective boundary setter,starting_role,yes,transformed,high,"Paper's entire argument (sections 1.2.1, 2, 2.2) is that humans must define and redefine code boundaries (e.g. Scholar vs Activist, Academic Repute becoming Out of the Mouth of Academics) before and during LLM adaptation; role persists but is reconfigured toward codebook engineering.",C020_P1,,Upgraded from medium to high; direct and extensive textual evidence.
20,Corpus pluralist,starting_role,no,not_applicable,high,Single-corpus design (NYT 1970-2023) with no pluralist framing; paper does not discuss preserving multiple evidence bases or resisting machine-friendly corpus collapse.,C020_P1,,Upgraded from low to high; source detail is sufficient to rule out.
20,Protocol and provenance architect,starting_role,yes,transformed,high,"Paper is fundamentally about workflow architecture: Fig. 1 hybrid workflow, chain-of-thought prompt design (section 3), OSF data/code release, model version disclosure (section 4.4 gpt-4-1106-preview), and explicit justification of proprietary model choice per Palmer et al.",C020_P1,,Upgraded from medium to high; workflow and reproducibility design is the core contribution.
20,Counterfactual and transportability judge,starting_role,partial,conditional,medium,"Author flags overfitting risk (section 2 train/test split recommendation) and non-transportability across tasks/models (section 4.4: one cannot assume that a model that worked for one task will work equally well for another task), but transportability is secondary concern.",C020_P1,,Upgraded from low to medium; observable changed from no to partial based on sections 2 and 4.4.
20,Situated interlocutor / context witness,starting_role,yes,transformed,high,"Section 2.2 explicitly discusses how human coders' tacit, oral, and collaborative knowledge must be made explicit in the codebook because LLMs lack this interactive and historical context; role persists but is externalized into written prompt text.",C020_P1,,Upgraded from medium to high; section 2.2 is direct evidence.
20,Accountability and labor allocator,starting_role,yes,conditional,high,"Paper repeatedly foregrounds ongoing need for human researchers' interpretive leadership (abstract), human-in-the-loop validation (section 4.3), and explicit accountability-style justification of proprietary model choice following Palmer et al. (section 4.4).",C020_P1,,Upgraded from low to high; observable changed from no to yes based on abstract and sections 4.3-4.4.
20,Construct boundary setter,split_candidate,yes,transformed,high,Sections 1.3.1 and 2.2 document iterative redefinition of code boundaries (Organizations to Coalition Building; Academic Repute to Out of the Mouth of Academics; Social/Political Activism to Advocacy) as the central human labor that survives LLM introduction.,C020_P1,,Upgraded from medium to high; status refined from conditional to transformed because human work is reconfigured toward LLM-oriented code engineering.
20,Perspective sampler,split_candidate,no,not_applicable,high,Gold standard was built by two lead coders resolving disagreements by consensus (section 1.3.1); paper does not preserve subgroup disagreement or representational pluralism.,C020_P1,,Upgraded from low to high; section 1.3.1 is sufficient to rule out.
20,Counterfactual / transportability judge,split_candidate,partial,conditional,medium,Section 4.4 explicitly argues ongoing validation is needed because performance does not transport across model versions (GPT-4o-mini vs GPT-4o on gender classification); section 2 notes overfitting risk across datasets.,C020_P1,,Upgraded from low to medium; observable changed from no to partial.
20,Calibration architect,split_candidate,yes,robust,high,"Paper is methodologically organized around calibration: Cohen's kappa vs Gwet's AC1 vs F1 comparisons (section 2, Table 2), human-human intercoder reliability as gold standard (Table 3), per-code vs full-codebook benchmarking, CoT vs no-CoT comparisons (section 3).",C020_P1,,"Upgraded from low to high; observable changed from no to yes. Calibration is central, not peripheral - strong candidate for a split role in this case."
20,Situated interlocutor,split_candidate,no,not_applicable,high,"No fieldwork, interviewing, or in-person interpretive setting; data are archival NYT text passages.",C020_P1,,Upgraded from low to high; observable changed from partial to no based on corpus design.
20,Context witness,split_candidate,yes,transformed,high,"Section 2.2 directly states human coders draw on tacit context (discussions with fellow coders, and supplementary oral instructions) that must be externalized into LLM prompts; this is the classic context-witness role, reconfigured toward prompt authorship.",C020_P1,,Upgraded from medium to high; section 2.2 is direct evidence.
20,Routine first-pass screener,shrinking_task_cluster,no,not_applicable,high,"No title/abstract triage or early ranking task; paper concerns paragraph-level content coding, not screening.",C020_P1,,Upgraded from low to high; sufficient detail to rule out.
20,"Routine coder on high-consensus, ground-truth-rich tasks",shrinking_task_cluster,yes,shrinking,high,Key empirical finding is that GPT-4 achieves human-equivalent Cohen's kappa on 8 of 9 codes against a human-derived gold standard; section 4.3 recommends a human-in-the-loop tag-for-manual-review workflow where humans shift from primary coders to auditors.,C020_P1,,Upgraded from low to high; observable changed from no to yes. This is the clearest shrinking cluster in the case.
20,Structural prose polisher / drafter,shrinking_task_cluster,no,not_applicable,high,"Paper does not address AI-assisted writing, drafting, or prose revision; focus is content-categorization workflow.",C020_P1,,Upgraded from low to high; sufficient detail to rule out.
