case_id,role_label,role_group,role_observable_in_case,status_in_case,confidence,evidence_basis_summary,main_supporting_source_ids,main_contrary_source_ids,notes
23,Relevance adjudicator,starting_role,no,not_applicable,medium,"Abstract indicates authors curated 276 field experiments from renowned economics literature, implying human selection of the prediction universe but no direct discussion.",C023_P1,,Upgraded low to medium: corpus-construction implied but not elaborated in landing page.
23,Mechanism disciplinarian,starting_role,partial,conditional,medium,"Abstract flags complex social issues (ethnicity, social norms, ethical dilemmas) as hurting prediction accuracy, indirectly implying human mechanism judgment still disciplines where LLM forecasts apply.",C023_P1,,Upgraded low to medium: domain-limit language supports conditional status indirectly.
23,Construct and perspective boundary setter,starting_role,no,not_applicable,medium,Abstract names substantive domains where prediction fails but does not treat construct-boundary work as the human contribution of interest.,C023_P1,,Upgraded low to medium: absence supported by scope of landing page.
23,Corpus pluralist,starting_role,no,not_applicable,medium,Abstract confirms corpus is drawn from economics field experiments only with no pluralism argument.,C023_P1,,Upgraded low to medium: scope of corpus is directly stated.
23,Protocol and provenance architect,starting_role,no,not_applicable,low,"Landing-page abstract describes an automated framework but gives no detail on workflow design,  logging,  or disclosure protocol.",C023_P1,,Kept low: full text not stored; cannot adjudicate.
23,Counterfactual and transportability judge,starting_role,yes,robust,high,"Paper is explicitly about whether LLM simulations can travel to real field-experiment outcomes across 276 studies, and identifies domains where transportability breaks down.",C023_P1,,Upgraded low to high: role is the direct subject of the abstract.
23,Situated interlocutor / context witness,starting_role,no,not_applicable,medium,Abstract frames the work as prediction from LLMs rather than fieldwork presence; no interviewer or field witness role is invoked.,C023_P1,,Upgraded low to medium: absence supported by stated design.
23,Accountability and labor allocator,starting_role,partial,conditional,low,Abstract lists authors and preprint status but does not address authorship division or accountability for forecast errors.,C023_P1,,Kept low: no direct treatment in stored source.
23,Construct boundary setter,split_candidate,no,not_applicable,medium,"Abstract identifies ethnicity, norms, and ethical dilemmas as hard domains but does not pose construct-boundary codebook work as a split role.",C023_P1,,Upgraded low to medium: domain-limit cue is indirect.
23,Perspective sampler,split_candidate,no,not_applicable,medium,"Bimodal and highly skewed outcome distributions are noted, hinting at subgroup divergence, but representational pluralism is not posed as a role.",C023_P1,,Upgraded low to medium: distributional abnormality noted in passing.
23,Counterfactual / transportability judge,split_candidate,partial,unclear,high,"Abstract's central claim is about predicting field-experiment outcomes across 276 studies and identifying where that transport fails, making this the load-bearing human judgment.",C023_P1,,Upgraded low to high: split role is the direct subject of the paper.
23,Calibration architect,split_candidate,partial,unclear,high,"Abstract reports a 78% accuracy benchmark against real experimental outcomes and analyzes abnormal output distributions, which is calibration work against an external reference.",C023_P1,,Upgraded low to high: benchmarking against ground-truth outcomes is explicit.
23,Situated interlocutor,split_candidate,no,not_applicable,medium,Prediction framework runs on LLMs without human field interaction in the stored description.,C023_P1,,Upgraded low to medium: absence supported by scope.
23,Context witness,split_candidate,no,not_applicable,medium,Abstract does not invoke tacit or archival context interpretation; domain-hardness is noted but not framed as a context-witness role.,C023_P1,,Upgraded low to medium: absence supported by scope.
23,Routine first-pass screener,shrinking_task_cluster,no,not_applicable,low,Landing-page abstract does not discuss screening or triage tasks.,C023_P1,,Kept low: not adjudicable from stored source.
23,"Routine coder on high-consensus, ground-truth-rich tasks",shrinking_task_cluster,no,not_applicable,low,"Abstract reports prediction against outcomes rather than coding tasks, and does not discuss shifting coders to auditors.",C023_P1,,Kept low: not adjudicable from stored source.
23,Structural prose polisher / drafter,shrinking_task_cluster,no,not_applicable,low,Abstract does not discuss prose drafting or revision.,C023_P1,,Kept low: not adjudicable from stored source.
