case_id,role_label,role_group,role_observable_in_case,status_in_case,confidence,evidence_basis_summary,main_supporting_source_ids,main_contrary_source_ids,notes
25,Relevance adjudicator,starting_role,yes,conditional,high,"Humans set hard admissibility rules (real data only, simulated-data papers auto-rejected, public-API-only scope) that the agent must obey, per methodology page.",C025_S1,,Upgrade: methodology page explicitly names human-set admissibility rules; upgraded from unclear to conditional because rule-setting persists but execution is delegated.
25,Mechanism disciplinarian,starting_role,yes,conditional,high,"Human-designed judge rubric penalizes weak identification, failed placebos, and violated assumptions, and code-scanning flags fabricated results - causal-logic gatekeeping is encoded by humans but enforced by models.",C025_P1; C025_S1,,"Upgrade: methodology explicitly lists identification/placebo/robustness as what the rubric rewards and penalizes; role is visible and conditional, not unclear."
25,Construct and perspective boundary setter,starting_role,no,not_applicable,high,"Sources concern econometric paper quality in a tournament, not construct definition or perspective pluralism; role has no purchase here.",C025_P1; C025_S1,,Upgrade to high: enough detail in both sources to confidently say not applicable.
25,Corpus pluralist,starting_role,no,not_applicable,high,APE restricts itself to public-API quantitative data with no debate over corpus coverage or machine-friendliness bias; role does not arise.,C025_S1,,Upgrade to high: methodology's Real Data Only / public APIs principle makes non-applicability definitive.
25,Protocol and provenance architect,starting_role,yes,robust,high,"Humans designed the tournament, position-swapping, TrueSkill, six-stage review, integrity checks, git-commit audit trail, file locking, and full open-source release of code/data/papers.",C025_P1; C025_S1,,Upgrade to high/robust: methodology and leaderboard page document the entire human-built protocol scaffold in detail.
25,Counterfactual and transportability judge,starting_role,yes,conditional,high,"Humans flag that tournament ranking is an internal quality proxy, not peer review or policy-grade evidence - explicit warnings block transport of results to policy use.",C025_P1; C025_S1,,"Upgrade to high: repeated caveats (should not be used for evidence-based policy making, noisy and potentially biased signal, not ground truth) directly concern transportability."
25,Situated interlocutor / context witness,starting_role,no,not_applicable,high,"No fieldwork, interviews, or tacit-context interpretation appears; APE is a fully computational pipeline over public data.",C025_P1; C025_S1,,Upgrade to high: both sources describe an end-to-end computational workflow with no situated human interaction.
25,Accountability and labor allocator,starting_role,yes,robust,high,"Human team issues explicit warnings that none of the papers are peer-reviewed and must not inform policy, opens a public feedback channel, and retains responsibility for the project at Social Catalyst Lab / University of Zurich.",C025_P1; C025_S1,,Upgrade to high/robust: leaderboard banner and warnings assign responsibility and restrict permissible use.
25,Construct boundary setter,split_candidate,no,not_applicable,high,"Tournament is about paper quality, not category definition or codebook rules; split has no traction in this case.",C025_P1; C025_S1,,Upgrade to high based on scope of sources.
25,Perspective sampler,split_candidate,no,not_applicable,high,No subgroup disagreement or representational pluralism task is present; irrelevant to an econometric-paper tournament.,C025_P1; C025_S1,,Upgrade to high based on scope of sources.
25,Counterfactual / transportability judge,split_candidate,yes,conditional,high,"Humans use public disclaimers to block transport from tournament rank to peer-review or policy validity, making the split-candidate role visible and load-bearing.",C025_P1; C025_S1,,"Upgrade from partial/unclear to yes/conditional: explicit disclaimers block cross-context use, and treated as pressure test per codebook."
25,Calibration architect,split_candidate,yes,robust,high,"Judge calibration against peer-reviewed human benchmarks, position-swapping, TrueSkill conservative ratings, integrity checks, and non-Anthropic judge choice to avoid self-preference bias - entire case turns on calibration architecture.",C025_P1; C025_S1,,Upgrade to high/robust: methodology page is largely a calibration-architecture document; strongest role in the case.
25,Situated interlocutor,split_candidate,no,not_applicable,high,No interviewer or fieldworker; interaction is entirely agent-judge-benchmark.,C025_P1; C025_S1,,Upgrade to high based on scope of sources.
25,Context witness,split_candidate,no,not_applicable,high,"No archival, tacit, or contextual interpretation task appears.",C025_P1; C025_S1,,Upgrade to high based on scope of sources.
25,Routine first-pass screener,shrinking_task_cluster,yes,shrinking,medium,Four advisor models screen for fatal errors (3-of-4 pass rule) and three parallel referee models triage papers before tournament - first-pass screening is delegated to AI ensembles.,C025_S1,,"Upgrade to yes/shrinking: methodology describes multi-model triage stages, though human oversight via feedback remains; keep medium given codebook directive to treat live project as pressure test."
25,"Routine coder on high-consensus, ground-truth-rich tasks",shrinking_task_cluster,partial,shrinking,medium,Pairwise paper judging against peer-reviewed AER/AEJ benchmarks is executed by Gemini 3.1 Flash Lite acting as senior editor - a routine-coder-style task anchored to externally published ground truth.,C025_P1; C025_S1,,Upgrade from no/not_applicable to partial/shrinking: tournament judging is a ground-truth-anchored coding task now delegated to LLM judge; confidence held at medium per live-project caveat.
25,Structural prose polisher / drafter,shrinking_task_cluster,yes,shrinking,high,Claude Code drafts LaTeX papers end-to-end and a dedicated iterative Prose review stage handles writing-quality feedback - drafting and polishing are fully AI-owned.,C025_P1; C025_S1,,Upgrade from no/not_applicable to yes/shrinking: methodology explicitly lists drafting LaTeX and a mandatory iterative prose-review stage.
