case_id,role_label,role_group,role_observable_in_case,status_in_case,confidence,evidence_basis_summary,main_supporting_source_ids,main_contrary_source_ids,notes
7,Relevance adjudicator,starting_role,partial,unclear,high,"Conclusions propose LLMs as first-screener/triage with humans deciding final inclusion in parallel or in series, and advocate a third-human tie-break; human reviewers retain ground-truth authority for what belongs in the review.",C007_P1,,upgraded from low: Discussion/Conclusions explicitly describe human reviewers as the final relevance-decision authority over LLM outputs
7,Mechanism disciplinarian,starting_role,no,not_applicable,high,Source concerns title/abstract classification accuracy; no causal-mechanism adjudication task is present in the workflow.,C007_P1,,upgraded from low: scope of paper makes not_applicable directly defensible
7,Construct and perspective boundary setter,starting_role,no,not_applicable,high,Inclusion criteria are predefined by prior reviewers and embedded as a fixed prompt; no live perspective-pluralism task is described.,C007_P1,,upgraded from low: Methods section confirms criteria are inherited and static
7,Corpus pluralist,starting_role,yes,conditional,high,"Authors stress sensitivity-over-precision so relevant studies are not lost, recommend in parallel human+LLM inclusion to rescue studies the human missed, and note LLM precision is low; corpus-preserving work remains human-shaped.",C007_P1,,evidence_basis_summary upgraded with direct Conclusions quotation; gray-literature rescue not explicitly discussed in source
7,Protocol and provenance architect,starting_role,yes,conditional,high,"Paper follows TRIPOD+LLM reporting, posts data/code on OSF, flags that proprietary-model opacity and deprecation can severely hinder reproducibility, and calls for Cochrane validation - protocol and provenance work is foregrounded.",C007_P1,,evidence_basis_summary upgraded: explicit reproducibility and validation framing
7,Counterfactual and transportability judge,starting_role,no,not_applicable,high,"Authors flag that three reviews do not fully represent the spectrum of available literature and call for prospective validation, but no counterfactual/transportability adjudication role is performed in the case.",C007_P1,,upgraded from low: limitations section makes not_applicable defensible
7,Situated interlocutor / context witness,starting_role,no,not_applicable,high,Title/abstract screening is a desk task with no field interaction; role is structurally absent.,C007_P1,,upgraded from low: workflow description confirms not_applicable
7,Accountability and labor allocator,starting_role,partial,unclear,medium,"Detailed author-contribution statement assigns data curation, methodology, and supervision roles, and Discussion defers final sign-off to human reviewers, but AI-specific accountability allocation is only implied.",C007_P1,,upgraded from low: author-contribution statement plus human-in-the-loop framing provide indirect evidence; kept observable as partial pending clearer AI-accountability discussion
7,Construct boundary setter,split_candidate,no,not_applicable,high,No construct-definition or codebook-rule work is performed; inclusion criteria are inherited fixed rules.,C007_P1,,upgraded from low: Methods confirm criteria are static
7,Perspective sampler,split_candidate,no,not_applicable,high,No subgroup-disagreement or representational-pluralism task in screening design.,C007_P1,,upgraded from low
7,Counterfactual / transportability judge,split_candidate,partial,unclear,medium,"Generalisability caveats about review selection and knowledge-cutoff contamination are raised, but no transportability adjudication is performed within the case.",C007_P1,,upgraded from low: limitations section flags transportability concerns without activating the role
7,Calibration architect,split_candidate,yes,conditional,high,"Authors design predefined 25/50/75 rating thresholds, majority-voting ensembles, ROC/Closest-Top-Left optimal thresholds, and benchmark against author-labelled title/abstract and full-text references - explicit calibration-architecture work.",C007_P1,,upgraded from low and status/observable strengthened: threshold design and benchmarking against reviewer labels are clearly human calibration work
7,Situated interlocutor,split_candidate,no,not_applicable,high,Desk screening task with no interviewer/fieldworker component.,C007_P1,,upgraded from low
7,Context witness,split_candidate,no,not_applicable,high,No archival/tacit-knowledge interpretation task in the workflow.,C007_P1,,upgraded from low
7,Routine first-pass screener,shrinking_task_cluster,yes,shrinking,high,Conclusions explicitly cast LLMs as a first-screener or triage tool with workload savings up to ~90% and sensitivity up to 100%; the abstract-screening cluster is clearly shrinking.,C007_P1,,evidence_basis_summary upgraded with direct Conclusions quotation
7,"Routine coder on high-consensus, ground-truth-rich tasks",shrinking_task_cluster,partial,shrinking,medium,"Screening is treated as a high-consensus classification task benchmarked against reviewer labels as ground truth, and authors note 99% NPV suggests reliable exclusion - task has ground-truth-rich character, but coding proper (beyond screening) is not the focus.",C007_P1,,upgraded from low and observable flipped to partial: framing as benchmarking against ground-truth labels supports partial applicability
7,Structural prose polisher / drafter,shrinking_task_cluster,no,not_applicable,high,No drafting or prose-polishing task in the screening workflow.,C007_P1,,upgraded from low
