case_id,role_label,role_group,role_observable_in_case,status_in_case,confidence,evidence_basis_summary,main_supporting_source_ids,main_contrary_source_ids,notes
21,Relevance adjudicator,starting_role,no,not_applicable,high,Both sources fix the evidence universe a priori (ANES 2016/2020 waves in P1; 210 TESS studies in S1); no human adjudication of inclusion is described or contested.,C021_P1; C021_S1,,Upgraded: full-text confirms benchmark sets are prefixed by design; not applicable is defensible from direct reading.
21,Mechanism disciplinarian,starting_role,partial,split_pressure,medium,"P1 constrains acceptable causal/regression interpretation of LLM outputs (48% of coefficients differ, sign flips 32%) and warns against inferring mechanisms; S1 finetuning focuses on prediction not mechanism.",C021_P1; C021_S1,,Upgraded from low to medium: P1 Section 2.2 provides indirect but clear pressure on mechanism claims from synthetic data.
21,Construct and perspective boundary setter,starting_role,no,not_applicable,medium,Feeling-thermometer construct and target-group list are inherited from ANES instrument (P1); S1 inherits TESS outcome scales; humans do not renegotiate construct boundaries in either case.,C021_P1; C021_S1,,Upgraded: direct text shows constructs are borrowed from external instruments rather than set by the research team.
21,Corpus pluralist,starting_role,no,not_applicable,medium,Evidence base is a single canonical survey (ANES) in P1 and a single repository (TESS) in S1; neither case foregrounds corpus pluralism.,C021_P1; C021_S1,,Upgraded: sources are explicit about relying on one canonical benchmark each.
21,Protocol and provenance architect,starting_role,partial,split_pressure,high,"P1 Discussion explicitly calls for preregistering prompts, archiving historical LLMs, and new reproducibility standards after documenting April/June/July drift and prompt sensitivity; SI details prompt-versioning workflow.",C021_P1; C021_S1,,Upgraded from low to high: reproducibility/provenance work is a central contribution of P1 (Section 3.2 and Discussion).
21,Counterfactual and transportability judge,starting_role,yes,split_pressure,high,"P1 SI Sections 12-13 and Discussion directly assess whether prompting practices generalize to other surveys/countries and conclude transportability is poor; S1 evaluates generalization to unseen studies, conditions, outcomes, participants.",C021_P1; C021_S1,,Evidence directly concerns this role in both sources.
21,Situated interlocutor / context witness,starting_role,no,not_applicable,high,Both studies are API-mediated persona simulations with no fieldwork or interview presence; the absence of situated interaction is itself the object of critique in P1.,C021_P1; C021_S1,,Upgraded: not applicable is directly adjudicable from the methods.
21,Accountability and labor allocator,starting_role,partial,split_pressure,medium,P1 Discussion raises ethics of replacing human respondents with synthetic ones and flags unknown-assumption accountability gaps; author-contribution statement assigns task-level responsibility.,C021_P1,,Upgraded: P1's closing ethics paragraph gives indirect but explicit pressure on who is answerable for synthetic-opinion outputs.
21,Construct boundary setter,split_candidate,no,not_applicable,medium,Neither source contests category definitions; feeling-thermometer groups and TESS outcomes are taken as given.,C021_P1; C021_S1,,Upgraded: construct boundaries are inherited rather than set.
21,Perspective sampler,split_candidate,partial,split_pressure,medium,P1 shows synthetic data flatten subgroup variance and exaggerate out-group antipathy among Democrats/Republicans; S1 measures demographic parity difference and reports 10.6% bias reduction via finetuning.,C021_P1; C021_S1,,Upgraded from no/low to partial/medium: preserving subgroup disagreement is explicitly at stake (Figures 1-2 in P1; section 5.6 in S1). Observability changed to partial.
21,Counterfactual / transportability judge,split_candidate,yes,split_pressure,high,"P1 SI 12-13 documents degraded performance in non-ANES and non-US contexts; S1 sections 5.3-5.5 formalizes generalization to unseen studies, conditions, outcomes, and participants.",C021_P1; C021_S1,,Upgraded from low to high: both sources directly operationalize transportability tests.
21,Calibration architect,split_candidate,yes,robust,high,P1 benchmarks ChatGPT means/variances/regression coefficients against ANES as reference distribution; S1 explicitly frames the task as distributional alignment via Wasserstein distance with Empirical-Best and Uniform-Guess bounds.,C021_P1; C021_S1,,Core role for this case; evidence directly on point in both sources.
21,Situated interlocutor,split_candidate,no,not_applicable,high,No interviewer or fieldworker is present; both studies operate via API-prompted personas rather than live interaction.,C021_P1; C021_S1,,Upgraded: methods sections make the absence explicit.
21,Context witness,split_candidate,no,not_applicable,high,No archival or tacit contextual interpretation is performed; synthetic outputs are scored against numeric survey benchmarks.,C021_P1; C021_S1,,Upgraded: directly adjudicable from methods.
21,Routine first-pass screener,shrinking_task_cluster,no,not_applicable,high,"Neither case involves title/abstract triage or study screening; S1's agent parses TESS data into a uniform format but this is data reconstruction, not screening.",C021_P1; C021_S1,,Upgraded: task type is absent from both workflows.
21,"Routine coder on high-consensus, ground-truth-rich tasks",shrinking_task_cluster,partial,split_pressure,medium,"S1 reframes finetuned LLMs as auditable predictors of individual responses with ground-truth TESS labels (accuracy + Wasserstein); P1 shows that without ground truth, routine delegation is unsafe.",C021_P1; C021_S1,,"Upgraded from no/low to partial/medium: S1's SOCRATES finetuning is a clear instance of routinizable prediction on ground-truth-rich survey data, while P1 is the contrary case warning against premature delegation. Observability changed to partial."
21,Structural prose polisher / drafter,shrinking_task_cluster,no,not_applicable,high,"Neither case concerns sentence-level drafting or prose revision; the LLM is queried for numeric feeling-thermometer or ordinal survey responses, not prose output.",C021_P1; C021_S1,,Upgraded: adjudicable directly from the elicitation format.
