case_id,role_label,role_group,role_observable_in_case,status_in_case,confidence,evidence_basis_summary,main_supporting_source_ids,main_contrary_source_ids,notes
36,Relevance adjudicator,starting_role,yes,robust,medium,"C036_P1 reports a final rule-based manual check after two automated Claude passes filter 6544 papers down to 276, showing humans retain final inclusion authority.",C036_P1,,Upgraded from low: P1 Section 3 and 4.4 describe human manual screenings that adjudicate inclusion; changed observable from no to yes and status from not_applicable to robust.
36,Mechanism disciplinarian,starting_role,partial,conditional,medium,"C036_P1 constrains causal interpretation through a topic-sentiment OLS regression and explicitly flags ethnicity, social norms, and ethical dilemmas as mechanisms where LLM predictions fail.",C036_P1,,Upgraded from low: P1 Sections 5.3 and 6 discipline mechanism claims about when LLM predictions are admissible; changed observable from no to partial and status from not_applicable to conditional.
36,Construct and perspective boundary setter,starting_role,partial,conditional,medium,"C036_S1 operationalizes constructs via a binary science/non-science recode and gendered use categories, showing modest boundary-setting work on what counts as discipline and purpose.",C036_S1,,Upgraded from low: S1 Materials and Variables section defines construct boundaries; changed observable from no to partial and status from not_applicable to conditional.
36,Corpus pluralist,starting_role,no,not_applicable,medium,"C036_P1 deliberately narrows the corpus to four top economics journals, which indicates the role is absent rather than active in this case.",C036_P1,,"Upgraded from low: P1 Section 3 explicitly scopes to premier economics journals, providing confident grounds for not_applicable."
36,Protocol and provenance architect,starting_role,yes,robust,high,"C036_P1 documents a full provenance protocol: dual-model separation (Claude for extraction, GPT for prediction) to prevent data leakage, three manual robustness screenings, and default API parameters.",C036_P1,,"Upgraded from low: P1 Sections 3, 4.3, and 4.4 directly describe provenance architecture; status upgraded from split_pressure to robust since the protocol holds rather than splits."
36,Counterfactual and transportability judge,starting_role,yes,conditional,high,C036_P1 directly tests transportability by splitting papers by year to probe data memorization and by identifying topic-sentiment conditions under which predictions fail to travel.,C036_P1,,Upgraded from low: P1 Sections 5.2 and 5.3 are the clearest evidence; status refined from split_pressure to conditional since transportability holds only for specific topic-sentiment combinations.
36,Situated interlocutor / context witness,starting_role,yes,robust,high,C036_S1 runs semi-structured interviews with seven doctoral students where the interviewer's presence shapes disclosure of AI-use practices.,C036_S1,,Upgraded from low: S1 Method and Procedure sections describe interviewer-led data generation; changed observable from no to yes and status from not_applicable to robust.
36,Accountability and labor allocator,starting_role,yes,split_pressure,medium,"C036_S1 documents plagiarism, intellectual-property, and authorship concerns from doctoral AI use, while C036_P1 allocates manual-check labor across automated stages.",C036_P1; C036_S1,,Upgraded from low: S1 abstract and introduction flag accountability questions; P1 Section 4.4 allocates audit labor; status retained as split_pressure since accountability pressures pull toward disclosure and authorship simultaneously.
36,Construct boundary setter,split_candidate,partial,conditional,medium,"C036_S1 sets category boundaries for AI-use purposes (literature review, data analysis, proofreading, etc.) and for STEM versus non-STEM discipline.",C036_S1,,Upgraded from low: S1 Tables 2 and 3 show explicit construct boundary definition; changed observable from no to partial and status to conditional.
36,Perspective sampler,split_candidate,yes,robust,medium,"C036_S1 preserves subgroup disagreement by reporting AI-use patterns separately by gender, age, and discipline rather than collapsing to a single codebook.",C036_S1,,Upgraded from low: S1 Results tables preserve gender and discipline breakdowns; changed observable from no to yes and status from not_applicable to robust.
36,Counterfactual / transportability judge,split_candidate,yes,conditional,high,"C036_P1 explicitly tests whether LLM predictions travel across years (memorization) and across social-issue topics, with the 2024 split and topic-sentiment regression as pressure tests.",C036_P1,,Upgraded from low: P1 Sections 5.2 and 5.3 confirm the split-candidate role is active; changed observable from no to yes and status from not_applicable to conditional.
36,Calibration architect,split_candidate,yes,robust,high,"C036_P1 benchmarks prediction against published experimental conclusions, compares GPT-3.5, GPT-4 Turbo, and GPT-4o, tests CoT versus basic prompts, and examines repeat-count stability.",C036_P1,,Upgraded from low: P1 Section 5 and Tables 1-2 are direct benchmarking and calibration evidence; status remains robust.
36,Situated interlocutor,split_candidate,yes,robust,high,"C036_S1 uses a pilot-refined semi-structured interview protocol with seven doctoral students, where interviewer presence shapes what respondents disclose.",C036_S1,,Upgraded from low: S1 Method section details interviewer-driven interaction; changed observable from no to yes and status from not_applicable to robust.
36,Context witness,split_candidate,partial,conditional,medium,C036_S1 relies on reflexive thematic analysis where the researcher brings disciplinary and social context to interpret transcripts.,C036_S1,,Upgraded from low: S1 Thematic analysis section explicitly invokes researcher context; changed observable from no to partial and status from not_applicable to conditional.
36,Routine first-pass screener,shrinking_task_cluster,yes,shrinking,high,"C036_P1 delegates title/abstract and full-paper screening of 6544 candidate papers to Claude in a two-layer verification, leaving only a rule-based manual audit for humans.",C036_P1,,Upgraded from low: P1 Section 3 is textbook first-pass-screener shrinkage; changed observable from no to yes and status from not_applicable to shrinking.
36,"Routine coder on high-consensus, ground-truth-rich tasks",shrinking_task_cluster,yes,shrinking,high,"C036_P1 has Claude extract experiment settings, separate conclusions, and label topic and sentiment components, with humans shifting to auditing via three manual screenings.",C036_P1,,"Upgraded from low: P1 Sections 4.1, 4.4, and 5.3 show coder-to-auditor shift; changed observable from no to yes and status from not_applicable to shrinking."
36,Structural prose polisher / drafter,shrinking_task_cluster,yes,shrinking,high,"C036_S1 reports that 49% of AI-using doctoral students employ the tools for proofreading and 41% for academic writing, the largest use categories observed.",C036_S1,,Upgraded from low: S1 Results and Table 2 directly document prose-polishing delegation; changed observable from no to yes and status from not_applicable to shrinking.
