case_id,role_label,role_group,role_observable_in_case,status_in_case,confidence,evidence_basis_summary,main_supporting_source_ids,main_contrary_source_ids,notes
5,Relevance adjudicator,starting_role,no,not_applicable,medium,"Paper describes purposeful stakeholder sampling criteria (school level, geography, role, student demographics) but the study does not frame this as an AI-contestable relevance decision; no corpus/literature screening is involved.",C005_S1,,Upgraded low to medium: arXiv preprint (C005_S1) makes the sampling logic explicit enough to judge this role as not the analytic pressure point.
5,Mechanism disciplinarian,starting_role,no,not_applicable,high,"Study is a thematic and sentiment coding comparison (GPT-4 vs human vs LDA/VADER); no causal mechanism claims are adjudicated, so this role is confidently not applicable.",C005_S1,,Upgraded low to high: full text confirms the paper is classificatory rather than causal-mechanistic.
5,Construct and perspective boundary setter,starting_role,yes,transformed,high,Three expert coders iteratively built a Resource Equity codebook from grounded reading of 10 interviews and then used it to discipline GPT-4 outputs; humans retain boundary-setting authority while AI does the labeling.,C005_S1,,"Upgraded medium to high: section 5.1 (Codebook Development) directly describes expert-led construct definition around themes such as governance, anti-racism, data access."
5,Corpus pluralist,starting_role,yes,conditional,medium,"Authors deliberately retain LDA, lexical VADER, GPT-4, and human coding side by side rather than collapsing onto one machine-friendly pipeline, but the corpus itself is a single WA interview set.",C005_S1,,Upgraded low to medium and flipped observable to yes: multi-method triangulation in sections 2.2 and 5 preserves methodological pluralism even though corpus pluralism across sources is limited.
5,Protocol and provenance architect,starting_role,yes,transformed,high,"Paper documents an explicit workflow (Fig. 2), iterative prompt design and evaluation, LDA validation rubrics in Appendix A.2, and cross-validation steps; humans architect the admissible procedure around GPT-4.",C005_S1,,Upgraded medium to high: methods section and workflow diagram make the protocol/provenance work directly visible.
5,Counterfactual and transportability judge,starting_role,partial,conditional,medium,"Authors flag that Cohen's kappa drops sharply on data unseen by GPT during training and that domain specificity limits generalization, signalling a transportability concern even though the study stays within one state corpus.",C005_S1,,Upgraded low to medium and flipped observable to partial: related-work discussion of Dai et al. (Cohen's kappa dropping to 0.34 on unseen data) explicitly surfaces transportability risk.
5,Situated interlocutor / context witness,starting_role,yes,robust,high,Human interviewers conducted 24 semi-structured Zoom interviews with policy stakeholders and research assistants manually corrected transcripts; situated human presence is what generates the data and cleans the tacit features GPT-4 cannot recover.,C005_S1,,Upgraded medium to high: sections 4.1 and 4.2 give direct evidence of interviewer and transcript-cleaning work.
5,Accountability and labor allocator,starting_role,partial,conditional,medium,"Authors frame GPT-4 as an adjunct to human experts in high-stake, context-dependent policy decisions and caution against black-box deployment, but authorship, disclosure, and responsibility allocation are not the paper's central focus.",C005_S1,,Upgraded low to medium and flipped observable to partial: introduction and section 2.1 invoke accountability/bias concerns without making this the analytical crux.
5,Construct boundary setter,split_candidate,yes,robust,high,"Expert coders define and stabilize theme boundaries (e.g., governance, anti-racism, data accessibility) in the Resource Equity codebook before GPT-4 is allowed to apply them.",C005_S1,,Upgraded medium to high: direct evidence in section 5.1.1 of expert-driven category definition.
5,Perspective sampler,split_candidate,yes,conditional,medium,"Purposeful sampling across race/ethnicity, SES, geography, and professional role preserves subgroup heterogeneity, and findings report theme prominence varying by stakeholder job role.",C005_S1,,Upgraded low to medium and flipped observable from partial to yes: section 4.1 sampling design and results tying themes to job roles provide concrete evidence.
5,Counterfactual / transportability judge,split_candidate,partial,unclear,medium,"Paper references prior work showing large kappa drops on unseen data and warns against over-generalizing GPT-4 coding to new domains, but does not itself run a transportability test.",C005_S1,,Upgraded low to medium and flipped observable to partial: transportability is discussed as caveat rather than tested.
5,Calibration architect,split_candidate,partial,conditional,medium,"Authors iteratively tune prompts and benchmark GPT-4 against human expert coding and VADER/LDA reference distributions, matching a calibration-architect pattern at the prompt-evaluation stage.",C005_S1,,"Upgraded low to medium and flipped observable to partial: prompt iteration and benchmarking in abstract and method sections behave like calibration work, though not framed as simulator calibration."
5,Situated interlocutor,split_candidate,yes,robust,high,"Human interviewers conducted Zoom interviews with diverse policy stakeholders, shaping what respondents disclosed and how the interaction unfolded.",C005_S1,,Upgraded low to high and flipped observable to yes: section 4.1 directly documents the interviewer role.
5,Context witness,split_candidate,yes,robust,high,"Research assistants meticulously listened to audio to correct transcripts and paragraph boundaries, supplying tacit contextual judgement that GPT-4 could not provide.",C005_S1,,Upgraded medium to high: section 4.2 provides direct evidence of context-witness work on transcripts.
5,Routine first-pass screener,shrinking_task_cluster,no,not_applicable,high,Study involves no title/abstract triage or coarse study-type classification; it codes interview paragraphs against an expert codebook.,C005_S1,,Upgraded low to high: full text confirms this role is simply not part of the workflow.
5,"Routine coder on high-consensus, ground-truth-rich tasks",shrinking_task_cluster,yes,shrinking,high,GPT-4 matches human coding at 77.89% for specific themes and 96.02% for broader themes and aligns well on sentiment; humans plausibly shift from primary line-level coders toward auditors of machine labels within the expert codebook.,C005_S1,,Upgraded low to high and status from conditional to shrinking: reported congruence figures in the abstract and MRQ1 results directly evidence the shrink toward auditing on consensus-rich coding.
5,Structural prose polisher / drafter,shrinking_task_cluster,no,not_applicable,high,"GPT-4 is used for thematic and sentiment coding of interview text, not for drafting or polishing the research paper's prose.",C005_S1,,Upgraded low to high: no evidence in the paper of AI-assisted prose drafting.
