case_id,role_label,role_group,role_observable_in_case,status_in_case,confidence,evidence_basis_summary,main_supporting_source_ids,main_contrary_source_ids,notes
18,Relevance adjudicator,starting_role,no,not_applicable,high,Both sources focus on delegation within a pre-existing interview corpus; no discussion of scope/inclusion adjudication for the analysis universe.,C018_P1; C018_S1,,Upgraded low to high: sources provide enough detail to confidently rule this role out.
18,Mechanism disciplinarian,starting_role,no,not_applicable,high,"Neither paper pressures causal inference or mechanism claims; focus is interpretive QDA coding, not causal model discipline.",C018_P1; C018_S1,,Upgraded low to high: scope of sources clearly excludes causal/mechanism work.
18,Construct and perspective boundary setter,starting_role,partial,split_pressure,high,"C018_P1 shows participants guard interpretive authority over codes/themes and C018_S1 documents epistemic negotiation and IRR concerns, directly pressuring construct and perspective boundaries.",C018_P1; C018_S1,,"Upgraded low to high: multiple direct passages on codebook ownership, subjective interpretation, and inter-rater reliability."
18,Corpus pluralist,starting_role,no,not_applicable,medium,"Sources mention multimodal data (audio, video, non-verbal cues) as underused but do not frame corpus diversity as a human-guarded role; indirect relevance only.",C018_P1; C018_S1,,Upgraded low to medium: multimodal discussion in C018_P1 touches corpus breadth in passing but does not adjudicate the role.
18,Protocol and provenance architect,starting_role,yes,split_pressure,high,"C018_S1 explicitly calls for frameworks, responsible integration, version/tool standards and IRR reporting; C018_P1 foregrounds workflow design, authorship distinction, and data confidentiality protocols.",C018_P1; C018_S1,,Upgraded low to high: both papers design/advocate explicit QDA workflow and disclosure architectures.
18,Counterfactual and transportability judge,starting_role,no,not_applicable,high,Neither source concerns transporting simulated/forecast results across settings; scope is in-project coding delegation.,C018_P1; C018_S1,,Upgraded low to high: out of scope confirmed by full-text review.
18,Situated interlocutor / context witness,starting_role,yes,split_pressure,high,C018_P1 repeatedly stresses AI's lack of contextual understanding and the interpretive value of tone/non-verbal cues; C018_S1 highlights context-sensitive work and missed subtle judgments by LLMs.,C018_P1; C018_S1,,Upgraded low to high: context/interpretation is a central theme across both sources.
18,Accountability and labor allocator,starting_role,yes,split_pressure,high,"C018_P1 centers ownership, authorship distinction, and professional identity; C018_S1 discusses researcher autonomy, approval gates, and responsible deployment.",C018_P1; C018_S1,,Upgraded low to high: ownership/authorship/autonomy explicit contribution of both papers.
18,Construct boundary setter,split_candidate,partial,split_pressure,high,C018_P1 shows participants insist on human-led code/theme definition; C018_S1 describes codebook development and deductive/inductive boundary setting as a retained human task.,C018_P1; C018_S1,,Upgraded low to high: codebook/category-boundary work explicitly discussed.
18,Perspective sampler,split_candidate,partial,split_pressure,medium,C018_S1 flags AI risks of privileging dominant perspectives and missing Global South/minority framings; C018_P1 surfaces shallow agreement risk where researchers converge on AI suggestions. Indirect support for preserving disagreement.,C018_P1; C018_S1,,Upgraded low to medium and observable no to partial: both papers raise subgroup/perspective-preservation concerns without framing it as a formal role. See notes for status change rationale.
18,Counterfactual / transportability judge,split_candidate,no,not_applicable,high,Sources do not address transporting results across populations or design counterfactuals; scope is workflow delegation.,C018_P1; C018_S1,,Upgraded low to high: out of scope confirmed.
18,Calibration architect,split_candidate,no,not_applicable,medium,"C018_P1 references trust-calibration literature (Ma et al.) and uses non-LLM models (BERTopic/Word2Vec) for transparency, but this is benchmarking of trust not simulator calibration.",C018_P1,,Upgraded low to medium: partial/tangential relevance noted but not a core role in either paper.
18,Situated interlocutor,split_candidate,partial,split_pressure,medium,C018_P1 notes AI's limits in interpretive interview settings and the value of researcher presence; data collection is adjacent but not the primary focus of either paper.,C018_P1; C018_S1,,Upgraded low to medium: interviewer-in-field role implied but not directly studied.
18,Context witness,split_candidate,yes,robust,high,C018_P1 repeatedly reports researchers defending contextual/tacit interpretation of transcripts; C018_S1 documents that LLMs miss subtle contextual judgments and that context-sensitivity is central.,C018_P1; C018_S1,,"Upgraded low to high: direct, repeated textual evidence for context-witness function."
18,Routine first-pass screener,shrinking_task_cluster,no,not_applicable,medium,"C018_S1 identifies AI potential in data pre-processing and onboarding and C018_P1 notes AI automating repetitive tasks, but neither studies first-pass abstract/title screening per se.",C018_P1; C018_S1,,Upgraded low to medium: adjacent shrinkable tasks discussed but not the screener role exactly.
18,"Routine coder on high-consensus, ground-truth-rich tasks",shrinking_task_cluster,no,not_applicable,high,Both papers emphasize QDA lacks external ground truth and participants reject AI as primary coder; routine high-consensus coding is explicitly not the QDA setting.,C018_P1; C018_S1,,Upgraded low to high: sources directly argue this role is not applicable to interpretive QDA.
18,Structural prose polisher / drafter,shrinking_task_cluster,no,not_applicable,medium,C018_S1 mentions AI use for writing and summarization in adjacent research tasks; C018_P1 restricts AI to coding assistance and does not examine drafting.,C018_P1; C018_S1,,"Upgraded low to medium: peripheral mention only, not the study focus."
