case_id,role_label,role_group,role_observable_in_case,status_in_case,confidence,evidence_basis_summary,main_supporting_source_ids,main_contrary_source_ids,notes
6,Relevance adjudicator,starting_role,no,not_applicable,medium,"C006_P1 Methods describe reusing an existing transcript set, selecting only provider interviews and excluding minority women under IRB amendment Pro00115169, but relevance adjudication is not a central analytic role.",C006_P1,,upgraded low to medium: full text confirms inclusion/exclusion decisions were made but are peripheral to the coding question
6,Mechanism disciplinarian,starting_role,no,not_applicable,high,C006_P1 is an inductive thematic-analysis study with no causal-mechanism claims; the workflow never adjudicates mechanism validity.,C006_P1,,upgraded low to high: direct full-text reading confirms role is clearly not applicable
6,Construct and perspective boundary setter,starting_role,yes,robust,high,"C006_P1 shows two domain experts independently generated codes, discussed disagreements, and finalized codes, and humans supplied maternal-health terminology (PTSD, Psych, Anxiety, Anger) that ChatGPT lacked.",C006_P1,,upgraded medium to high and status conditional to robust: full text gives explicit construct-boundary work by humans
6,Corpus pluralist,starting_role,no,not_applicable,high,C006_P1 uses a single provider-interview corpus and explicitly excludes minority-women transcripts; no multi-corpus pluralism is at stake.,C006_P1,,upgraded low to high: full text confirms single-corpus design
6,Protocol and provenance architect,starting_role,yes,robust,high,"C006_P1 documents IRB amendment #Pro00115169, deidentification protocol, CSV reformatting, dialogue-ID assignment, and ~5 hours of human setup for prompt and pipeline design.",C006_P1,,"upgraded partial/unclear/low to yes/robust/high: Methods section gives direct evidence of workflow, IRB, and prompt-architecture work"
6,Counterfactual and transportability judge,starting_role,yes,conditional,high,"C006_P1 Limitations explicitly discuss transferability of findings to other interview formats, geographies, and analytical paradigms, and flag domain-specific training as a transport condition.",C006_P1,,upgraded no/not_applicable/low to yes/conditional/high: Discussion and Limitations directly raise transport conditions
6,Situated interlocutor / context witness,starting_role,yes,robust,high,"C006_P1 Methods describe semi-structured interviews conducted by trained interviewers in South Carolina with maternity providers, and humans supply domain context (PTSD recognition, maternal terminology) ChatGPT cannot.",C006_P1,,upgraded medium to high and conditional to robust: full text confirms both field presence and context-witness role
6,Accountability and labor allocator,starting_role,partial,conditional,medium,"C006_P1 repeatedly asserts domain experts must review GenAI outputs and notes IRB/privacy responsibilities, but does not discuss authorship, disclosure conventions, or formal labor allocation.",C006_P1,,"upgraded no/not_applicable/low to partial/conditional/medium: accountability is invoked in Discussion, though labor-allocation detail is thin"
6,Construct boundary setter,split_candidate,yes,robust,high,"C006_P1 shows two public-health experts developed the coding scheme, resolved disagreements, and corrected overly general AI codes with domain-specific labels like Psych, Anxiety, Anger.",C006_P1,,upgraded medium to high and conditional to robust: Methods and Results give direct evidence of human boundary-setting
6,Perspective sampler,split_candidate,no,not_applicable,high,"C006_P1 explicitly situates the study in a single postpositivist paradigm, excludes minority-women transcripts, and does not preserve subgroup disagreement; pluralism is not pursued.",C006_P1,,upgraded partial/unclear/low to no/not_applicable/high: authors explicitly disclaim pluralist sampling
6,Counterfactual / transportability judge,split_candidate,yes,conditional,high,"C006_P1 Limitations section explicitly questions transferability to other interview formats, geographies, models, and untrained versus domain-trained LLMs.",C006_P1,,upgraded no/not_applicable/low to yes/conditional/high: Limitations directly engage transport conditions
6,Calibration architect,split_candidate,yes,conditional,high,C006_P1 designs a dual evaluation (human accuracy rate at 85.15% and BERT cosine similarity of 0.795) to benchmark ChatGPT against human coders.,C006_P1,,upgraded no/not_applicable/low to yes/conditional/high: Evaluation section is an explicit calibration architecture
6,Situated interlocutor,split_candidate,yes,robust,high,C006_P1 Methods state trained interviewers conducted semi-structured interviews with nine maternity care providers in South Carolina using an 19-question guide.,C006_P1,,upgraded medium to high and conditional to robust: fieldwork presence is documented
6,Context witness,split_candidate,yes,robust,high,"C006_P1 Discussion emphasizes that ChatGPT lacks maternal-health domain knowledge and that human experts must interpret transcripts (e.g., converting general codes to PTSD or anxiety).",C006_P1,,upgraded medium to high and conditional to robust: text explicitly argues context-witness work is necessary
6,Routine first-pass screener,shrinking_task_cluster,yes,shrinking,high,"C006_P1's dialogue-filtering step uses ChatGPT to flag which dialogue IDs answer each interview question, materially reducing the human first-pass triage.",C006_P1,,upgraded no/not_applicable/low to yes/shrinking/high: dialogue filtering is an explicit first-pass screening delegation
6,"Routine coder on high-consensus, ground-truth-rich tasks",shrinking_task_cluster,yes,shrinking,high,"C006_P1 reports ChatGPT reaching 85.15% code-level accuracy and 81% time reduction, with humans shifting to reviewers of AI-generated codes.",C006_P1,,"upgraded conditional/low to shrinking/high: Results and Discussion show routine coding is materially delegated, with humans auditing"
6,Structural prose polisher / drafter,shrinking_task_cluster,no,not_applicable,high,C006_P1 does not report AI-assisted manuscript drafting; the Acknowledgments credit human research assistants with preprocessing and proofreading.,C006_P1,,upgraded low to high: full text gives no evidence of AI prose-polishing
