topic_id,rank,word,weight
0,0,10,258.124
0,1,ai,214.358
0,2,2024,199.2749
0,3,2023,195.4237
0,4,chatgpt,192.6009
0,5,education,171.0774
0,6,students,143.077
0,7,survey,132.4944
0,8,synthetic,132.1253
0,9,100,126.9653
0,10,social,116.1557
0,11,higher,109.1149
0,12,age,108.7912
0,13,tools,106.4779
0,14,science,101.9466
1,0,human,423.9739
1,1,gpt,390.183
1,2,models,381.2691
1,3,llms,344.9566
1,4,model,278.2414
1,5,llm,223.9642
1,6,text,218.849
1,7,performance,180.9412
1,8,coding,175.7791
1,9,codes,173.8116
1,10,codebook,150.9047
1,11,annotation,144.0971
1,12,based,142.7778
1,13,party,136.99
1,14,coders,127.8752
2,0,social,232.0492
2,1,agents,225.6287
2,2,agent,207.7616
2,3,reproducibility,187.4546
2,4,science,173.4527
2,5,based,170.5316
2,6,2024,165.809
2,7,code,164.2228
2,8,social science,129.9335
2,9,repro,120.1
2,10,prompt,114.9036
2,11,papers,110.7317
2,12,tasks,98.2737
2,13,reproduction,95.6886
2,14,errors,92.6374
3,0,openscholar,369.1
3,1,4o,257.87
3,2,gpt 4o,254.1378
3,3,gpt,238.9736
3,4,8b,197.4557
3,5,retrieval,178.2282
3,6,responses,176.4572
3,7,human,171.1887
3,8,model,159.683
3,9,expert,146.1658
3,10,accuracy,133.2896
3,11,citation,132.6001
3,12,scholar,120.0366
3,13,answers,119.6583
3,14,scientific,119.0508
4,0,ai,307.7144
4,1,ideas,253.3613
4,2,human,188.1084
4,3,idea,182.8108
4,4,2024,164.8224
4,5,llm,145.261
4,6,participants,142.6747
4,7,disclosure,142.3978
4,8,review,92.4248
4,9,generation,86.9091
4,10,agent,83.3516
4,11,papers,79.884
4,12,expert,74.9463
4,13,evaluation,68.4919
4,14,generated,68.2739
5,0,ai,212.3294
5,1,qda,209.1
5,2,qualitative,207.0853
5,3,researchers,163.6807
5,4,coding,148.6942
5,5,tools,95.8189
5,6,hci,84.9049
5,7,support,76.9113
5,8,human,69.0715
5,9,children,53.9335
5,10,work,52.2853
5,11,codes,49.7361
5,12,workflow,48.1629
5,13,workflows,43.2617
5,14,concerns,42.9828
6,0,ai,455.8444
6,1,writing,167.0509
6,2,participants,139.7976
6,3,human,138.981
6,4,process,137.523
6,5,suggestions,133.099
6,6,based,103.8177
6,7,idea,94.0018
6,8,team,88.2957
6,9,scientific,87.0503
6,10,sc,85.988
6,11,ideas,76.7623
6,12,stage,76.127
6,13,text,75.4104
6,14,interview,74.2007
7,0,language,133.0587
7,1,citations,130.5296
7,2,papers,109.2378
7,3,ai,106.96
7,4,proc,94.9772
7,5,2025,89.7236
7,6,eds,85.7373
7,7,scientific,84.7128
7,8,toggle,83.9352
7,9,citation,82.7718
7,10,authors,74.6639
7,11,language models,74.198
7,12,models,71.4722
7,13,2023,68.4746
7,14,2024,67.8032
8,0,papers,192.2937
8,1,policy,181.5855
8,2,scientific,170.6739
8,3,llms,132.6402
8,4,ape,127.1
8,5,llm,100.8205
8,6,human,91.9297
8,7,work,87.2966
8,8,ai,79.2466
8,9,evidence,75.0166
8,10,28,70.0987
8,11,quality,69.6078
8,12,review,68.8988
8,13,matches,64.2491
8,14,working,63.7241
9,0,llm,174.9113
9,1,funding,89.9739
9,2,nih,76.1
9,3,hypothesis,75.3822
9,4,discovery,71.9695
9,5,nsf,66.1
9,6,proposal,59.1
9,7,public,56.6049
9,8,funded,50.1
9,9,federal,46.1
9,10,involvement,44.5947
9,11,llm involvement,44.1
9,12,grant,43.693
9,13,awards,42.1
9,14,proposals,42.1
